A_CpG_ID	TCGA-2G-AAFE-01	TCGA-XE-AANV-01	TCGA-XE-AAOD-01	TCGA-2G-AAFH-01	TCGA-2G-AAHC-01	TCGA-2G-AAGM-01	TCGA-XE-AAO3-01	TCGA-2G-AALR-01	TCGA-SN-A84Y-01	TCGA-2G-AAGI-01	TCGA-ZM-AA05-01	TCGA-2G-AAF4-01	TCGA-VF-A8A9-01	TCGA-2G-AAG6-01	TCGA-2G-AAG7-01	TCGA-2G-AAG5-01	TCGA-SB-A6J6-01	TCGA-2G-AAFV-01	TCGA-2X-A9D6-01	TCGA-2G-AAF6-01	TCGA-2G-AAFY-01	TCGA-2G-AALY-01	TCGA-2G-AAH2-01	TCGA-YU-A90S-01	TCGA-2G-AAG0-01	TCGA-2G-AAGW-01	TCGA-2G-AALO-01	TCGA-2G-AAKG-01	TCGA-2G-AAGE-01	TCGA-VF-A8AC-01	TCGA-2G-AALG-01	TCGA-2G-AAGO-01	TCGA-2G-AAFO-01	TCGA-2G-AAH8-01	TCGA-2G-AAFI-01	TCGA-XE-AAOB-01	TCGA-XE-A8H4-01	TCGA-2G-AAGF-01	TCGA-2G-AAG3-01	TCGA-2G-AAKM-01	TCGA-YU-A912-01	TCGA-VF-A8AD-01	TCGA-2G-AAG8-01	TCGA-2G-AAGG-01	TCGA-2G-AAHA-01	TCGA-WZ-A7V5-01	TCGA-2G-AALN-01	TCGA-2G-AAH4-01	TCGA-XE-AANR-01	TCGA-4K-AA1I-01	TCGA-XE-AAOJ-01	TCGA-2G-AAM4-01	TCGA-2G-AAHP-01	TCGA-2G-AAHP-05	TCGA-XE-AAO4-01	TCGA-2G-AAGZ-01	TCGA-YU-A94I-01	TCGA-XE-A8H5-01	TCGA-2G-AAKL-01	TCGA-ZM-AA06-01	TCGA-2X-A9D5-01	TCGA-YU-AA61-01	TCGA-2G-AAEW-01	TCGA-XE-AAOF-01	TCGA-XY-A8S3-01	TCGA-2G-AAGC-01	TCGA-2G-AAG9-01	TCGA-4K-AA1H-01	TCGA-2G-AAGT-01	TCGA-XY-A8S2-01	TCGA-2G-AAL5-01	TCGA-2G-AAKG-05	TCGA-YU-A90W-01	TCGA-2G-AAGJ-01	TCGA-2G-AAFG-01	TCGA-ZM-AA0D-01	TCGA-W4-A7U3-01	TCGA-4K-AAAL-01	TCGA-SB-A76C-01	TCGA-2G-AAGV-01	TCGA-2G-AAM3-01	TCGA-SN-A6IS-01	TCGA-YU-A90Y-01	TCGA-2G-AALX-01	TCGA-WZ-A8D5-01	TCGA-2G-AAFM-01	TCGA-ZM-AA0H-01	TCGA-YU-A90P-01	TCGA-2G-AAGX-01	TCGA-WZ-A7V4-01	TCGA-2G-AAGS-01	TCGA-2G-AAF8-01	TCGA-VF-A8AA-01	TCGA-2G-AALZ-01	TCGA-2G-AAHL-01	TCGA-W4-A7U4-01	TCGA-2G-AAH0-01	TCGA-2G-AAHN-01	TCGA-2G-AAFZ-01	TCGA-2G-AAH3-01	TCGA-S6-A8JX-01	TCGA-2G-AAHG-01	TCGA-SO-A8JP-01	TCGA-2G-AAGP-01	TCGA-XE-A8H1-01	TCGA-2G-AAF1-01	TCGA-2G-AAFL-01	TCGA-XE-A9SE-01	TCGA-XE-AAOC-01	TCGA-YU-A94D-01	TCGA-2G-AAFN-01	TCGA-XY-A89B-01	TCGA-2G-AAM2-01	TCGA-2G-AALT-01	TCGA-2G-AAFJ-01	TCGA-S6-A8JW-01	TCGA-2G-AAGA-01	TCGA-2G-AALQ-01	TCGA-2G-AAKD-01	TCGA-X3-A8G4-01	TCGA-VF-A8A8-01	TCGA-W4-A7U2-01	TCGA-S6-A8JY-01	TCGA-2G-AAKO-05	TCGA-2G-AAKO-01	TCGA-2G-AAEX-01	TCGA-2G-AAGY-01	TCGA-2G-AAGY-05	TCGA-YU-AA4L-01	TCGA-2G-AAFG-05	TCGA-SN-A84X-01	TCGA-XE-AAO6-01	TCGA-2G-AAHT-01	TCGA-XY-A9T9-01	TCGA-YU-A90Q-01	TCGA-2G-AAGK-01	TCGA-2G-AAGN-01	TCGA-XE-AAOL-01	TCGA-2G-AALF-01	TCGA-XE-AANI-01	TCGA-2G-AALP-01	TCGA-VF-A8AE-01	TCGA-2G-AAKH-01	TCGA-ZM-AA0N-01	TCGA-2G-AALW-01	TCGA-4K-AA1G-01	TCGA-WZ-A7V3-01	TCGA-VF-A8AB-01	TCGA-2G-AALS-01	TCGA-ZM-AA0E-01	TCGA-ZM-AA0B-01	TCGA-SN-A84W-01	TCGA-ZM-AA0F-01	TCGA-2G-AAGI-05	TCGA-XE-AANJ-01	TCGA-2G-AAL7-01
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.378821788754111	0.362308866485831	0.736229686293015	0.35369265112316	0.520299962113812	0.454424786034673	0.362620675250136	0.0645842446030665	0.619008885026197	0.917835622087664	0.549358607691469	0.37610902757063	0.600883246591029	0.84509105003262	0.824171467932167	0.911478271000779	0.478021575224485	0.29259851780933	0.496172007602146	0.504511076838286	0.785097140296832	0.892251322207458	0.522563036059341	0.572734677995438	0.594969551336253	0.847286033626716	0.503567178684311	0.596441211562072	0.711294142450102	0.656689782200442	0.635687209046864	0.469376087123391	0.703748515821888	0.239311945530577	0.566013304396222	0.757496931311056	0.546388210441568	0.713423514973783	0.780417941086025	0.48115279041515	0.252822200722774	0.496244426105284	0.502424674929257	0.654975781362897	0.439218784937883	0.566024609837167	0.860655207538373	0.582289973558995	0.661813153587	0.586711768955583	0.514110107595348	0.930433223824849	0.140876472815789	0.441494248172549	0.404393605795206	0.821919634408259	0.153792847242677	0.176093929173451	0.638876930848236	0.210638033598608	0.535532665253637	0.618332564650816	0.363199269019829	0.460522749330489	0.588430720398848	0.70587173114684	0.41841684917406	0.607470982164892	0.211508914086195	0.598521016577227	0.886986969995573	0.707530024599698	0.348540052137353	0.846614630278163	0.46016570295096	0.657802806923246	0.702781351512339	0.418443233874954	0.26143007844638	0.878506570458803	0.852788382919197	0.360309177897598	0.656507046718758	0.884552257978794	0.459084462517295	0.726997048013341	0.443859438300198	0.674918339624245	0.879844429814052	0.503732577711204	0.768975012570318	0.535112913986451	0.523548459000358	0.858069883424183	0.407445138023718	0.565550974017781	0.666710279941962	0.570040055869273	0.688300374820711	0.631221293644781	0.0845911372172476	0.217628819668946	0.146552000568806	0.812997790870772	0.782070773500366	0.56491992484831	0.742459708138371	0.453798032249834	0.920721796736827	0.818089980884389	0.518831825418437	0.534887755246379	0.913979862237579	0.902338086429159	0.93720028753724	0.126349385025635	0.695911633753092	0.21015390086227	0.824715352022098	0.742824816217302	0.81888186732389	0.310076538398921	0.243219941555081	0.648734752853315	0.62927577086339	0.444461745954254	0.671636602591154	0.305790865591955	0.226174066448986	0.611568070794581	0.601772437049239	0.522724946375537	0.448148808030523	0.581431723757491	0.118926589059485	0.570915729607516	0.48315258444478	0.129354583767125	0.118389140980628	0.820673166095432	0.270822167665141	0.652668164725065	0.711363699014586	0.608399553402178	0.832494626851881	0.324754536221196	0.376176426810529	0.557197667098785	0.744965611625984	0.498011847031929	0.507908679370381	0.942215859718933	0.61534097365286	0.466347396135073	0.440446206710295	0.572356655228474
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.674543659581152	0.670381674663464	0.873140584567867	0.80919181278682	0.901056965795412	0.460926263864259	0.661168211397346	0.491909588367065	0.792818884116009	0.828246246706424	0.839405235712566	0.870657297051495	0.845565337330109	0.889861924922009	0.707285942695625	0.857170938768204	0.890256733797516	0.533616553710779	0.647828295085064	0.842875369191225	0.912996470162216	0.883460449930563	0.839684354414296	0.922293167972212	0.844337559383614	0.721283485879571	0.915401732816506	0.710004877389939	0.668024189335278	0.735040751190912	0.826391611845677	0.824012610012597	0.88132317891106	0.379927923720226	0.72032923768736	0.804094425393684	0.837228206054988	0.863814403213993	0.749640831102017	0.836035096145686	0.601364444604703	0.674052175330795	0.75396937992521	0.871812546463933	0.573565500524173	0.766478631132209	0.814141673269925	0.845703766341375	0.763454193904125	0.90219294976774	0.57261201356757	0.819596461746553	0.399437915443303	0.682896329762608	0.739674116326326	0.911001268652653	0.331001020596124	0.588756471889635	0.769767546236558	0.645559609192947	0.755202908029906	0.795592756992472	0.645234695132501	0.744331479477526	0.771347791289732	0.851105869944911	0.634847282026833	0.856125838128622	0.319100633715414	0.654277035935264	0.476459297770856	0.906787083767852	0.741253504018915	0.759605561912374	0.904090222216919	0.83319631316722	0.751582603921166	0.706719870695088	0.643664279974975	0.912849119542934	0.916559640076218	0.714019814385378	0.681324351186426	0.878255577387524	0.75965343837343	0.898928013850046	0.804471075053042	0.852939884295761	0.888513436910033	0.813280650889548	0.691886580667869	0.578629440894192	0.700859897769631	0.90750227522336	0.548102654553193	0.674865070487533	0.742374174059972	0.847497880357151	0.862010359873285	0.758690525882504	0.622971251881104	0.71800704584817	0.574786235925015	0.892867060833463	0.801348859978603	0.813653955712917	0.858889487398763	0.854605765499752	0.860742547960238	0.667392186606824	0.767583774506776	0.769363758086885	0.876169321221817	0.91429914037582	0.920075277966354	0.44594674514713	0.860477017076209	0.854937826212552	0.746166179864019	0.809950270638427	0.813338608166939	0.795390168778417	0.817661581609549	0.871677327628565	0.833851800670972	0.743141987750924	0.868188453011741	0.567968736627747	0.525105157223085	0.901157528749628	0.738573692239539	0.735900237467894	0.650008661816961	0.699630940974207	0.278846339084635	0.800134125099366	0.803977576289314	0.153366306532339	0.479011841103605	0.897918594812175	0.627310258164764	0.868143764209716	0.874417431111525	0.8544180353013	0.873058862861479	0.710040695851068	0.726941415559469	0.892188679638294	0.897058813280755	0.729708734836735	0.848294259097756	0.913779344056475	0.836677434776041	0.816415473673153	0.78278416799222	0.71108294164589
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08488494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08509032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08547427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08593037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08596858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08670672	0.736213755849436	0.781357599568402	0.934500729556604	0.927792260457007	0.956563980190384	0.936923275207814	0.925380763333575	0.928738820579205	0.928701936594814	0.933871496568435	0.898235224253595	0.93419174212096	0.928717227558402	0.91453335716934	0.927753428043735	0.949121782661771	0.941748722247554	0.943915023515181	0.892520490485145	0.924941961350856	0.956959642568281	0.925570710651888	0.940905085900912	0.932680083674377	0.928766290488852	0.941741355665371	0.927305284931523	0.938714141493959	0.921379366408814	0.865522804799671	0.939608145761354	0.89193198757948	0.928562147869073	0.36887320115569	0.92813722139061	0.93084459837985	0.935899665462095	0.931262221177305	0.933180148687526	0.892977350375698	0.639257805744052	0.913014992410697	0.910190064260418	0.935651298397096	0.768700708939626	0.900038225281108	0.931748461325669	0.93340880877277	0.947573296855957	0.928912418375645	0.931827785951202	0.946353863201747	0.928886989434716	0.839022274706787	0.821791093776677	0.938490678878225	0.943054681976314	0.866499282443004	0.911118444203275	0.940768484032067	0.912194937048761	0.915091864926182	0.782332473696081	0.798080769106835	0.933002130692724	0.944698307042578	0.650546002457407	0.935659377529609	0.940418748391326	0.891714201187114	0.938016981045205	0.945134791583952	0.913687560253275	0.921203907543649	0.900250669401455	0.882973421778827	0.916886301458256	0.902843465314084	0.783725212138875	0.930756364438792	0.923259295074836	0.931497022722474	0.945774995896443	0.940320837053493	0.850028648762543	0.942741253661746	0.873726753536877	0.923149263083571	0.949751900640871	0.899724209499166	0.932367854048533	0.940107345020747	0.790367506242657	0.945464260039346	0.748590071784628	0.944387908584031	0.931435146812117	0.907329780554397	0.944705199575417	0.94880947805634	0.683981800399311	0.898752808659536	0.776203539600639	0.928506321172556	0.931616880842317	0.890694955461596	0.924959152815947	0.929838423086197	0.936063519308161	0.941926521127568	0.922906204685732	0.840911204508481	0.909878650711342	0.925362242331707	0.938854858080558	0.49339476510815	0.924822516245158	0.916773531147186	0.942514433706683	0.937380734879269	0.926690813728979	0.907559629055891	0.815977165708397	0.914384112359708	0.900529528132756	0.921268108133989	0.93217057917533	0.834412190343385	0.933251398201087	0.900336650568395	0.943784352570188	0.928142773327177	0.77514073735207	0.929412062982162	0.507013563572422	0.934601976318965	0.912296973164957	0.712449933687206	0.93745961388758	0.932378977162268	0.923328121403951	0.949155237189564	0.921552464386968	0.949129269731617	0.945768397073089	0.626044828788197	0.925658093254976	0.944944990272737	0.930170794019273	0.876472373279045	0.936503040950214	0.941864996195073	0.822088042749249	0.821962130284535	0.919599304321033	0.873650478863731
cg08694858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08714076	0.570584043093467	0.48403780620712	0.775066888342402	0.548097406921148	0.730017362127338	0.776627809787916	0.511501541735167	0.531204966474226	0.606314686210684	0.819099089887872	0.576374020818816	0.53172371716039	0.616701015548593	0.89201897665118	0.791457361225281	0.829818061836036	0.558519751522005	0.625985458798734	0.526701752235338	0.705657320605038	0.730998174257159	0.781633874143742	0.72139301033076	0.737910664595395	0.70049832815237	0.749778587197626	0.623178443060017	0.611770063414387	0.653878011280056	0.635978045212552	0.694434925417377	0.590170688571132	0.690940914393728	0.305146243878477	0.637746080356326	0.792698412700811	0.669080747194652	0.68191680820423	0.61922223551204	0.654065234916327	0.42271870638386	0.577906843965916	0.53793629776421	0.673520312678349	0.566748926589486	0.571997280423224	0.791638668749106	0.819594434877076	0.78645584564687	0.624377168971807	0.826724644011118	0.872858486005104	0.260924614924824	0.525460824363364	0.554815993123385	0.831715364466334	0.550712740055719	0.405397040918921	0.736150689061114	0.857516567611946	0.517791061904989	0.67797250429734	0.571333733543932	0.611618671084116	0.776638469167634	0.60787026149723	0.464542429578019	0.721936466999662	0.395436489857292	0.627250131536897	0.806153288884988	0.826233642713563	0.522549188288301	0.829289450529964	0.613818112653356	0.623035047006635	0.808534136145371	0.563044155238273	0.444980845028216	0.807613712109691	0.718358230513888	0.50170047376301	0.781468603392038	0.870953013474762	0.631530978071594	0.695765575872964	0.510252814027239	0.774157446992406	0.870283639716551	0.660777083000369	0.812284893741406	0.611301109391068	0.563591822174122	0.846106588501716	0.423662824146574	0.483280433221849	0.55002137926817	0.658822945232083	0.853078765087834	0.806329280103726	0.178588403875593	0.313069101833986	0.757678319520697	0.771399926333285	0.694413283672455	0.677090827012079	0.75222255887549	0.596675101497523	0.726738882819926	0.547322666912747	0.597646250686374	0.535980539213062	0.823889365694659	0.813095102325632	0.784628813109467	0.317291963139129	0.712089593094566	0.71373273001786	0.636750647529916	0.765000188786732	0.655015451777886	0.520214332557501	0.374084251071874	0.670508461264233	0.695523765205028	0.573372714882171	0.796215681347062	0.44796542124634	0.412192030411986	0.722450178136776	0.75057724831264	0.504482103949767	0.556679569302646	0.582657281354879	0.278453441872734	0.747427052564292	0.520540115060745	0.186619670303411	0.570640222278883	0.763200113207479	0.703966658931998	0.791890418054977	0.679225916263557	0.658543852872665	0.707216994303432	0.349703750894497	0.474945832924635	0.685376111871647	0.770971753288425	0.60222903137581	0.507598292901911	0.828740804437098	0.664807942944517	0.679730969805459	0.466408198648478	0.584084421890109
cg08773876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
