A_CpG_ID	TCGA-W5-AA39-01A	TCGA-3X-AAVB-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA38-01A	TCGA-W5-AA2G-01A	TCGA-4G-AAZO-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Q-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA34-01A	TCGA-ZH-A8Y1-01A	TCGA-ZU-A8S4-01A	TCGA-W5-AA2H-01A	TCGA-ZD-A8I3-01A	TCGA-W5-AA31-01A	TCGA-WD-A7RX-01A	TCGA-W5-AA2O-01A	TCGA-3X-AAVC-01A	TCGA-ZH-A8Y6-01A	TCGA-3X-AAVE-01A	TCGA-3X-AAVA-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2R-01A	TCGA-ZH-A8Y8-01A	TCGA-YR-A95A-01A	TCGA-ZH-A8Y2-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA36-01A	TCGA-3X-AAV9-01A	TCGA-W6-AA0S-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA33-01A
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.843947005817798	0.805125999401786	0.901618493497318	0.88047848897033	0.796176852659007	0.890092712187261	0.453601584496754	0.912679256443468	0.78351349545588	0.935497681030116	0.834187580460998	0.814810595835092	0.919759035155614	0.546276309296054	0.650456467159138	0.782961187982368	0.844913626241641	0.796740395469807	0.470534955036382	0.653566486874908	0.815425685913329	0.806897498503435	0.849837399348784	0.899176619134102	0.784784690328778	0.536416623183508	0.887655404447056	0.415340450973397	0.846012065310932	0.89821359578423	0.804791504100642	0.890686472551881	0.745099700760702	0.720558929314044	0.920311115768035	0.775521721904123
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.897038653291703	0.9526046964771	0.963721353665855	0.956269617792512	0.950244415403855	0.968909659508471	0.948405591469	0.95365816893937	0.958342035280476	0.958160398952431	0.943167025494748	0.950801225414675	0.965194031523035	0.920790217150693	0.961979763833287	0.960190361656308	0.958671937422967	0.960854993553223	0.969890487893647	0.945446667342405	0.937374567958981	0.931798654936538	0.966227960497389	0.949198107787341	0.953345939527412	0.958540615779872	0.957436924317012	0.922147391860239	0.943456752345235	0.956881076853124	0.945356653108601	0.957172070658921	0.95621535311854	0.958476931719159	0.954321298135768	0.957852945461421
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	NA	0.473943228175003	0.757383454365323	0.779307272519828	0.759412740067496	0.68457382951174	0.245237398978315	0.338102015098113	0.570850549987236	0.231837128831137	0.61769878453649	0.624743312750082	0.300102032545294	0.800990175949064	0.701038336096071	0.531959419707086	0.495202522308265	0.498227195427209	0.920671277111164	0.216339110049775	0.183338781911573	0.423362250773509	0.886393922162147	0.877456629374353	0.26910144321446	0.627932196226863	0.935406107421694	0.451885117610966	0.369768007591738	0.822313680531699	0.329654877651407	0.741222466427129	0.489787335920907	0.881779730858137	0.58458241298024	0.421756984768459
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.935968835423018	0.946765611386984	0.943057984761458	0.919810836467565	0.91729787037631	NA	NA	0.946420521506619	0.947943893816473	NA	NA	0.930556319393048	0.938236141573331	NA	0.947357648684351	0.931658356403752	0.945774841997769	0.93831445204272	NA	0.906697135430471	0.952290004945071	0.933323919116895	NA	NA	0.952570486267825	0.928848505505409	NA	0.807995821301129	NA	0.948529190844804	0.931440912564908	0.940524950950181	0.926207389445205	0.94149201390908	0.942869374848406	0.94406087513654
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.608172873193059	0.430139382137106	0.719573566257895	0.695168368467447	0.82149321749341	0.714460838551401	0.323485675492126	0.127348040316701	0.202013200185703	0.674517871006521	0.667524223963209	0.764280457673566	0.173333574125813	0.479569187168609	0.37020390206507	0.525697040622966	0.40349568307164	0.652233457380154	0.660209632094853	0.367694245078026	0.270194071828673	0.422569152831931	0.855794896263615	0.322951273669858	0.294722602246859	0.546091059163308	0.829081546591364	0.313365457282131	0.191343975189538	0.393032282495731	0.322382933125534	0.52486672906093	0.443264534615608	0.850464817954567	0.398580440505396	0.633702823830794
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00812839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00834234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00850868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00894142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00919576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00954931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01009068	0.894989404087668	0.903140189356434	0.932898028371212	0.887486899694562	0.946538589074962	0.952368369015515	0.959349188353573	0.918668560415521	0.95223744753704	0.943905178344271	0.956328171693026	0.952703781370253	0.93294670176304	0.941122219308254	0.898456107969987	0.907975590284439	0.934913977253809	0.91226504838089	0.947907653131123	0.897816559508415	0.951979024920514	0.911803069282998	0.948194543481754	0.952762459875121	0.914757862135941	0.922119890146843	0.951448504410563	0.944135860347746	0.940321474001463	0.924762987950307	0.911586423050008	0.926354756539427	0.919882188423578	0.936426012569058	0.945816373147344	0.925415934488007
cg01049884	0.935963370669272	0.979179882496911	0.960192405160329	NA	0.97927080191257	0.909153152724464	0.985439801384137	0.969456479658878	0.894473937926898	0.982479171445834	0.939271531763366	0.918465475120567	0.962843050736746	0.974921217946337	NA	0.957936698334151	0.969793861019354	0.96071302839205	NA	0.975705119954688	0.978200863390757	0.958444503433118	0.974878941124407	0.929489308322158	0.970008160607132	NA	0.934827448289237	0.983316350069019	0.922265327341733	0.829515096896865	0.933433240954855	NA	0.962269039215675	0.957671989864025	0.966959911199627	NA
cg01052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01080483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01132485	0.838746932831268	0.583281681519364	0.85333007664266	0.844510066005063	0.512239791879781	0.519201018699456	0.330568421948217	0.892920330260853	0.888647398154957	0.928661980420986	0.524054416700702	0.498936622842108	0.848358299198399	0.78139687973874	0.704968790961321	0.65806865093757	0.892207454524565	0.829006837112553	0.480786742816465	0.573539609367383	0.566376712040636	0.878672610171207	0.763439978785214	0.899623280510849	0.542042401483392	0.790031575032648	0.929529572643591	0.810522180077381	0.866271188690789	0.75989794462042	0.808050062754236	0.483003752739926	0.855471787185234	0.625116518741034	0.913256727084861	0.881823191141702
cg01135961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01137421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01154525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01163994	NA	0.685026613481412	0.90026328403593	0.648881098826547	0.543562505393322	0.885254352044417	0.400073745645352	0.739643467147165	0.340513610174224	0.957114634693479	0.722013309410655	0.673627879784972	0.909109651881784	0.62278084908361	0.890777334137114	0.557729089683431	0.567115723102755	0.779223796268127	0.461409378031722	0.60432761533235	0.230843147857099	0.877760121096115	0.858571790517514	0.847939432356714	0.933482424891305	0.579605566479335	0.685709794896415	0.230156877690748	0.600403298491266	0.706226251418676	0.646585249485951	0.243523972143685	0.879603461618761	0.667305334505872	0.906231164327255	0.904083181021559
cg01204669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01206398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01230154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01231757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01251118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01331064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01352656	0.2557966101935	0.0833256811355799	0.786741393934873	NA	0.0358250233108881	0.024397271498394	0.0245083137982814	0.927293659618539	0.118092116186368	0.288882976487276	0.832675816403856	0.0598828605824027	NA	0.168167692954022	0.104369154178353	0.285917694436991	NA	0.12821500481643	0.0330393144553485	0.166726357652499	0.15718906198567	0.0539047810425701	0.428930438584481	0.469813486953056	0.0883905108626467	0.0561731105550768	0.0324466206683273	0.151870886085746	0.10299919634211	0.0573385438327754	0.101852948093225	0.0249356047712281	0.0846211535872907	0.696043890421141	0.764645384300559	0.147920933429925
cg01372572	0.266048552160676	0.625815506304775	0.479158934175608	0.570448452964517	0.60712146564743	0.822148622004133	0.4097409879017	0.761664313754413	0.661588066539044	0.571695343615997	0.415030655823478	0.489190326545416	0.698178285049482	0.624233626900342	0.607080150519514	0.535106127242573	0.70850464270779	0.538100856217744	0.477599879965835	0.702997689259459	0.765325136736796	0.702419431844964	0.563117431818593	0.804679883795029	0.722776706360577	0.456702361590836	0.549993000630155	0.210609268943132	0.341710482852453	0.641214539019483	0.523570054900269	0.488354413367792	0.593163321258081	0.459456646585286	0.791936183552117	0.520869749991546
cg01389383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01404122	0.822698853690188	0.765809294164992	0.876307191005785	0.881102848183769	0.846329291278511	0.925391861756902	0.942496247218387	0.857859562024338	0.867672784726675	0.954108960492842	0.899600912381113	0.876650586577116	0.838037060451641	0.624659096161771	0.699173594418133	0.752183404169968	0.883424208015508	0.736956990761769	0.788191995347678	0.697347442323801	0.788397235361741	0.761934004486933	0.8791814508449	0.689900198864107	0.745228063314538	0.833136804350735	0.94029005885927	0.280663843402868	0.90306569806345	0.897844826214862	0.836203621181853	0.915403460643545	0.73752325931505	0.613081120837944	0.88397691590458	0.747819521894561
cg01449444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01522278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01579172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01637519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01638082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01644640	0.472463144740842	0.888152650565363	0.918361148598305	0.84322952974431	0.885855451593775	0.955126059279977	0.750005535920581	0.902450421669976	0.918609108876993	0.938160221602367	0.899649284670229	0.917232730405239	0.898074964919852	0.676553009275561	0.282472454521519	0.914362441862008	0.880099291240337	0.877044307669239	0.77474219218041	0.884779941144383	0.946716079041282	0.763277748329651	0.887505088217588	0.881224593019044	0.831557908543444	0.883689644401053	0.94015937545926	0.897141779063981	0.937438265586026	0.908059061045242	0.878738296373909	0.842891548768957	0.599028696065673	0.815803228047555	0.906164883525033	0.82959951497591
cg01659483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01711850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01729288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01735082	0.548669207538301	0.612532799470802	0.845378840084981	0.278557207949075	0.80028614509703	0.923072893574051	0.273383006803135	0.774755349398806	0.763781266370158	0.864778396439296	0.74097872324901	0.426021489358801	0.689590427854098	0.56624199789137	0.695598381813175	0.5382774675838	0.543808499456837	0.692611424286681	0.497354543367825	0.693289321288118	0.169493486463961	0.726154177242474	0.575191438265745	0.623041362975673	0.733754560903338	0.450003682571943	0.81108390048814	0.399269688869559	0.173981459253141	0.544355981925755	0.645118881223634	0.69073724674231	0.522609613619738	0.502214177388158	0.880920776813859	0.681803400027017
cg01774400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01776221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01796929	0.819110923066106	0.891219304812495	0.915133516399167	0.829240134133791	0.92763619617236	0.795511951190556	0.870283852640524	0.884630944719777	0.676948724275041	0.867822525719397	0.817417826383682	0.919899503192936	0.900010627096297	0.612556626599656	0.708485319093053	0.868863137395872	0.911709526452873	0.879569038061284	0.872803679730685	0.872175735311128	0.897735676331527	0.868355329201444	0.781523292004278	0.883937094831854	0.825141150822024	0.864895562822982	0.816540106860543	0.910164705967161	0.825056720664567	0.903432840661669	0.738686695207374	0.820041195248285	0.851811113933306	0.279311571387599	0.933262931226146	0.747882301257514
cg01834373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01836858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01837661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01864295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01905090	0.875520729437107	0.685038139918666	0.800145942920848	0.618764359362368	0.860164099239616	0.706456339043253	0.322361054516786	0.788743523733122	0.791698216261864	0.819202529916494	0.829893675745037	0.873238484063138	0.783355402688977	0.728183867330037	0.675813765821121	0.680242705883672	0.812173962649633	0.571770251025646	0.895825306615472	0.54873645882217	0.558087717329806	0.797178335993928	0.81862033557494	0.843110503759435	0.793717130569924	0.734964007782421	0.845500471169439	0.260724105342591	0.491068502506696	0.810706777335073	0.743260571508827	0.785257139849869	0.694313428249347	0.796855434803645	0.48910892177495	0.696091964990849
cg01909681	0.841926245779997	0.884795897809337	0.851943555766646	0.815503654519086	0.848221540855467	0.931319230951265	0.608359484849534	0.861038596055878	0.918401054005369	0.869271146880877	0.918228449905482	0.942647428312237	0.85091756869787	0.891243617216338	0.756820667742894	0.836140012705506	0.880765026385875	0.876957820956098	0.914213970216558	0.783305348950851	0.652278834900432	0.884811044810849	0.902597742480299	0.862792053291538	0.841942185583624	0.870578762180422	0.895635962641202	0.938022870177329	0.924943292116634	0.911645478478064	0.849532555764331	0.893279091113145	0.825153751294542	0.848336869693474	0.931899258181468	0.855754933605018
cg01968676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01970937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02022978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
