A_CpG_ID	TCGA-FF-8061-01A	TCGA-FA-A7DS-01A	TCGA-RQ-A68N-01A	TCGA-GS-A9TQ-01A	TCGA-FA-A4XK-01A	TCGA-FF-8046-01A	TCGA-FA-A6HO-01A	TCGA-FF-A7CW-01A	TCGA-G8-6325-01A	TCGA-G8-6324-01A	TCGA-GS-A9TW-01A	TCGA-GR-7351-01A	TCGA-GR-A4D9-01B	TCGA-GR-A4D6-01A	TCGA-GS-A9U4-01A	TCGA-FF-8062-01A	TCGA-GS-A9TV-01A	TCGA-FA-A4BB-01A	TCGA-RQ-A6JB-01A	TCGA-GS-A9U3-01A	TCGA-FM-8000-01A	TCGA-FA-A82F-01A	TCGA-GS-A9TT-01A	TCGA-VB-A8QN-01A	TCGA-FF-8047-01A	TCGA-GR-A4D4-01A	TCGA-GS-A9TZ-01A	TCGA-FF-8042-01A	TCGA-FF-A7CQ-01A	TCGA-FF-A7CR-01A	TCGA-GR-A4D5-01A	TCGA-G8-6326-01A	TCGA-FF-8041-01A	TCGA-G8-6906-01A	TCGA-GS-A9TY-01A	TCGA-FF-A7CX-01A	TCGA-FA-8693-01A	TCGA-GS-A9TX-01A	TCGA-FA-A6HN-01A	TCGA-G8-6907-01A	TCGA-GS-A9TU-01A	TCGA-FA-A7Q1-01A	TCGA-RQ-AAAT-01A	TCGA-G8-6909-01A	TCGA-GR-7353-01A	TCGA-G8-6914-01A	TCGA-FF-8043-01A	TCGA-FA-A86F-01A
cg00489467	0.957086406047544	0.600266775719265	0.925801455900835	0.933566329076342	0.950153443895672	0.92969090208894	0.903675067286907	0.922933172868883	0.939457041385247	0.966402485349376	0.941037020595195	0.91884374044794	0.788114273000022	0.922571069508039	0.943382250711674	0.91826138453294	0.926450450256639	0.936009837238808	0.942759703940443	0.944654227203844	0.959288295756493	0.705813334042267	0.634579601945133	0.897482535071571	0.958631436313846	0.95371466249192	0.769638874569733	0.948284263594964	0.947606895119197	0.940416909603527	0.829089887422395	0.923006772292076	0.946893990316766	0.946917014056875	0.94555668023401	0.933186907615542	0.930545276438507	0.908301192422261	0.889913626093144	0.950366126484164	0.727573996031212	0.94613806197664	0.932452573866723	0.93906769425099	0.964911928153049	0.912327071301212	0.952626841732245	0.882263085912595
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.654659933668134	0.564216626590415	0.478680417507102	0.368238014203364	0.543605982489292	0.360420791280939	0.327486031362927	0.855766189663427	0.893698563812727	0.636074219216913	0.476236798193925	0.326544342826875	0.345575433778564	0.419391257499127	0.863969196234404	0.704790005697748	0.832334029895587	0.682298435555701	0.537737885323721	0.627590789884198	0.164395787526182	0.252339401434039	0.567386258117411	0.364046190840751	0.129886568392617	0.711993927070667	0.453744996501663	0.130659454360347	0.434020222622526	0.572300915801428	0.743420902521644	0.84985446457368	0.373368935953265	0.534335414855742	0.12163897319524	0.452100294733938	0.603060655330268	0.68902910008775	0.609378733546349	0.836612252694968	0.380051010164488	0.115973067935672	0.2670769305167	0.473572869119183	0.699305573103148	0.752045593144484	0.648422057552105	0.538816878333721
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.943006462091066	0.904068155261357	0.896397963442215	0.890424547629027	0.895346538589401	0.946937205459771	0.897008638391436	0.897297186014338	0.948965884035797	0.938509359336795	0.908046746827275	0.939990184528001	0.907937443227016	0.894797173068212	0.939647024561764	0.940659914941225	0.873002313534915	0.919649391950654	0.926260296834399	0.938301491033787	0.94277265489493	0.865089839426966	0.911312361015263	0.886503541315145	0.948269339488248	0.880079586719164	0.947833874894475	0.942882729206206	NA	0.912123047366631	0.917924415532211	0.935354300210082	0.914017889413915	0.935587069340711	0.939290452506772	0.892408726405658	0.960424590154876	0.930581224876356	0.910111756813149	0.937976578931549	0.868396081977724	0.894045167525297	0.943630550612818	0.941912052054549	0.868868834542616	0.922352195686301	0.928894903981617	0.882966099429214
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.115671308017093	0.0901629979053385	0.226688027325569	0.173915731635821	0.233885391722136	0.212812341704985	0.472239920083018	0.180059794701464	0.268043116696542	0.251377927483128	0.274452698900792	0.247430891260678	0.206959470616013	0.26105076802084	0.577475661337664	0.224401302180943	0.26334500196997	0.36917322027783	0.149046850327585	0.369595557469918	0.156744731587927	0.199064960813821	0.0662619109095615	0.206761063398747	0.0499064656211956	0.586528749860959	0.255918627467804	0.0915065966489366	0.16031073792812	0.204669267325483	0.466318925967274	0.264589040596679	0.111836826434505	0.156521759154885	0.58940078944924	0.138399133059557	0.420944294450615	0.316897273844835	0.473286486202565	0.0695413080535696	0.258601974145412	0.08567740142287	0.223884136627775	0.299774090556244	0.618874072797387	0.171416603613101	0.159296397700622	0.321422164576019
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00812839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00834234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00850868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00894142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00919576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00954931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01009068	0.197050247043509	0.323382680916111	NA	0.349687022156285	0.228052203081793	0.401078964484229	0.895939123471406	0.649912799652067	0.885576192367321	0.482325700859818	0.850499427964676	0.432953570390262	0.436905913783526	0.819376944774131	0.913302764982298	0.600268544347493	0.889927098053129	0.81652680426512	0.790781603675037	0.712669681737771	0.816063589887378	0.785883442502474	NA	0.905396420905627	0.132170452574889	0.714099941291681	0.909670406204456	0.262224500993125	NA	0.75740931875168	0.873893909938402	0.910132643973144	0.926069402932933	0.937307957094315	0.925793566863291	0.549504320929547	0.677033847852465	0.817555785853404	0.679312150748752	0.12018323321599	0.825065014111295	0.647890879537684	NA	0.924342619190006	0.900621362480897	0.570185323813505	0.21221112880323	0.798048497072053
cg01049884	0.971139410829335	0.92384592809694	0.972805235212417	0.985597292229036	0.953900856768598	0.972109263873955	0.976695657892555	0.978572829577445	0.978257205933797	0.970475557768915	0.977875537960589	0.971638594572234	0.974860754883505	0.945803901918068	0.939989136371945	0.972195291966172	0.968471558539319	0.945936453460139	0.946701158166747	0.974714787785225	0.929625256223231	0.978970143997088	0.979017138247551	0.968668917742513	0.935501155617286	0.968816617333733	0.956852428367016	0.966825146710289	0.979976342514528	0.973060782551891	0.969264677961718	0.981457276243707	0.977966999436445	0.966366806243124	0.97408792624637	0.979721079239546	0.954807904034493	0.982745043956378	0.976511156618908	0.950260887771565	0.975968343147347	0.972594867113693	0.952239069632328	0.961610198299206	0.950130359312445	0.963991991802713	0.949130861517619	0.974881780086992
cg01052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01080483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01132485	0.882847077488321	0.830316017102245	0.463292057636363	0.236381822177967	0.168401134254324	0.843926232209873	0.629373459912625	0.547510991548417	0.876307161924982	0.718599388872503	0.419331373584789	0.767159406484696	0.353904234430361	0.742488969224094	0.761177971519057	0.398667329962323	0.551296994655399	0.866223686246236	0.832253051945727	0.430897422973687	0.207315417763203	0.491084287016914	0.319810147231851	0.446086195086426	0.866004623442438	0.387585651619574	0.648445483593582	0.216672261715946	0.469143776406435	0.62361618778873	0.570173312130634	0.825531921156602	0.876387208998387	0.859487482915728	0.818185231780095	0.927512729827103	0.594748569613201	0.786986373809693	0.510490350421827	0.198500256897562	0.545881878133442	0.395343137154326	0.589968792274973	0.362317036131402	0.790488921556043	0.445652662448482	0.439894467413743	0.57184228765632
cg01135961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01137421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01154525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01163994	0.940214713056043	0.919463606386381	0.719734063756373	0.111687902283896	0.254760129911294	0.823637705074145	0.813641712525496	0.644811552196645	0.914912545662795	0.774610537095075	0.780223632864423	0.768106964475116	0.356270373181302	0.77725241953023	0.892920037552945	0.588163652461726	0.888806519870589	0.821482570134689	0.793404524285157	0.759242926335662	0.804482242822513	NA	0.794172904651095	0.777008703716028	NA	0.869227709523926	0.938340893214005	0.233620211871187	NA	0.879545676604882	0.871029479143317	0.881845432091213	0.875166770195328	0.928963309002206	0.908637350014493	0.744701827480705	0.619445149698075	0.93590246199608	0.764430341213271	0.104704810564022	0.603222386895527	NA	0.85927795157711	0.51103561442434	NA	0.605609509135311	0.186274346613951	0.855568601596092
cg01204669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01206398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01230154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01231757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01251118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01331064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01352656	0.757395018588318	0.81577250824849	0.167898699440754	NA	0.120770022237572	0.303242087214021	0.337948955441972	0.0580204966525106	0.103255184038337	0.783442254195859	0.0394022578248445	0.195510637800951	0.562006495058611	0.0778420990721411	0.150235817655176	0.438843931940198	NA	0.375483390608228	0.110806404137251	0.216483150306119	0.0392587019383975	0.63838432126353	0.332211915870577	0.152136926772212	0.916512625437303	0.0628461946642312	0.231292760361705	0.843401215425582	0.898765299260887	0.0413007061472145	0.100685849540356	0.0477311132692576	0.0502277858611898	0.844744356217394	0.902801250122502	0.873490233448017	0.665334376421442	0.256294005512501	0.180070652781028	0.0337275081919951	0.189916577729382	0.0363230937561569	0.109290014722584	0.0751029300863543	0.0497830168158205	NA	0.0598961091062661	0.261138302334134
cg01372572	0.277652367775847	0.509327769883453	0.375285146709245	0.244188634113901	0.284894986570181	0.338915648597766	0.515692268806272	0.426200143383135	0.713755107112623	0.565913973521504	0.45951372272073	0.490859442670095	0.374974044579296	0.516512940645662	0.541329006780834	0.420104765767217	0.660070622035374	0.556024864598171	0.464013404995672	0.498934985398034	0.242773665853878	0.386596238700604	0.452132738889466	0.379480054463683	0.21986459867541	0.438512452821442	0.433715386686807	0.30227511465931	0.4055130975161	0.433181240460004	0.56452408285529	0.662916839569103	0.746539400016722	0.231279135929156	0.269375786631644	0.685082913841642	0.432513021709667	0.57160984292787	0.665044183050551	0.176124208882042	0.425625424919013	0.212810320610046	0.357239402620348	0.421705440044388	0.735216846625412	0.615187566748988	0.267130950541839	0.554858247011072
cg01389383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01404122	0.233122336052522	0.298260754143504	0.489953796533123	0.184222017733246	0.248476483247895	0.36853861777848	0.740081278168905	0.504580682383157	0.723453351699904	0.667846066228748	0.358492707447231	0.398359620032636	0.291178359073133	0.652742603722112	0.680610261276678	0.494612708521813	0.783206282389361	0.637529637796113	0.512770037123632	0.4638666724294	0.248753024452882	0.382178280000634	0.132830398308207	0.342806875506292	0.176080141534484	0.375782172281738	0.40629310061644	0.194532205321507	0.590885397498632	0.473181209740133	0.609370082781162	0.700826449778761	0.352128285841819	0.216244151309161	0.207271535170366	0.460093745169096	0.450509852607088	0.717278778214133	0.501798713419722	0.123637656769189	0.480282003362182	0.155244939410915	0.271423282739736	0.35502451669912	0.32570875263848	0.36735805628606	0.19116806426687	0.587395345060123
