A_CpG_ID	TCGA-MQ-A4LP-01A	TCGA-TS-A7P3-01A	TCGA-LK-A4O0-01A	TCGA-3H-AB3S-01A	TCGA-LK-A4NW-01A	TCGA-3H-AB3L-01A	TCGA-SH-A7BC-01A	TCGA-LK-A4O6-01A	TCGA-SH-A7BH-01A	TCGA-SC-A6LM-01A	TCGA-TS-A7OZ-01A	TCGA-ZN-A9VW-01A	TCGA-SH-A9CU-01A	TCGA-LK-A4NY-01A	TCGA-SC-AA5Z-01A	TCGA-XT-AASU-01A	TCGA-3H-AB3O-01A	TCGA-SC-A6LQ-01A	TCGA-3U-A98I-01A	TCGA-MQ-A6BN-01A	TCGA-NQ-A57I-01A	TCGA-UT-A88D-01B	TCGA-UD-AABY-01A	TCGA-3U-A98F-01A	TCGA-MQ-A4LI-01A	TCGA-UD-AAC5-01A	TCGA-YS-A95B-01A	TCGA-UD-AAC4-01A	TCGA-MQ-A4LM-01A	TCGA-MQ-A6BS-01A	TCGA-MQ-A4LV-01A	TCGA-3H-AB3K-01A	TCGA-TS-A8AY-01A	TCGA-UD-AAC1-01A	TCGA-MQ-A6BL-01A	TCGA-3H-AB3T-01A	TCGA-3U-A98H-01A	TCGA-LK-A4O7-01A	TCGA-TS-A8AI-01A	TCGA-TS-A7P8-01A	TCGA-UD-AABZ-01A	TCGA-UD-AAC6-01A	TCGA-UT-A88G-01B	TCGA-LK-A4O5-01A	TCGA-ZN-A9VS-01A	TCGA-TS-A7P6-01A	TCGA-UT-A88E-01B	TCGA-TS-A8AS-01A	TCGA-ZN-A9VO-01A	TCGA-UT-A88C-01B	TCGA-MQ-A4LJ-01A	TCGA-TS-A7P7-01A	TCGA-UT-A97Y-01A	TCGA-YS-A95C-01A	TCGA-LK-A4NZ-01A	TCGA-SC-A6LP-01A	TCGA-3U-A98E-01A	TCGA-MQ-A4LC-01A	TCGA-ZN-A9VP-01A	TCGA-3H-AB3M-01A	TCGA-SH-A9CT-01A	TCGA-NQ-A638-01A	TCGA-SC-A6LN-01A	TCGA-YS-AA4M-01A	TCGA-LK-A4O4-01A	TCGA-UD-AAC7-01A	TCGA-MQ-A6BR-01A	TCGA-TS-A7OY-01A	TCGA-TS-A7P1-01A	TCGA-MQ-A4KX-01A	TCGA-LK-A4O2-01A	TCGA-SH-A7BD-01A	TCGA-TS-A7OU-01B	TCGA-3U-A98J-01A	TCGA-TS-A8AF-01A	TCGA-SC-A6LR-01A	TCGA-3U-A98G-01A	TCGA-3H-AB3U-01A	TCGA-3U-A98D-01A	TCGA-3H-AB3X-01A	TCGA-TS-A7PB-01A	TCGA-ZN-A9VV-01A	TCGA-MQ-A6BQ-01A	TCGA-TS-A7P0-01A	TCGA-TS-A8AV-01A	TCGA-ZN-A9VU-01A	TCGA-ZN-A9VQ-01A
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.500504431933704	0.821701157368447	0.808110447436584	0.847660575268676	0.638124449578701	0.602638000517112	0.839786175228742	0.789247912552054	0.166007044919006	0.874459778222647	0.74021837241436	0.909737964872315	0.662031212815049	0.651044034601555	0.641369034058027	0.77649482149373	0.72077742646028	0.812551939273587	0.654519472917295	0.893902683615468	0.384990770140438	0.859162729961128	0.758931131789277	0.394426078109495	0.732686378923457	0.863180331748283	0.693874161183564	0.904007703278141	0.865532610226268	0.909408415141491	0.829364939295842	0.884983421117643	0.790473399601953	0.363815300493361	0.716716496835396	0.779510502716313	0.761437732777738	0.389141866344052	0.866643310697434	0.825133772000268	0.82718927113751	0.893078056945223	0.493797902891354	0.796275235351684	0.860053956628398	0.603412840297749	0.672760365684919	0.846502384779014	0.900767565955273	0.818461054166553	0.524348685833599	0.808878612626956	0.685309670508366	0.673140060326058	0.735055843225864	0.54907757808615	0.929413781994408	0.902020213802346	0.498508358921511	0.689979549065184	0.598039886847064	0.751141367114248	0.821111345157886	0.795384439514598	0.649074859676946	0.571518409179836	0.894204077070723	0.625346415633495	0.745069225082722	0.82465013831687	0.665792837224663	0.786189204091205	0.808450195273504	0.779707091442443	0.850070865377501	0.326505906303029	0.718826521771655	0.850711663580554	0.61417178669051	0.511466212766543	0.888867960223029	0.88329570623578	0.622255191738503	0.688760953769678	0.77287969155713	0.89564617889991	0.816914100546783
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.254749482170242	0.880125277808076	0.960695126525414	0.946686088678341	0.960896359437337	0.84507349483196	0.948499456810418	0.962108717139967	0.952628232894857	0.578507977030685	0.936796882181925	0.971465969788433	0.957169329188294	0.923105769106031	0.965299947628927	0.952025699149297	0.935781552838022	0.949156818019938	0.96233020118918	0.963398236028117	0.969108435252116	0.951339524360906	0.937906508906351	0.732158553521836	0.953665992277316	0.942279130522128	0.940110586002776	0.914833313754316	0.950389408093062	0.956493511333007	0.944308447895663	0.956343301460512	0.920228230825611	0.960846976533432	0.902010831222619	0.956222504067878	0.933874625393757	0.945226057743742	0.953648124405162	0.939063683228246	0.957437189891516	0.964822181720513	0.917555054865849	0.961204630030243	0.952630084462887	0.944151119950005	0.963217829282502	0.95771579119124	0.966107500155726	0.944389170520445	0.944039207920174	0.962866386145226	0.933290348246406	0.953636377620153	0.962885580825022	0.914599825256539	0.930595373421696	0.94796313896414	0.936984072130778	0.955341583274843	0.960563825925293	0.957993094331488	0.952199850883025	0.954394600590004	0.948020323295294	0.935226912049934	0.940018690020263	0.932872905504173	0.959424499363038	0.969150782669718	0.953191530200705	0.954000475790813	0.953228786211262	0.95283622413165	0.929151353375988	0.958438020028526	0.922110216961847	0.957510532575307	0.952194184889329	0.941176432825766	0.965465690511575	0.782881124571376	0.953119820261437	0.935774415941615	0.936894260660105	0.950306670444566	0.935404758829701
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.819235032436931	0.838245491159179	0.920526750255964	0.605742317869713	0.907779045503217	0.876710345903327	0.918226364764289	0.850633742961111	0.832296319335397	0.36472138093788	0.74957967103562	0.695872839741278	0.833701610236572	0.652291585776595	0.778281800564037	0.638989352246641	0.846962199065038	0.896344618084589	0.768255327093288	0.91738867618026	0.412659149902029	0.802081244425978	0.408203040912459	0.314604198809944	0.920853385431073	0.868267708825173	0.800955064426614	0.872440355142261	0.670941749139936	0.90185330959807	0.755071353830978	0.899777551758144	0.692327429182067	0.233539245230993	0.658170609418669	0.662341028286367	0.854930498613485	0.252221116357558	NA	0.780266934547395	0.589445390104717	0.735796608164937	0.479280211919677	0.8977393422071	0.909690202378002	0.91568124889793	0.88056115269878	0.812368460118559	NA	0.871881642947237	0.848105596656968	0.887449398318515	0.72364297290065	0.901933555922666	0.791172225454906	0.737517957231409	NA	0.903182375564615	0.30742827781144	0.857964146054605	0.877001587427983	0.654490636323134	0.797958499191649	0.851413560487204	0.778091053219578	0.90444842175631	0.496113073527944	0.828114764474076	0.919036436687314	0.822336794782135	0.882417969194847	0.614163850778386	0.865338460763265	0.774800886060539	0.852363117844797	0.585705122757813	0.783344601868649	0.868940009341931	0.701420566180054	0.895100899412181	0.795852959573982	0.810659107337739	0.697211219999734	0.783305788790342	0.860170630556371	NA	0.231068445146705
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.916372515732392	0.921650147665794	0.905221432663874	0.948100829954783	0.911005290581164	0.906021416331045	0.940236569903128	0.908270556547239	0.9225374897816	0.879163334539743	0.928733802150334	0.906299917914952	0.948822448714805	0.946173666276974	0.953820164887322	0.930346051943546	0.948411250638519	0.937848039525546	0.95867091828664	0.930156701665729	0.941663145611091	0.938594888504827	0.949931580184795	0.932745511692766	0.933514141965869	0.950681260625532	0.953401851014072	0.964835610000392	0.921567168056492	0.93785820693855	0.935413706265566	0.954461227705055	0.934954644704329	0.953200488989224	0.912155815005729	0.92941223677924	0.948049778294611	0.936051348981137	0.945818635791658	0.932224845759545	0.936107979756685	0.944759390058938	0.932702518174879	0.943364134975274	0.927442239673644	0.924270217405267	0.956756924392289	0.959668504880899	0.936848063638491	0.955408865653365	0.923951049009586	0.951169849712909	0.948945253111432	0.949020350947918	0.91979591476161	0.921134679707895	0.965140041616368	0.93904953811346	0.873640814584507	0.948728740668304	0.942216910019317	0.942893155577146	0.900067646324387	0.946141459305431	0.906155837291133	0.930376807088124	0.92346885712236	0.927599012301896	0.956473606141808	0.925983106357963	0.941536063452435	0.941695767498905	0.944891711725966	0.953986983782009	0.945939380848192	0.909368099585729	0.939785045170296	0.960435583484354	0.919141431000903	0.953948563724858	0.937704939349929	0.946213670298461	0.885449308942375	0.944953834490798	0.954720625558342	0.938427838216407	0.946001419790981
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.0880373984946591	0.245928592946455	0.280431731779328	0.0971562850307671	0.187091931627765	0.253806193150484	0.211595259915745	0.328321925744038	0.127146633431126	0.165055601327916	0.224696476162759	0.335811151999152	0.147067904502561	0.0945824181608237	0.377040435313852	0.264980935931666	0.223749402071041	0.269495861013948	0.143543387876452	0.20971933867485	0.278046696823958	0.242987558841723	0.118402116116923	0.152744350312372	0.123120557250935	0.190291993361903	0.156223784630272	0.20895552543816	0.264612307683318	0.107098054450796	0.372926964210238	0.195641413129642	0.213062114691683	0.199828911609537	0.439597363713304	0.348260619599109	0.238043321878882	0.106066983514568	0.159134632466847	0.433627233592584	0.321989115791452	0.487472514702134	0.110127054145002	0.201473158863614	0.137769948600005	0.171527167028919	0.0863260812625535	0.312604752011734	0.207290989557042	0.247863885696989	0.139907173498848	0.460823303807062	0.276727632051273	0.381817658548448	0.31634375185029	0.36996444292022	0.524063434125174	0.391027696686768	0.234382745984787	0.0921664553899599	0.154825715108853	0.126640860003688	0.108668314484895	0.363488168823406	0.552225186305277	0.252090843342426	0.173783315328822	0.276125287248393	0.0952969122644479	0.291764782161694	0.24383013834278	0.19296299998575	0.135318854807629	0.393013101938235	0.211835195998364	0.237287816545654	0.35102185412899	0.214341460489337	0.198394799981473	0.110709465193049	0.220268434019426	0.126515980477716	0.170848388022513	0.148007048297472	0.341229583908659	0.307683606511438	0.0946487725376877
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
