A_CpG_ID	TCGA-5X-AA5U-01A	TCGA-13-A5FU-01A	TCGA-59-A5PD-01A	TCGA-VG-A8LO-01A	TCGA-29-A5NZ-01A	TCGA-13-A5FT-01A	TCGA-WR-A838-01A	TCGA-OY-A56Q-01A	TCGA-3P-A9WA-01A	TCGA-OY-A56P-01A
cg01389383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01404122	0.832947979108845	0.685996653930235	0.403747265900522	0.956155919401394	0.873602518876823	0.921252253330309	0.947664012375038	0.954959715999485	0.544352392548256	0.937905722367283
cg01449444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01522278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01579172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01637519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01638082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01644640	0.722574345559561	0.913806788199116	0.20034195416929	0.461003031301934	0.711373605605872	0.686921305933033	0.251267644103091	0.734980577890716	0.234440457458799	0.93426717744067
cg01659483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01711850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01729288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01735082	0.747619825833904	0.81432116034327	0.610117787685709	0.631637691227136	0.520949738150758	0.300291935928997	0.954504443385812	0.743487609748908	0.815081993526264	0.906135673575687
cg01774400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01776221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01796929	0.843122898226519	0.473650161434877	0.244637316845928	0.901917728239222	0.779003752441947	0.918472421159741	0.893319544302307	0.901580364477646	0.404912181928848	0.908352820930934
cg01834373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01836858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01837661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01864295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01905090	0.616408350938927	0.594948983111971	0.304988327592703	0.733299333332041	0.576208693311807	0.578962173360484	0.866137911832882	0.855007531434641	0.222366631982976	0.864437169030056
cg01909681	0.922136050884055	NA	NA	0.860376113941837	0.926008958448749	0.883780116323401	0.905615171296847	0.840222626213316	NA	0.900423446936719
cg01968676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01970937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02022978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02032334	0.132062851433714	0.320797270600256	0.062426917896464	0.602094778791142	0.347233441402114	0.599471603261845	0.571327983540623	0.315156140884959	0.288631076713489	0.830793841664948
cg02043329	0.937825837079188	0.9011352927157	0.80151969107302	0.945398663405416	0.921376133669189	0.913032809587031	0.950269696420622	0.93728616370835	0.931806483690915	0.940169602154623
cg02044172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02046176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02047977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02071267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02072104	0.143856409251065	0.133535878701271	0.162566281400232	0.111306598392785	0.0984671829205476	0.30791053563722	0.0816251817766426	0.12954913857334	0.120403861858734	0.094820386796004
cg02074859	0.942521950982997	0.95242593538465	0.926436883646764	0.960211664011129	0.954433166932122	0.945648813417248	0.949815499128374	0.927672820164324	0.93325020569814	0.944130021728005
cg02103202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02125400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02128233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02132460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02148292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02154268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02158100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02190786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02223612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02231798	0.944158623005521	0.927975576585633	0.350337521608075	0.904762400682537	0.924409863772467	0.305233749253636	0.940629640493487	0.922143166886516	0.193511871654568	0.912106648330982
cg02247211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02253978	0.932113632905495	NA	0.886102277996403	0.85339771541647	0.889119565645538	0.902300522570409	0.850775015665663	0.934172700039285	0.897769750337261	NA
cg02255618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02269231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02275622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02280599	0.940130892977535	0.903519406590734	0.817907914403576	0.892829762489912	0.661547883395474	0.217612032348327	0.92870862236624	0.818246016212964	NA	0.900379736679
cg02290855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02302165	0.954897584659138	0.954509672389862	0.907373158579739	0.951802361319392	0.94970769022076	0.862782526699456	0.94001795667413	0.950732718729654	0.953553186208073	0.947643270071472
cg02312154	0.940969958496694	0.916075668064917	0.930995669521616	0.910089251798879	0.945586961741168	0.945294147128809	0.923403109533734	0.939990190524542	0.919014115637163	0.918406775123898
cg02341729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02345638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02348876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02356223	0.532461948535942	0.931324363531088	0.475437109001506	0.865532671599477	0.929502841357862	0.841417613206595	0.909248031777557	0.839754440635897	0.946624885969946	0.886693516392371
cg02397533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02401554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02443010	0.944967271269581	0.951221904215968	0.690316692587748	0.955516167127465	0.814549956551007	0.860473426188397	0.957763444114236	0.867749737315301	0.81491609891157	0.774386788761328
cg02471166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02516800	0.397341663430086	0.807064737040099	0.339374768465374	0.193714412443347	0.160470774845146	0.371712298505227	0.657830191614517	0.878519442201424	0.192506650250389	0.682928610546555
cg02533998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02612657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02656873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02658551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02671915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02693279	0.944951324604407	0.775575535239413	0.859633672203421	0.629493994199688	0.899064766809455	0.88984443092048	0.877389861540014	0.953840783724696	0.873479214939524	0.904048549853809
cg02703695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02724815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02744713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02750728	0.947792249347781	0.873083880914304	0.917396620924335	0.963280345392093	0.843708617647895	0.793191909147199	0.898431086540385	0.919513157340371	0.897842374411791	0.918283576427116
cg02771684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02772132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02791765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02824523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02840008	0.132117264090787	0.478547185105236	0.44276168293287	0.926039160535493	0.389493792660097	0.392576595726823	0.405402185744525	0.511091159581835	0.33333466397259	0.754531208976719
cg02862100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02869126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02873710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02885021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02899093	0.247969139644613	0.457756500928459	0.338065671276507	0.882918326787559	0.611541183040915	0.355911462413922	0.85609544956137	0.592833522513888	0.758812732539265	0.893279687944697
cg02906557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02965931	0.939733822236963	0.925412542600696	0.922799911760699	0.946298655353955	0.888740651992869	0.930656135560839	0.940380252038215	0.930272979710028	0.918820464087877	0.893728341122781
cg02993013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02998155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03002774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03006531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03024791	0.669790765213538	0.333592787113377	0.205928781282832	0.805230658356598	0.661317196810608	0.742176889399102	0.860716938646997	0.787996067178082	0.320356159152082	0.897458344149977
cg03132202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03153172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03185975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03186367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03189593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03221698	0.962367071671539	0.95845011311517	0.924139797581841	0.899845612413497	0.934261486742093	0.914481489085882	0.951732456890692	0.953674778656143	0.947213108265957	0.947948423459044
cg03233224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03247301	0.529654606833377	0.624399066071385	0.250926340716879	0.507681377081009	0.457308316876028	0.353485846335905	0.758139937989697	0.595429380575692	0.161837708243044	0.880135640971056
cg03272020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03272958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03280759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03287616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03305017	0.954427369741015	0.923691615647656	0.640676601599029	0.942885870910001	0.959010618736589	0.915372715144814	0.941230814461936	0.928083892467841	0.892929813512433	0.938417406591432
cg03329408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03335128	0.580751775229531	0.867709307547877	0.849689783454058	NA	0.199051652747717	0.884872868139981	0.889881891514694	0.0771784423593703	0.61970540137426	0.123927038421021
cg03336458	0.964764766323199	0.950855533895994	0.914752431298939	0.952794581083201	0.953306850858703	0.950231577824978	0.943483117673906	0.961750137964509	0.961650245614074	0.959241614864842
cg03342862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03344608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03370330	0.941243114733633	0.775508427367249	0.281736500123274	0.841737756489352	0.882731303418726	0.830088766114154	0.72340034337362	0.730176154557905	0.923604393294841	0.93426731089438
cg03374148	NA	NA	0.143863687656021	0.894844151253892	0.360246078527774	NA	0.167593280123829	NA	NA	NA
cg03393472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03400512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03461361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03474461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03511766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03516394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03525847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03526100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03561071	0.90265249176754	0.187221227643814	0.211980535738802	0.646453210478754	0.107225706330334	0.140829726472394	0.145723695903966	0.219951689029109	0.384114959914653	0.936885925331023
cg03567106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03578552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03606093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03646967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03659851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03663072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03667040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03777697	0.907410765271638	NA	0.891282419786836	0.878924588624303	0.88216601129969	NA	0.882331751298439	0.85933668346574	NA	NA
cg03796122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03826683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03833216	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.860093241009627
cg03838823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03840912	0.828776437145636	0.507488860102227	0.258173242990939	0.825996168804593	0.212935345512559	0.248782967566167	0.174059545921046	0.110132830505179	0.256293308194176	0.875067432723804
cg03843092	0.931944195372748	0.272482646741515	0.413859423759671	0.179277312703892	0.473814334712573	0.419441080284948	0.944217192610652	0.942265913104514	NA	0.903047783862309
cg03859106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03885144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03890998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03913000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03933786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03935072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03996098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04002935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04006206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04026763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04031354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04055096	0.83579564099606	0.920358045420313	0.526416898863694	0.951734751279618	0.831259127178125	0.896742237663769	0.965216377014978	0.792381637613736	0.904929559335359	0.915449736306689
cg04062303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04076763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04100169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04103847	0.898620245608494	0.174801030868278	0.213819699441924	0.0848713557429818	0.0954804172771347	0.160576005348014	0.0919123940755668	0.0354540745427921	0.197680500687989	0.643775043285687
cg04114537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04143547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04167811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04216073	0.828296881639329	0.765684583434656	NA	NA	NA	NA	NA	NA	NA	0.848929989860563
cg04223924	0.32295923385669	NA	0.203278616421207	0.528480070236953	0.275735584515312	0.206497604400905	0.430275923664734	0.134075356114717	0.762381180723499	0.619030424600917
cg04224084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04240603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04261102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04273604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04280377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04285493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04370860	0.928674466280397	0.901015092195445	0.909926718006824	0.914833097260628	0.885206150244892	0.939031650900113	0.938415202227779	0.941019208217938	0.923226913052225	0.918419844836095
cg04379416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04392293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04407400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04474903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04477079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04487158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04498159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04509365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04577395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04586418	0.965310650455379	0.948052659376525	0.937392922663701	0.958988888584251	0.947627327182873	0.941014977302716	0.941083982201093	0.936715215180366	0.936184945012907	0.947313904828554
cg04611407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04612869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04613945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04636881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04675342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04717450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04730459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04751736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04757410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04799493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04826176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04829566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04831589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04834061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04860622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04879818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04884395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04896534	0.285086875769306	0.285851387926203	0.214590911441664	0.171820664618052	0.144342244889274	0.261638338259383	0.126870705854957	0.114362873759045	0.205594897788719	0.153821349710124
cg04908013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04935792	0.940345410605441	0.831937441906912	0.506099044842559	0.730669401675759	0.51575343011191	0.804503012758634	0.90126611699025	0.91815119764832	0.170795692445109	0.860960221457659
cg04941236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04943440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04943636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04964733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04978451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg04990609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05019180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05072063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05088006	0.92846058786202	0.785451011104061	NA	0.696210390275639	0.858837417195721	NA	0.839866165088767	0.84609684269654	0.314486261381747	0.782532394543792
cg05093071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05103956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05227343	0.926980447218512	0.863311297679788	0.691702996769542	0.950997063599635	0.866939827453457	0.934782531788596	0.922026160678769	0.872037667834248	0.923392398418122	0.921333975021385
cg05229275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05269246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05274503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05277146	0.930053653470159	0.672246704855113	0.742676211750701	0.898458768766165	0.912425599620128	0.832506895868798	0.940436271379859	0.92825428819143	0.139286463858451	0.921386896242896
cg05285768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05294259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05301976	0.962777336859083	0.94854219247107	0.959474774403267	0.959191059272535	0.966878599145623	0.962158712053377	0.948788511982655	0.970364304157154	0.948588505911535	0.951941650508295
cg05305060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05331252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05345062	0.912279745541779	NA	NA	0.841171399299814	NA	0.197042939445213	0.689656778751912	0.152657138067448	NA	0.911071379299864
cg05379002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05402641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05445006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05456482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05461143	0.777316265865034	NA	0.309093795069853	0.770248736891906	0.313178590698216	0.785444324335273	NA	0.486184060891296	0.209058983368857	0.865647392811961
cg05481217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05484606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05516061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05543443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05554543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05590818	0.955643123929375	0.864163540604075	0.930627693299601	0.919211243125286	0.945498300383261	0.927528531052392	0.942029623241917	0.868004895869791	0.936107031873425	0.942413565880288
cg05620791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05669672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05679686	0.918721520123526	0.897705456773826	0.815588662860679	0.873969138281613	0.93526678295952	0.907628463516346	0.946826022811863	0.928791939344273	0.923234937917019	0.951720040837767
cg05768747	0.952867152833965	0.930255174787752	0.698283827758625	0.889133826758728	0.95068541207453	0.951002688873073	0.938309169763699	0.945485651324101	NA	0.936424136165253
cg05773164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05822658	0.899405867344644	0.924099181060715	0.81764883757584	0.897630111019994	0.882062047948617	0.527000308288485	0.927600662883165	0.919759592838223	0.433990975049743	0.939497860704432
cg05828992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05864350	0.956746955965366	0.961437145138223	0.954072279117006	0.94893187954304	0.957685158638305	0.948991068989932	0.949215634757591	0.933568046877178	0.945735277417121	0.954560668249621
cg05906717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05919161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05935774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
