A_CpG_ID	TCGA-KO-8415-01A	TCGA-KM-8477-01A	TCGA-KL-8337-01A	TCGA-KN-8435-01A	TCGA-KN-8432-01A	TCGA-KL-8326-01A	TCGA-KO-8414-01A	TCGA-KN-8431-01A	TCGA-KO-8410-01A	TCGA-KO-8409-01A	TCGA-KN-8421-01A	TCGA-KO-8413-01A	TCGA-KM-8476-01A	TCGA-KL-8332-01A	TCGA-KL-8341-01A	TCGA-KO-8403-01A	TCGA-KL-8334-01A	TCGA-KL-8344-01A	TCGA-KN-8424-01A	TCGA-KN-8427-01A	TCGA-KO-8406-01A	TCGA-KL-8329-01A	TCGA-KN-8419-01A	TCGA-KO-8408-01A	TCGA-KN-8434-01A	TCGA-KN-8436-01A	TCGA-KN-8437-01A	TCGA-KM-8441-01A	TCGA-KM-8639-01A	TCGA-KL-8336-01A	TCGA-KO-8416-01A	TCGA-KL-8327-01A	TCGA-KM-8443-01A	TCGA-KO-8407-01A	TCGA-KN-8423-01A	TCGA-KN-8429-01A	TCGA-KL-8343-01A	TCGA-KL-8331-01A	TCGA-KO-8404-01A	TCGA-KM-8438-01A	TCGA-KL-8345-01A	TCGA-KL-8340-01A	TCGA-KN-8428-01A	TCGA-KN-8422-01A	TCGA-KL-8338-01A	TCGA-KL-8325-01A	TCGA-KL-8323-01A	TCGA-KM-8440-01A	TCGA-KN-8426-01A	TCGA-KL-8335-01A	TCGA-KO-8405-01A	TCGA-KM-8439-01A	TCGA-KL-8346-01A	TCGA-KO-8411-01A	TCGA-KN-8425-01A	TCGA-KN-8418-01A	TCGA-KL-8324-01A	TCGA-KL-8330-01A	TCGA-KL-8342-01A	TCGA-KN-8433-01A	TCGA-KL-8339-01A	TCGA-KM-8442-01A	TCGA-KL-8328-01A	TCGA-KO-8417-01A	TCGA-KL-8333-01A	TCGA-KN-8430-01A
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.518511684216006	0.421706195336438	0.919659703340556	0.773190546503353	0.839844924958418	0.224335902404092	0.922507417184065	0.867914642317277	0.916774614632978	0.535889637589084	0.869485306714087	0.824609613726797	0.455734621696245	0.859330360795937	0.817850243530424	0.845971853613063	0.896007354684512	0.712221615411502	0.892810986382602	0.401936537421668	0.508970992853111	0.911913599363052	0.241430615371442	0.652092443618422	0.930354349262353	0.907110141475537	0.860242122720771	0.796947892111073	0.876935705392093	0.838090733880814	0.132419713193157	0.434862922671539	0.933975558240207	0.877058761621085	0.295276177487208	0.580179237531471	0.356178238665064	0.882869736035903	0.323680115009064	0.890905897376839	0.853632750731332	0.921424095249973	0.432274148437021	0.890569603598786	0.859928727443682	0.911462009203966	0.834150246888537	0.570502961005312	0.897234244876009	0.896975323075527	0.713442820272711	0.934103716440877	0.222769809460001	0.123362370472331	0.750154449969066	0.59495205411456	0.866963130770715	0.921418449391493	0.917821908084675	0.641437575169107	0.480475902864054	0.944788180388504	0.940654901627603	0.911073882813963	0.746823157137022	0.689969378638912
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.936375290229801	0.967106134981818	0.946076183433947	0.94593015557056	0.953691700998967	0.953529242720017	0.969498398436893	0.949226567280403	0.963492709726081	0.960448384495769	0.956432552562974	0.956897582378753	0.956361134345891	0.949354150761271	0.96102091246126	0.959989884107583	0.949628700709479	0.959841468748669	0.963285480314711	0.961690180591537	0.965911137607712	0.952135221617606	0.952922616302249	0.951881422682978	0.952248975684917	0.952506759102909	0.957594060448675	0.953785402716796	0.972493975944769	0.755060076973856	0.962627592959992	0.948285880534918	0.964014566807352	0.948144895305196	0.965430230040639	0.960316827430179	0.96004432173542	0.938750310020513	0.956121218755851	0.62408647423406	0.959123189248702	0.937117821743685	0.919359768534651	0.948609256946459	0.935349069393999	0.965983455717893	0.946661500794776	0.955800200685269	0.953202001500813	0.960459518564008	0.951215162183293	0.956604707632273	0.969081536647419	0.959222629750221	0.957666505709112	0.945229775788101	0.919556703707936	0.961744870735203	0.973304902787261	0.963942413708588	0.956315017817195	0.951398233768554	0.958346415779424	0.954641558621725	0.951858753273581	0.957006973875424
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.610115692752854	0.927015739001159	0.940298584567664	0.927759776882452	0.93727941410676	0.654960366946064	0.928627963167509	0.948296253244086	0.889121273372526	0.647339615411114	0.927254065395475	0.930473608941197	0.580533742745776	0.896619854142032	0.926657711276963	0.894797766149545	0.922539625978713	0.910234886905217	0.932110267678704	0.781694565236537	0.936359211049217	0.922602402992814	0.616273182235505	0.712527038058062	0.942713328782571	0.619747242855161	0.919475085694725	0.914223773419989	0.817649425921808	0.934537426616804	0.955597624787238	0.940592526242845	0.582979986154622	0.902669902332823	0.940484824071949	0.947569068447638	0.894414397744499	0.918164590586498	0.455967718089661	0.931829301616803	0.610497427822537	0.624678477884125	0.931603557671109	0.744881780083576	0.92229439255623	0.951276526988115	0.903818175304909	0.935128069001854	0.170316134103184	0.907019154914587	0.90526016977952	0.74507284225187	0.541189765277495	0.725990820463573	0.665620933879434	0.942340980613662	0.939244964605604	0.938201243469694	0.914273648002698	0.627900886532268	0.885201881489106	0.945585589944224	0.620592780318141	0.611374644840473	0.837421580110544	0.828001370172832
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.911449181972594	0.93700399931814	0.92707435143792	0.939872004396453	0.910378718248279	0.909830705281117	0.928045326183243	0.948912121712074	0.906010775532583	0.926577553051792	0.913578713119758	0.913805889524217	0.929093343620785	0.896968287990086	0.917750913748606	0.915245610202107	0.91689750811565	0.922251536836854	0.925822489976448	0.9069271626283	0.92376993366763	0.920336434227896	0.937393505058926	0.940252855859807	0.922179326276301	0.913840227502297	0.911675455047588	0.886766016749239	0.962286250500863	0.922542743002361	0.91445485281129	0.926592528578446	0.912024810871557	0.923356812128417	0.910902694948233	0.922047279090217	0.948124054987397	0.904847654598807	0.902388242617649	0.89196647025374	0.909555148218853	0.942954465983375	0.910328085046491	0.905368741565063	0.887823397093291	0.935904448981603	0.925803112588255	0.959368211867414	0.949322743393819	0.930044056012865	0.922099936725503	0.910078740672527	0.934267678977969	0.919103813492683	0.903960294175423	0.918424959539584	0.911882588687401	0.920893404939872	0.880154165199728	0.946138738661595	0.929815974009813	0.951195412093062	0.904968491947911	0.938553191029357	0.904602094231884	0.94473228674537
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.128874580564613	0.101082149213651	0.0459192381014636	0.0581156452482137	0.184221946664105	0.109103213376095	0.096982104289563	0.108910598120366	0.171825711696102	0.0851221351417426	0.0788650582407125	0.268899648985272	0.0829039745691343	0.113621817820546	0.0522530147802084	0.0769154426172468	0.120250354939574	0.11554385739735	0.0816507838609933	0.395482186602924	0.0528163151131288	0.104052699534127	0.152985562033738	0.0763907085695089	0.0912831843585798	0.0430706993168562	0.144614930508793	0.366164303305041	0.146829045502577	0.074246957515977	0.0701649620286447	0.083972271638323	0.0783958903437113	0.124963372513251	0.0839480355258367	0.0798208075080868	0.16219192451587	0.0461118092407417	0.340323181062822	0.190659390346932	0.0570311543209311	0.125618513443009	0.0930468636255291	0.0636809664291758	0.109616566406202	0.034091372614084	0.0495617159165053	0.0510816974646692	0.0729559104863666	0.0826224820976317	0.170900478676003	0.162150242045875	0.0452308844069283	0.0611800983186287	0.120053166268541	0.342031975054562	0.918007893221001	0.054143119505738	0.0975541928801351	0.170280304171919	0.263336562987825	0.0635399268341875	0.162387448171281	0.0553163272978094	0.224288507218333	0.0752290762670466
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00812839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00834234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00850868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00894142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00919576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00954931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01009068	0.941717332288747	0.950918257111007	0.936128445637689	0.950557630194805	0.938273761403216	0.944763515387286	0.933926563137169	0.927679380925469	0.925319167745165	0.920648916096812	0.952112361724326	0.957595908418422	0.925532411302652	0.939646235016134	0.939574113964017	0.925826718326143	0.935752418923918	0.948556322010502	0.926396151962096	0.817214476486396	0.915632436640177	0.896328231864196	0.946141923184566	0.904864654380834	0.946741780857059	0.936774699566941	0.95214016823605	0.948936290509015	0.905231707584497	0.928998339994527	0.941887349991295	0.933075505078503	0.94249752122113	0.934388451287632	0.946741804831837	0.942673375475943	0.949560152731701	0.915004276087826	0.939538161814659	0.948346058180868	0.91678724225434	0.953409969421546	NA	0.945706786534203	0.927547582369557	0.272447350905521	0.922983665108418	0.941177978182898	0.934651946815578	0.929734684845424	0.941952268480959	0.936367397990308	0.913165251304631	0.929874208141193	0.938308402889388	0.927011913406298	0.94568964495094	0.92586975211074	0.930112361281793	0.949803894903447	0.916506255711764	0.928736738094239	0.922890932590011	0.913459295078866	0.948573885307268	0.929194239221943
cg01049884	0.974988694562779	0.94224861952553	0.972934052963141	0.979061834325361	0.921050164055697	0.970852582549238	0.974079193473786	0.957079818167332	0.978245048615712	0.958175427572961	0.973089190408128	0.984485829836997	0.968007564786741	0.974502660415607	0.97575681584799	0.974026448852735	0.977076911297229	0.9375093610171	0.971701587220331	0.983358644291418	0.979573841023696	0.976573031499691	0.98195665514075	0.968156968032772	0.978916848073773	0.935256929200625	0.980651631682696	0.941885649677048	0.97448150903547	0.975015214546674	0.970354315814536	0.978232019755119	0.976897691039466	0.974497076798175	0.973859857777522	0.96699237002515	0.972610626145422	0.976680751512201	0.981269444880127	0.982837576105085	0.962885164960503	0.96453213078315	0.970152674383171	0.938603347133232	0.956537491839071	0.948722243521491	0.950302913450298	0.977993866153668	0.982311280944388	0.978991715297944	0.97693629003057	0.921341352509875	0.971110396032667	0.969156101884451	0.977808825946899	0.97892265421973	0.976900015968935	0.98303474343423	0.979426709096583	0.973532085501232	0.973837473536107	0.963801811015038	0.943366198770776	0.969872173218645	0.973717222888799	0.980889833545891
cg01052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
