A_CpG_ID	TCGA-2J-AABR-01A	TCGA-FB-AAPS-01A	TCGA-IB-AAUO-01A	TCGA-IB-AAUN-01A	TCGA-RB-A7B8-01A	TCGA-IB-7885-01A	TCGA-IB-AAUW-01A	TCGA-IB-A5ST-01A	TCGA-IB-A7LX-01A	TCGA-FB-AAQ3-01A	TCGA-3A-A9IC-01A	TCGA-HZ-8001-01A	TCGA-HZ-8003-01A	TCGA-Z5-AAPL-01A	TCGA-HZ-7922-01A	TCGA-IB-7645-01A	TCGA-FB-AAPU-01A	TCGA-3A-A9I5-01A	TCGA-2J-AABF-01A	TCGA-RB-AA9M-01A	TCGA-FZ-5920-01A	TCGA-HZ-A8P0-01A	TCGA-2J-AABH-01A	TCGA-XD-AAUH-01A	TCGA-XN-A8T3-01A	TCGA-XD-AAUG-01A	TCGA-US-A77J-01A	TCGA-3A-A9IV-01A	TCGA-3A-A9IR-01A	TCGA-IB-AAUV-01A	TCGA-FB-AAPP-01A	TCGA-3A-A9IL-01A	TCGA-HZ-7918-01A	TCGA-HZ-7920-01A	TCGA-FB-A7DR-01A	TCGA-HV-A7OL-01A	TCGA-2J-AABO-01A	TCGA-XD-AAUI-01A	TCGA-IB-A5SS-01A	TCGA-FB-A545-01A	TCGA-2L-AAQA-01A	TCGA-2J-AABP-01A	TCGA-FZ-5926-01A	TCGA-3A-A9IO-01A	TCGA-2J-AABK-01A	TCGA-3A-A9IU-01A	TCGA-IB-7886-01A	TCGA-HV-AA8X-01A	TCGA-2J-AABA-01A	TCGA-IB-AAUQ-01A	TCGA-3A-A9IZ-01A	TCGA-XD-AAUL-01A	TCGA-2J-AABE-01A	TCGA-IB-7897-01A	TCGA-HZ-8636-01A	TCGA-IB-8127-01A	TCGA-2J-AABU-01A	TCGA-US-A774-01A	TCGA-IB-7652-01A	TCGA-3A-A9IH-01A	TCGA-2L-AAQL-01A	TCGA-IB-7644-01A	TCGA-HZ-8005-01A	TCGA-HZ-A4BH-01A	TCGA-2J-AAB8-01A	TCGA-Q3-AA2A-01A	TCGA-3A-A9I9-01A	TCGA-IB-A5SQ-01A	TCGA-IB-8126-01A	TCGA-HZ-A49G-01A	TCGA-F2-A44H-01A	TCGA-HZ-8002-01A	TCGA-US-A77E-01A	TCGA-IB-A6UF-01A	TCGA-IB-AAUS-01A	TCGA-2J-AAB1-01A	TCGA-F2-A8YN-01A	TCGA-FB-A4P6-01A	TCGA-FB-AAQ0-01A	TCGA-3E-AAAZ-01A	TCGA-HZ-A9TJ-06A	TCGA-HZ-A9TJ-01A	TCGA-3A-A9IX-01A	TCGA-2L-AAQI-01A	TCGA-3A-A9J0-01A	TCGA-FB-A4P5-01A	TCGA-IB-A5SO-01A	TCGA-IB-7649-01A	TCGA-IB-7646-01A	TCGA-US-A776-01A	TCGA-LB-A8F3-01A	TCGA-FB-AAQ1-01A	TCGA-HZ-8638-01A	TCGA-H8-A6C1-01A	TCGA-F2-7273-01A	TCGA-3A-A9IJ-01A	TCGA-FB-A78T-01A	TCGA-M8-A5N4-01A	TCGA-3A-A9IN-01A	TCGA-F2-6880-01A	TCGA-IB-7888-01A	TCGA-2J-AABI-01A	TCGA-IB-AAUP-01A	TCGA-HZ-A8P1-01A	TCGA-IB-7647-01A	TCGA-FB-AAPY-01A	TCGA-3A-A9I7-01A	TCGA-3A-A9IS-01A	TCGA-S4-A8RO-01A	TCGA-FZ-5919-01A	TCGA-FB-AAQ6-01A	TCGA-HZ-8519-01A	TCGA-IB-A7M4-01A	TCGA-2L-AAQE-01A	TCGA-IB-A6UG-01A	TCGA-2J-AABV-01A	TCGA-HV-A5A3-01A	TCGA-IB-7651-01A	TCGA-US-A77G-01A	TCGA-IB-7893-01A	TCGA-HV-AA8V-01A	TCGA-HZ-A49H-01A	TCGA-F2-A7TX-01A	TCGA-HZ-7926-01A	TCGA-F2-A44G-01A	TCGA-LB-A9Q5-01A	TCGA-IB-7889-01A	TCGA-2J-AAB4-01A	TCGA-HV-A5A6-01A	TCGA-YH-A8SY-01A	TCGA-LB-A7SX-01A	TCGA-HZ-A4BK-01A	TCGA-OE-A75W-01A	TCGA-HZ-A77P-01A	TCGA-HV-A7OP-01A	TCGA-IB-AAUR-01A	TCGA-H6-A45N-01A	TCGA-2J-AAB6-01A	TCGA-IB-AAUT-01A	TCGA-H6-8124-01A	TCGA-F2-6879-01A	TCGA-FZ-5923-01A	TCGA-2J-AAB9-01A	TCGA-3E-AAAY-01A	TCGA-HZ-8317-01A	TCGA-L1-A7W4-01A	TCGA-IB-A5SP-01A	TCGA-FZ-5922-01A	TCGA-IB-7891-01A	TCGA-YB-A89D-01A	TCGA-FB-AAPQ-01A	TCGA-HZ-7925-01A	TCGA-S4-A8RP-01A	TCGA-YY-A8LH-01A	TCGA-HZ-A77Q-01A	TCGA-FB-AAPZ-01A	TCGA-IB-7887-01A	TCGA-IB-7654-01A	TCGA-HZ-7923-01A	TCGA-HZ-7289-01A	TCGA-RL-AAAS-01A	TCGA-F2-7276-01A	TCGA-HZ-8637-01A	TCGA-HZ-7924-01A	TCGA-2L-AAQM-01A	TCGA-PZ-A5RE-01A	TCGA-IB-AAUM-01A	TCGA-US-A779-01A	TCGA-S4-A8RM-01A	TCGA-HV-A5A4-01A	TCGA-IB-AAUU-01A	TCGA-HZ-7919-01A	TCGA-3A-A9IB-01A	TCGA-XN-A8T5-01A	TCGA-HZ-8315-01A	TCGA-HV-A5A5-01A	TCGA-HZ-A49I-01A	TCGA-Q3-A5QY-01A	TCGA-2J-AABT-01A	TCGA-FB-A5VM-01A	TCGA-FZ-5924-01A	TCGA-IB-7890-01A	TCGA-2L-AAQJ-01A	TCGA-HZ-A77O-01A	TCGA-FB-AAQ2-01A
cg05331252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05345062	0.80030674148714	0.876449677383406	0.88057176366297	0.912793948441071	NA	0.881470195609983	0.902171032034224	0.874827068589117	0.870876562806275	0.883261695815345	0.90893456900767	0.897272703299155	0.920276226905557	0.843007652141538	0.928411392838667	0.873766932469694	0.817214979223264	0.934006085963316	0.894540897478931	0.912379698055144	0.924510684043587	0.865029870022606	0.923068044461101	0.841870829793797	0.897737701155999	0.868968882474942	0.869874492323803	0.863627878368675	0.932911309885511	0.860800858747276	0.61336962315309	0.907478490659395	0.838200015103431	0.88329527712549	0.869306318294315	0.878983563910207	0.870009786027453	0.820927098631189	0.918378057102327	0.943699456550041	0.817755938157236	0.779447834008165	0.886340488794187	0.737867807594385	0.824509495399531	0.903517423076536	0.900152781948288	0.918199056841457	0.841208899137341	0.775166443963252	0.760529870610893	0.877584114634059	0.867899905467946	0.880705428199156	0.929283653123259	0.924362206194252	0.870034130314573	0.85277485785949	0.914578569304719	0.915979351246812	0.912992426488625	0.913991527056026	0.890085703968182	0.874324398059733	0.882380369798338	0.924535544431149	0.907037171164474	0.85820810075412	0.92088001054003	0.915244817190206	0.864655733793663	0.896085034673898	0.842464386176323	0.861864119327076	0.910749667010612	0.835782128826354	0.919688261536439	0.892840629443531	0.873253762372555	0.933895639275938	0.885915589845362	0.883491264015523	0.861619213520844	0.920941913344634	0.890771425586503	0.87278634371763	0.87209407836146	0.877606207868561	0.923356176367227	0.139893540684559	0.88555048567601	0.878147348820358	0.896143029058253	0.822672750473969	0.904717285371491	0.93298597292748	0.890882009339639	0.849725778341844	0.874654618376405	0.896369501340338	0.872176410738956	0.901961536742061	0.881687560746741	0.79916164035766	0.890675972566137	0.872558533914807	0.897456334822181	0.795500510850127	0.882795916042537	0.891257589089668	0.865690478089377	0.873731645988045	0.862038723243544	0.905381729654098	0.88078664769367	0.855966227940178	0.900773608084213	0.913283861889709	0.899721528105092	0.926310188674746	0.880521217463575	0.903719951402076	0.910587301260735	0.884219400575467	0.895592459175441	0.871235256478083	0.866284188490675	0.844600969079659	0.914646199719706	0.863577666124189	NA	0.898506455217349	0.915590373996615	0.848392702173909	0.828054926526815	0.863549834017823	0.881692980024629	0.884183644132334	0.871121277362853	0.957400368111983	0.938892395867187	0.858631281418863	0.843306609573301	0.894942356391199	0.933576695030512	0.875344622437708	0.862482000854109	0.933196562846297	0.845376104597317	0.901080842560334	0.760529328953405	0.905614067122206	0.870453840297246	0.878514640880589	0.925501294118002	0.879535182466113	0.919154374689144	0.923505236459563	0.902421498407679	0.361320723267937	0.88619690851946	0.886115751317349	0.895499048407972	0.890284384793399	0.934921860067583	0.922488726360733	0.887057160249975	0.90255208963733	0.928945202566923	0.911532871386549	0.816659095111475	0.911545737484514	0.900720535399243	0.879530892803261	0.924753216843337	0.886738609739274	0.854766453668704	0.854981427814115	0.897940696387571	0.826489776917356	0.916470505640322	0.911887944252618	0.917497639182098	0.875786913729888	0.768298097595533
cg05379002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05402641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05445006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05456482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05461143	0.749576768730072	0.895831201788151	0.915393490935101	0.897920289060107	0.87681123254506	0.835740079601751	0.907334794939417	0.908681214270336	0.785888144597572	0.682124397370945	0.789530146093652	0.895384271448072	0.765252470611338	0.889537075798718	0.790462936055489	0.941230965828013	0.723863703485114	0.905854253224331	0.796424164259754	0.899578160473241	0.929718519820755	0.805091839352132	0.847311108337488	0.84276876758966	0.765114395227657	0.756010014285581	0.930853758819621	0.300879271675189	0.742760376725287	0.89053438013568	0.655203554215141	0.438086245743144	0.864620318074951	0.892225591607139	0.871969511703604	0.909708460152542	0.710782854733123	0.726620070128508	0.885517519866674	0.858589138985291	0.912352645142132	0.444767488490743	0.814612666564523	0.566607490930763	0.773027701061283	0.569065751932505	0.693245647395901	0.926935594334891	0.773518972114125	0.656385637077092	0.601721780331002	0.841687217907457	0.777545197900103	0.904942477809979	0.846545930934962	0.923287767027943	0.555838202209708	0.898128099653852	0.920799737889648	0.856455819252693	0.854204270227018	0.790569490999298	0.739561125645037	0.926664666715067	0.878716210876942	0.930112849235285	0.833445671878607	0.888261121478757	0.934924253349354	0.905227073630132	0.804267098898008	0.910678837063999	0.858263328447273	0.675256436715036	0.884644057968176	0.726503086788237	0.879350750827826	0.922192497064297	0.736390106205846	0.909552951738278	0.693698541093804	0.777908083916351	0.759481540450349	0.881580883754024	0.841911713623454	0.922592781776072	0.880767145982314	0.889646065025218	0.891187056162051	0.88895827401006	0.911780131881182	0.80879838998037	0.931618832757603	0.884097921782759	0.889946070488342	0.938119012321025	0.827443352022827	0.93662646568976	0.519986608704767	0.792889962967622	0.916020203102428	0.604679242730768	0.889296055429613	0.932197956879402	0.926919804347914	0.763566064131751	0.895853180028533	0.864608730303637	0.747820063917378	0.915399840605825	0.849984670697333	0.820630761294575	0.658482729867074	0.919520647461999	0.70690480559406	0.724573931951933	0.923563418642528	0.754971261336623	0.884584843029146	0.844542814880348	0.807434739449594	0.935909066721199	0.679945184963306	0.881710967300663	0.913170307541249	0.881093919739255	0.908898878970951	0.919000047529671	0.802699559998335	0.809466842799009	NA	0.908470593252803	0.909852597288815	0.847903073203111	0.882626980406028	0.900812550002311	0.914833360494719	0.333975736536612	0.912737332288674	0.801456808791199	0.913557271124665	0.841236887018717	0.74265839774249	0.798440949024783	0.930345488318694	0.898895890156023	0.889358560867819	0.838549901402687	0.860622136520634	0.842346966041341	0.793585495362731	0.84187614986027	0.910486317695072	0.915179069594974	0.88497297114774	0.910203218674195	0.867253880432459	0.861496646504996	0.914349539509735	0.7184044860843	0.921577252497224	0.898534595825798	0.928874281711641	0.91226356997938	0.929944451813923	0.83053414793662	0.866127510315549	0.864676452204208	0.94541995482728	0.934792709614759	0.915472267926905	0.840514288262404	0.87158206239236	0.910247969790366	0.78724707216077	0.880965399530146	0.928479989882013	0.911164372764068	0.712104282975131	0.897016843205425	0.915768821173261	0.833405142197286	0.939613238395965	0.819415579390089	0.524398993204703
cg05481217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05484606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05516061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05543443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05554543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05590818	0.685915639915728	0.593836738893336	0.68875275187453	0.860924349382452	0.7036327867431	0.684920943418746	0.821484221169815	0.51321876992961	0.874529935854453	0.886051954401387	0.810536435159383	0.7551527154164	0.685650690541505	0.61166929466343	0.781160625818147	0.579307397065693	0.830197909462639	0.613743395195657	0.734788471509795	0.689990951131202	0.639367277492264	0.558502939606705	0.563450685713938	0.755745723859512	0.795113559429597	0.79749565163324	0.658531719288081	0.917656083858564	0.9309559544235	0.622165306544628	0.907157315218361	0.924350604506451	0.648017271296086	0.736923071408326	0.847931042441313	0.727194720363756	0.808243213390726	0.633006269566233	0.696085070100212	0.883985366101683	0.648482217198616	0.824859073506336	0.842575612782285	0.871875479059353	0.896221050473095	0.817828616816226	0.601757983196198	0.851869662756565	0.585950543288652	0.727211891768044	0.731525980070048	0.717027823851387	0.790067795851272	0.788292670473066	0.651524559816996	0.740881129224744	0.791618538901077	0.762904200669617	0.442940307212262	0.770041325531536	0.727379468038308	0.806102400103709	0.662427907570344	0.740245956729476	0.543292524190156	0.654743329644484	0.531964524606132	0.66175561495273	0.673910202106138	0.818385800079871	0.714812974152086	0.765392441522758	0.57439649594618	0.859844128445344	0.49521112818413	0.576460368616268	0.843118066167136	0.748182579083307	0.723751786999067	0.809389210730929	0.873815546417662	0.803491450881092	0.814235408784856	0.562682050289411	0.869566747500776	0.658415148169024	0.694237104622298	0.74017603659233	0.744068005047041	0.880639789604926	0.814293547055424	0.792898075036619	0.87650557338373	0.436977771848239	0.830297770270091	0.927260443879313	0.63388864051936	0.625962772362599	0.901983183816439	0.745452169814049	0.521017519141827	0.839337841570565	0.757690132437065	0.624223264917232	0.663102497633694	0.687212727506687	0.780238564157858	0.936090458243479	0.702347245239227	0.680798244908736	0.635917350749044	0.774741300286165	0.768936877909702	0.623605281216815	0.71061694487317	0.798663814883957	0.894058371676533	0.627045634771184	0.864410942965792	0.739673576891611	0.681521885485976	0.671125781718948	0.773662909717919	0.74601877261797	0.64732680418821	0.677508177891093	0.750834069273101	0.654517839616928	0.834102393406798	0.590977514420167	0.764918526430043	0.79871567670031	0.81736564929738	0.852684417347975	0.890100494348957	0.646520643389926	0.784967273187715	0.887809617776432	0.883975806260769	0.893418660550812	0.880118214409847	0.712624938172415	0.813315573294774	0.688476503796651	0.735187373925904	0.551195152712947	0.752114923402111	0.759053258087775	0.706099998477945	0.591277652454524	0.640567207497846	0.624638569091466	0.80510969325841	0.663212103893303	0.525915595006413	0.806729199219903	0.6599699167633	0.605855987464423	0.651461073188868	0.907157737771456	0.670783617259941	0.763840700165876	0.519325480421971	0.782510088662669	0.933323726383393	0.703515329889177	0.867192354788412	0.761732329060584	0.608362483042457	0.857196051303539	0.743714385305534	0.49575921543242	0.718167474916425	0.599850610492877	0.769518339052716	0.698687253278234	0.649038552506195	0.618923136384597	0.826968516255065	0.722428648037962	0.58965141687123	0.753705843977008	0.59613165853948	0.68999892595397	0.857882961759045
cg05620791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
