A_CpG_ID	TCGA-VR-AA4D-01A	TCGA-LN-A5U5-01A	TCGA-LN-A49Y-01A	TCGA-LN-A5U6-01A	TCGA-R6-A6DN-01B	TCGA-Z6-AAPN-01A	TCGA-IG-A6QS-01A	TCGA-L5-A88Y-01A	TCGA-L5-A4OF-01A	TCGA-IG-A3YC-01A	TCGA-R6-A6Y2-01B	TCGA-L5-A8NJ-01A	TCGA-LN-A5U7-01A	TCGA-VR-A8ER-01A	TCGA-JY-A93C-01A	TCGA-IG-A4QS-01A	TCGA-VR-AA7D-01A	TCGA-LN-A49W-01A	TCGA-VR-A8EO-01A	TCGA-LN-A7HZ-01A	TCGA-2H-A9GR-01A	TCGA-2H-A9GK-01A	TCGA-L5-A8NM-01A	TCGA-XP-A8T7-01A	TCGA-IG-A5B8-01A	TCGA-L5-A8NG-01A	TCGA-L5-A4OX-01A	TCGA-IG-A3YA-01A	TCGA-JY-A93D-01A	TCGA-LN-A7HW-01A	TCGA-M9-A5M8-01A	TCGA-LN-A9FP-01A	TCGA-LN-A49O-01A	TCGA-JY-A93E-01A	TCGA-LN-A4A8-01A	TCGA-R6-A6DQ-01B	TCGA-L5-A88W-01A	TCGA-L5-A4OW-01A	TCGA-JY-A6FE-01A	TCGA-JY-A6FB-01A	TCGA-L5-A8NF-01A	TCGA-L5-A4OI-01A	TCGA-Z6-A8JD-01A	TCGA-VR-AA7B-01A	TCGA-R6-A6L6-01B	TCGA-L5-A43H-01A	TCGA-2H-A9GN-01A	TCGA-L5-A4OE-01A	TCGA-L5-A4OM-01A	TCGA-LN-A49V-01A	TCGA-VR-A8EX-01A	TCGA-L5-A43I-01A	TCGA-JY-A939-01A	TCGA-L5-A88S-01A	TCGA-JY-A6FA-01A	TCGA-LN-A4A3-01A	TCGA-VR-A8Q7-01A	TCGA-L5-A4OH-01A	TCGA-VR-A8EQ-01A	TCGA-2H-A9GH-01A	TCGA-L5-A4OQ-01A	TCGA-L5-A8NH-01A	TCGA-2H-A9GM-01A	TCGA-L5-A43E-01A	TCGA-2H-A9GG-01A	TCGA-R6-A6XQ-01B	TCGA-LN-A7HX-01A	TCGA-L5-A8NE-01A	TCGA-IG-A97I-01A	TCGA-R6-A6KZ-01A	TCGA-RE-A7BO-01A	TCGA-LN-A49U-01A	TCGA-IG-A50L-01A	TCGA-L5-A4OT-01A	TCGA-IG-A3YB-01A	TCGA-LN-A49X-01A	TCGA-JY-A6FH-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EY-01A	TCGA-LN-A49P-01A	TCGA-X8-AAAR-01A	TCGA-L5-A8NV-01A	TCGA-LN-A4A9-01A	TCGA-VR-A8ET-01A	TCGA-V5-A7RB-01A	TCGA-L5-A8NU-01A	TCGA-LN-A9FR-01A	TCGA-L5-A8NR-01A	TCGA-L7-A6VZ-01A	TCGA-IG-A7DP-01A	TCGA-V5-A7RE-01A	TCGA-LN-A4A2-01A	TCGA-2H-A9GF-01A	TCGA-L5-A8NQ-01A	TCGA-L5-A43M-01A	TCGA-IG-A4QT-01A	TCGA-LN-A49L-01A	TCGA-V5-AASV-01A	TCGA-V5-AASX-01A	TCGA-R6-A8W5-01B	TCGA-LN-A4A6-01A	TCGA-S8-A6BV-01A	TCGA-2H-A9GL-01A	TCGA-JY-A6FD-01A	TCGA-IG-A5S3-01A	TCGA-LN-A9FQ-01A	TCGA-L5-A4OR-01A	TCGA-Z6-A8JE-01A	TCGA-Z6-A9VB-01A	TCGA-L5-A43J-01A	TCGA-JY-A6FG-01A	TCGA-LN-A49R-01A	TCGA-IG-A625-01A	TCGA-IG-A97H-01A	TCGA-IG-A4P3-01A	TCGA-S8-A6BW-01A	TCGA-VR-A8EW-01A	TCGA-XP-A8T8-01A	TCGA-IG-A3I8-01A	TCGA-V5-A7RC-06A	TCGA-L5-A4OP-01A	TCGA-JY-A938-01A	TCGA-VR-AA7I-01A	TCGA-L5-A43C-01A	TCGA-L5-A4OU-01A	TCGA-LN-A4MR-01A	TCGA-L5-A4ON-01A	TCGA-LN-A9FO-01A	TCGA-2H-A9GI-01A	TCGA-L5-A8NW-01A	TCGA-L5-A4OS-01A	TCGA-VR-A8EP-01A	TCGA-ZR-A9CJ-01B	TCGA-VR-AA4G-01A	TCGA-L5-A4OG-01A	TCGA-2H-A9GJ-01A	TCGA-KH-A6WC-01A	TCGA-2H-A9GQ-01A	TCGA-L5-A891-01A	TCGA-XP-A8T6-01A	TCGA-L5-A893-01A	TCGA-LN-A4MQ-01A	TCGA-LN-A8I0-01A	TCGA-IC-A6RF-01A	TCGA-IG-A51D-01A	TCGA-L5-A88T-01A	TCGA-LN-A8I1-01A	TCGA-L5-A8NI-01A	TCGA-Q9-A6FU-01A	TCGA-L5-A8NN-01A	TCGA-IG-A3QL-01A	TCGA-Q9-A6FW-01A	TCGA-LN-A49K-01A	TCGA-LN-A7HV-01A	TCGA-L5-A8NS-01A	TCGA-LN-A4A1-01A	TCGA-R6-A6XG-01B	TCGA-LN-A4A5-01A	TCGA-L5-A8NK-01A	TCGA-IG-A3Y9-01A	TCGA-L5-A4OO-01A	TCGA-L5-A88Z-01A	TCGA-R6-A8WG-01A	TCGA-IC-A6RE-01A	TCGA-L7-A56G-01A	TCGA-L5-A8NT-01A	TCGA-R6-A6Y0-01B	TCGA-LN-A7HY-01A	TCGA-JY-A6F8-01A	TCGA-R6-A8WC-01A	TCGA-L5-A8NL-01A	TCGA-V5-A7RC-01B	TCGA-V5-AASW-01A	TCGA-IG-A8O2-01A	TCGA-JY-A93F-01A	TCGA-LN-A49N-01A	TCGA-LN-A8HZ-01A	TCGA-LN-A49M-01A	TCGA-L5-A88V-01A	TCGA-L5-A4OJ-01A	TCGA-2H-A9GO-01A	TCGA-R6-A6L4-01A	TCGA-R6-A8W8-01B	TCGA-VR-A8EZ-01A	TCGA-LN-A49S-01A	TCGA-LN-A4A4-01A
cg01659483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01711850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01729288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01735082	0.562963033990114	0.330739099059969	0.0895899188639728	0.738779204758542	0.173144269192979	0.586458703214832	0.538922523795054	0.357530056021277	0.444652288187393	0.508632854874926	0.299993945407019	0.594372048691016	0.113961977937938	0.58211818351641	0.693439452749659	0.176247030902172	0.284386037934163	0.542942064707012	0.22051325728271	0.351079578567917	0.363827642694743	0.370926167680755	0.285343819880952	0.679670257164168	0.477028513018256	0.362966494970844	0.342625662911424	0.512515405346422	0.401178513681085	0.811085477262479	0.262563258121597	0.543618626341142	0.303597527970973	0.35933900026265	0.32970902368949	0.530181037212649	0.5612988743704	0.446545523558155	0.27864470684468	0.443692883103758	0.323586938724069	0.540141301647469	0.491737947951652	0.361263686349128	0.460357572987467	0.593659708788404	0.395169223154861	0.318271619154552	0.352410220787305	0.905868099391164	0.40747584909278	0.363032158023662	0.582098708708124	0.342920858944554	0.299437117663279	0.44716224543024	0.304901525521901	0.218185445393154	0.519445010999748	0.390443299278995	0.489464820374944	0.315364906747985	0.242520038538677	0.263091203262965	0.834316666248155	0.143285107170434	0.229682976219697	0.169225267799528	0.480431376047658	0.353147099120362	0.332580084299382	0.139435303742525	0.713769645886822	0.294961930986902	0.838100954746821	0.503006277620937	0.54361091245654	0.514063869626009	0.217465194731568	0.493986683838189	0.796513730820589	0.315740180769466	0.591668747248603	0.625966380532292	0.652474520043729	0.634700865095728	0.287918325013848	0.457781059156037	0.265378480099888	0.536214024945606	0.187242712373185	0.261018207309776	0.628657076521877	0.477957719600049	0.54815738695816	0.691263567042586	0.326632893314818	0.207254940907804	0.330233775696073	0.399418247826319	0.365772074641638	0.658420684191703	0.902434400783702	0.430447124352917	0.202643641166642	0.708405796964155	0.217043332124575	0.252569420031666	0.214854435061727	0.41104120969662	0.202522626005226	0.165056886572975	0.263002685258038	0.729881345232734	0.628399946856402	0.375790961199389	0.195549085528573	0.266322274784839	0.550602678337129	0.79286413234951	0.613583655231508	0.713018927701643	0.637748707169941	0.714653286468628	0.728729893436447	0.454615134786563	0.726215106152509	0.355016447926904	0.336021476204966	0.260785864439979	0.683340836553583	0.372388769585442	0.405431864644522	0.309490457378348	0.361447596573443	0.260522405872349	0.465129922407288	0.432633131810365	0.45388402194405	0.317487899053492	0.604250962657101	0.808024728811292	0.394549740401321	0.316642447963099	0.442632006732729	0.549711929832892	0.515568993972499	0.728207422422353	0.453700206684139	0.396926354200936	0.489284633807166	0.680881141353723	0.329002933857157	0.652627239453033	0.413814403926926	0.196541465258711	0.878462234847626	0.700233420601793	0.458716068960614	0.371592151309484	0.6277029220705	0.252921912823615	0.231517150306574	0.324265665328931	0.298086484882355	0.742729100306362	0.407287846704707	0.332538374620448	0.761336948132012	0.0960429119984599	0.315820151075363	0.739535035811272	0.486882182870316	0.20373811837823	0.23332095640116	0.418972272995469	0.434298955371961	0.215687675662619	0.909968082720902	0.216746263381601	0.446127789750596	0.6913597903646	0.212268389667485	0.609546320618924	0.323865968894209	0.185112228486179
cg01774400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01776221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01796929	0.861027021473324	0.919208795276576	0.928566140100321	0.910253077205747	0.88217466627303	0.823224683400725	0.904070561975848	0.519284169771791	0.903735831535686	0.843593670370593	0.784508288983469	0.712909305693159	0.911350793386384	0.821343297949071	0.653723528083928	0.851812418873584	0.844995438576831	0.785460610657044	0.922603667520836	0.855539765362488	0.58608284241024	0.491094761626474	0.329347609672944	0.856608386863546	0.914991470703909	0.560079228257058	0.724369334373422	0.882975369955809	0.731748679307413	0.830820535219991	0.507841083669882	0.842641603766921	0.909177767151003	0.624198985220594	0.915394994690148	0.720447903105508	0.889849900397518	0.877549878230075	0.324774179653428	0.86794923909645	0.89194084812742	0.895290996042811	0.797153881254244	0.859421578111156	0.894094471134617	0.844211968371978	0.786677539584316	0.800359388025528	0.934728593007102	0.93476734786619	0.764628579006716	0.707584684519008	0.612687564348722	0.785510542263244	0.804413245718298	0.87092663643701	0.744798673571644	0.877509685660484	0.644502666410577	0.640974030379088	0.851073546246811	0.822206496831801	0.749924142290045	0.851006103098998	0.709767381248944	0.745391588303298	0.851802166205623	0.485270344859922	0.745411534449281	0.826277432185927	0.81919445465254	0.910888394381349	0.856096957891001	0.848693555221887	0.897117583203516	0.810889992469949	0.856510134855406	0.882501443425706	0.827746922138384	0.866441060555862	0.738400436359274	0.55328288498383	0.884572080217506	0.727103135039398	0.80856438294603	0.657536771983769	0.729908274476868	0.697068871901701	0.54990424622477	0.606507280451992	0.829725503286177	0.918435877282399	0.840442412731474	0.814439916349537	0.860212791151982	0.616355387170843	0.902608527838323	0.463763726265227	0.74537498481576	0.817027280337347	0.879312128682911	0.855936704429366	0.648660845344844	0.791016707278449	0.870421215063077	0.80968428578829	0.828030139489637	0.719302844421395	0.813079870043074	0.913777871950605	0.712409577721567	0.904904880054566	0.855539125267888	0.735120525703569	0.791191006884194	0.819844799856721	0.824854351388817	0.804086726261082	0.919834268804557	0.881752056958646	0.806875992050196	0.621983987537829	0.795534427052517	0.781393004938669	0.843263656654326	0.895451688997919	0.610702841329793	0.876309032671917	0.507341588171557	0.850576391220596	0.842380549727099	0.87336663748565	0.651576387370077	0.829407232989904	0.783881556780044	0.851341839054767	0.762234182348673	0.736527491944905	0.79193411748142	0.798068113284686	0.798007989070102	0.883538942680204	0.831238607691818	0.603307999077108	0.859379436979345	0.836266973570236	0.850654423594562	0.665098699885371	0.828974782414246	0.892327853633469	0.944178758063533	0.832635061238338	0.853905245936231	0.797731800478952	0.626698681162152	0.799364902635988	0.906937808870908	0.879270152962492	0.826761495190918	0.90892464477298	0.736161312655667	0.898163018076597	0.451707507190727	0.771284877493831	0.864303059855777	0.722550193501034	0.876884940653519	0.769146933939475	0.928018977524776	0.645544240229907	0.67535124142178	0.833011058256242	0.73893749804083	0.78667300912643	0.321157421146333	0.845635873509411	0.76665796242678	0.917216887653441	0.810758029462403	0.597080301084179	0.51904081718443	0.854211409767328	0.744205844737296	0.784380837688785	0.887986252552766	0.912698440554472
cg01834373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01836858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01837661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01864295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01905090	0.565730671371573	0.605184125555689	0.162977847564978	0.802067387688348	0.908416526844099	0.538812704547434	0.283409637054405	0.557398168651004	0.488510555082526	0.530237925314498	0.397386324268463	0.602766237657922	0.564396422352966	0.766880108086741	0.548938074162502	0.256720742002172	0.51578260733275	0.605038072279969	0.611899907872124	0.858448186961858	0.730358243855932	0.489031782249772	0.760584187298556	0.752257188417906	0.510301933930733	0.566645712735481	0.764450193192846	0.544943597737953	0.717431029843838	0.428772708830492	0.741801833869068	0.651861109426394	0.471755342652585	0.620009927861105	0.605284141570796	0.401836878150161	0.303799072630604	0.478211951122843	0.312930652880358	0.278377145959542	0.221663282627598	0.582378413119755	0.655965071613236	0.423326438237956	0.600566382986994	0.747136193602929	0.29422668163775	0.817883537813601	0.404440768397476	0.904435210911684	0.547626874218726	0.425957084390262	0.691320335945473	0.453982213630677	0.269229364372765	0.498032804616312	0.358176755629783	0.399891862639837	0.494263529226317	0.402943307029148	0.580887197073341	0.446575260502059	0.306848760717701	0.290071286677842	0.403389366346202	0.309390895878562	0.447027472149971	0.494121118012278	0.605648945621153	0.478737882384805	0.545981209163978	0.251307548565281	0.678753040551442	0.673750649315041	0.85922063114696	0.640802195576516	0.359913425835065	0.857918166821532	0.223779899018278	0.792286005296672	0.509812565792434	0.686650922544917	0.403586845844482	0.584397186386329	0.763215606512665	0.61422356454938	0.643259374726994	0.358099842613786	0.834084785597311	0.670878204876642	0.646762590619729	0.481692850241458	0.335191781202061	0.594125915670774	0.70627017095725	0.678822963456199	0.819245552225857	0.257357625462969	0.508765584741036	0.452439957515529	0.416440815008099	0.665284299394475	0.220572632877801	0.455655431833897	0.850857415885463	0.917843523814618	0.269313210729108	0.374439447638114	0.382470579742394	0.83962192832597	0.276818962416052	0.504832869974743	0.862517345236848	0.317235744574646	0.61511013348206	0.361153758766013	0.610350026181215	0.84536488950147	0.47847149503559	0.832418103360432	0.643449822365494	0.707732575836833	0.432632665907617	0.653383009188578	0.662411048218283	0.376766208710284	0.837683605021232	0.787435594040229	0.392085181337135	0.525090025372123	0.554471788699406	0.605533335922488	0.501908525689615	0.406114996381202	0.796186774003057	0.339221868956043	0.740481532627692	0.516641014990039	0.210615760523019	0.431977315660856	0.4632352524568	0.694682771043794	0.827041508988582	0.396567704032909	0.528748995710874	0.660946619887168	0.719180205905436	0.545483284745987	0.491419893874184	0.595290205453461	0.561643973531107	0.697619522186339	0.612038046534349	0.369515743731474	0.599063656871517	0.459188810381524	0.84009987137591	0.759048499584934	0.562984507988238	0.516282340030167	0.65291574065783	0.901684939081807	0.233811666875602	0.40553728511216	0.603447956687758	0.387182910813437	0.525409816908888	0.714987557271691	0.81719828685068	0.157110201399251	0.477099929066206	0.827860862881735	0.564920581852482	0.338871710159787	0.29742785919128	0.524725308226311	0.512554087276765	0.341805961373687	0.897731771109475	0.522971713343002	0.404497320722124	0.675624238603189	0.758775939399294	0.876953352006187	0.533832256385823	0.425568895626748
cg01909681	0.876964999613118	0.836176873257447	0.336118364387686	0.900701618651836	0.917038145446264	0.865883110661712	0.888079461760818	0.884454422301226	0.832689887802856	0.781163441686588	0.854421804791113	0.887451628970944	NA	0.827521784088308	0.800820591395023	NA	0.906587982804725	0.819426225366539	NA	NA	NA	0.738500838751321	0.5898431267304	0.861760269028406	0.796130540717335	0.856688209351058	0.818213212129151	0.797177734146383	NA	0.881999499343129	0.86799969601355	0.790810389250088	0.926930882869593	0.884492283629774	0.792096834013447	NA	NA	0.867385758194306	0.426154453677094	0.864031974066524	0.822908895464485	0.706517292902515	0.828126807983108	0.877339979948446	0.729268289931291	0.894008285580395	0.867697266586092	0.716926940271586	0.897927608558188	0.924922676048439	0.845508555915145	0.727174665159541	0.85090701905179	0.747482207043211	0.447689442391093	0.935069645208686	NA	NA	0.76699557456772	0.793932491218731	0.829298779231603	0.755284824555377	NA	0.82631308057764	NA	0.313459111441979	0.332348096802951	NA	0.868958526692669	NA	0.640999881579819	0.8715111386296	0.920777928694893	NA	0.924510683742453	0.878828838932939	0.763745273852146	0.883437471126309	NA	0.826978842720728	0.887398733826588	NA	0.738617498669448	0.825075614803925	0.89073656436681	0.790816625986281	NA	0.830420957477703	0.764634639094181	0.788064012150745	0.902292893618788	0.903626224099421	0.850026491223995	0.810346489769094	0.853868962011332	0.840551070002815	0.936313664381573	NA	NA	0.840533022396696	NA	0.855602708206268	NA	0.757480492172006	0.899831789563863	NA	NA	NA	0.739303584096425	0.930174199625304	NA	0.887645191631314	0.823099912966674	NA	0.785208858029099	0.812992063220929	0.870738268758016	0.882845079435602	0.865753682179958	0.880051661261861	0.89801355979717	0.808376829384799	0.871798038628591	0.837611325645344	0.875799045648271	0.889514707070735	0.854510985100726	0.823065810745063	NA	NA	0.830874412773289	NA	0.814773422646735	0.744419072234257	0.806055976749965	0.783637526170531	0.856520169630534	0.736394205460457	0.902794042228981	0.603259141366687	0.87853327340264	0.911140716103455	NA	0.426977743270068	0.880523309409964	0.828968119320072	0.896987992890458	0.778567203671965	NA	0.866464879281594	0.914927280804449	0.82812959404356	0.869185307225872	0.644247841590554	0.729373049824137	0.839425007302114	0.907448294411241	0.878362073821737	0.83074805318376	0.856356703500707	0.808250207165124	NA	NA	0.909939951361794	0.908427709239221	0.873481149140599	0.885107714450137	0.916952372050546	0.678829370689469	0.835024947180866	0.81186039160145	0.896667875828607	0.848991869244986	0.58382906922623	NA	0.837894651719042	0.822626002921439	0.683497235907588	0.911286826106233	NA	NA	NA	0.799141774533691	0.804587460364452	0.713743326751623	0.855064155561176
