A_CpG_ID	TCGA-06-6390-01A	TCGA-06-5411-01A	TCGA-14-0862-01B	TCGA-28-5208-01A	TCGA-06-5418-01A	TCGA-06-0650-01A	TCGA-12-5299-01A	TCGA-19-5951-01A	TCGA-28-2510-01A	TCGA-74-6573-01A	TCGA-76-4926-01B	TCGA-76-6663-01A	TCGA-76-6664-01A	TCGA-19-0957-02A	TCGA-41-6646-01A	TCGA-06-A7TK-01A	TCGA-19-5959-01A	TCGA-06-5859-01A	TCGA-76-6660-01A	TCGA-74-6578-01A	TCGA-RR-A6KC-01A	TCGA-28-5219-01A	TCGA-26-A7UX-01B	TCGA-26-5135-01A	TCGA-06-5417-01A	TCGA-06-5415-01A	TCGA-28-5213-01A	TCGA-06-5414-01A	TCGA-06-0190-02A	TCGA-19-5958-01A	TCGA-19-5956-01A	TCGA-28-6450-01A	TCGA-76-4935-01A	TCGA-06-5410-01A	TCGA-06-5413-01A	TCGA-06-6699-01A	TCGA-81-5910-01A	TCGA-14-1043-01B	TCGA-19-5955-01A	TCGA-06-6391-01A	TCGA-06-0125-02A	TCGA-OX-A56R-01A	TCGA-14-1034-02B	TCGA-06-0171-02A	TCGA-06-6695-01A	TCGA-06-0210-02A	TCGA-28-5204-01A	TCGA-19-1389-02A	TCGA-19-1389-01A	TCGA-06-0211-02A	TCGA-26-6174-01A	TCGA-06-0221-01A	TCGA-76-6286-01A	TCGA-06-A7TL-01A	TCGA-06-6701-01A	TCGA-32-1979-01A	TCGA-06-0210-01A	TCGA-06-6700-01A	TCGA-15-1444-01A	TCGA-26-6173-01A	TCGA-4W-AA9T-01A	TCGA-19-A6J5-01A	TCGA-RR-A6KA-01A	TCGA-06-0171-01A	TCGA-06-0221-02A	TCGA-81-5911-01A	TCGA-12-5301-01A	TCGA-28-5209-01A	TCGA-19-5954-01A	TCGA-76-6661-01B	TCGA-26-5134-01A	TCGA-74-6584-01A	TCGA-74-6581-01A	TCGA-06-0125-01A	TCGA-06-0211-01A	TCGA-26-1442-01A	TCGA-06-1804-01A	TCGA-RR-A6KB-01A	TCGA-76-4925-01A	TCGA-19-5953-01B	TCGA-19-5947-01A	TCGA-26-5132-01A	TCGA-19-4065-02A	TCGA-26-5133-01A	TCGA-14-1402-01A	TCGA-76-4929-01A	TCGA-06-6698-01A	TCGA-14-1450-01B	TCGA-76-6657-01A	TCGA-76-6192-01A	TCGA-74-6575-01A	TCGA-76-6280-01A	TCGA-14-0740-01B	TCGA-76-4931-01A	TCGA-76-6656-01A	TCGA-06-0190-01A	TCGA-4W-AA9S-01A	TCGA-14-1395-01B	TCGA-06-6388-01A	TCGA-06-A5U1-01A	TCGA-06-A6S0-01A	TCGA-06-6694-01A	TCGA-76-6662-01A	TCGA-19-4065-01A	TCGA-76-6193-01A	TCGA-19-A6J4-01A	TCGA-41-5651-01A	TCGA-06-6697-01A	TCGA-12-5295-01A	TCGA-06-6693-01A	TCGA-28-5207-01A	TCGA-19-5952-01A	TCGA-06-A6S1-01A	TCGA-06-5416-01A	TCGA-26-5136-01B	TCGA-06-A5U0-01A	TCGA-28-5220-01A	TCGA-76-6191-01A	TCGA-19-5960-01A	TCGA-14-0781-01B	TCGA-74-6577-01A	TCGA-76-4927-01A	TCGA-76-6285-01A	TCGA-19-0957-01C	TCGA-06-1806-01A	TCGA-28-5216-01A	TCGA-28-2501-01A	TCGA-76-6282-01A	TCGA-28-5215-01A	TCGA-14-0736-01A	TCGA-14-0736-02A	TCGA-28-5211-01C	TCGA-76-4932-01A	TCGA-06-5412-01A	TCGA-19-5950-01A	TCGA-19-A60I-01A	TCGA-06-5408-01A	TCGA-28-5218-01A	TCGA-32-1980-01A	TCGA-87-5896-01A	TCGA-76-6283-01A	TCGA-28-5214-01A	TCGA-06-5858-01A	TCGA-76-4934-01A	TCGA-26-5139-01A	TCGA-06-6389-01A	TCGA-32-5222-01A	TCGA-76-4928-01B	TCGA-06-5856-01A	TCGA-4W-AA9R-01A	TCGA-06-0152-01A	TCGA-06-0152-02A	TCGA-14-1402-02A
cg08158805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08170119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08177743	0.92607064523134	0.894674143667	0.704345320790627	0.841815126932287	0.938361450242254	0.864864722830985	0.948767959745622	0.970040651653631	0.891798661193419	0.917157396230218	0.946354423820675	0.929651044480955	0.900026000365891	0.817134575949602	0.881289743887809	0.934542354222184	0.833135530995716	0.865583953218918	0.845108464664078	0.849322523904281	0.861079262229438	0.924318778049666	0.937051000907684	0.942222351542249	0.766820947033194	0.929073086456693	0.929897443324275	0.871387340773444	0.547685433618801	0.930236147858445	0.748885150507039	0.891894604792292	0.942385708161437	0.885527300630269	0.826088616690802	0.909662087294004	0.897798045873016	0.936953318088685	0.865501535288885	0.828741890978979	0.935404168784788	0.825678939301839	0.540965694503069	0.903147611681449	0.914727860554201	0.822394555438204	0.906037032176943	0.851429195555977	0.895875369391275	0.921638717671104	0.935992214547495	0.930524447057165	0.796189373721646	0.948141548759664	0.943295164704316	0.750799478451643	0.719688643397643	0.920276195362541	0.922902725886105	0.90751167616499	0.867841242453343	0.925009901674407	0.885099548423681	0.9045195177217	0.930536889967339	0.934163300613613	0.878780495800868	0.937437246887718	0.90489399551902	0.906053361086928	0.939996318787557	0.730150612046126	0.918946189962427	0.892184499181074	0.924018953865909	0.923353468912398	0.897611079444653	0.912384330150787	0.941060624395251	0.896406315275982	0.440602435931013	0.937516413191384	0.764740735999187	0.62479526181945	0.878773168692884	0.950496608829876	0.661717192738011	0.888634857755974	0.622105674514906	0.85058875957958	0.854783199411157	0.697044899841927	0.823615755804818	0.914568551465101	0.855632203207254	0.617766956878186	0.538623997094353	0.712250053181025	0.919978290102312	0.792294652204382	0.913974021765841	0.84893249754475	0.954381207674178	0.393780001862544	0.904169867010502	0.92682476416132	0.953254841575612	0.830332919806411	0.859338381499234	0.900526972945958	0.920160355480176	0.895868726935049	0.894614479164863	0.482732889479149	0.739107992152045	0.880987994094792	0.925606452532891	0.87134695330187	0.941187570563125	0.93629112073298	0.852260557230816	0.924244638973289	0.901082356337632	0.640887550763625	0.872770256096453	0.798414956694886	0.930613278894396	0.868303621635909	0.858231432095473	0.564028482031726	0.637699665587054	0.780551400195104	0.941966957376106	0.749977320418187	0.785772131642989	0.889970173749489	0.866682787701877	0.74498788373735	0.898129971161881	0.862531393428737	0.590155436440742	0.908586987081981	0.936489531240861	0.891717651530857	0.701840948917128	0.934219295382172	0.922631687183121	0.887940606208663	0.817748249696598	0.886794736460592	0.93431844871479	0.914342892794112	0.731210578071289
cg08222555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.924655577761522	0.888429023856302	0.893100307666012	0.651564026339386	0.514366139355314	0.905684442453959	0.943802807003111	0.933079530447678	0.678258121249238	0.93693994620249	0.938515116470104	0.936143010246148	0.935670131084954	0.619544065981356	0.931830866047104	0.911241454631795	0.909213573785321	0.807805558772843	0.826447883428128	0.927914309421591	0.927671520531565	0.643143979748291	0.944943120577273	0.792546154017601	0.917069071297586	0.93806227407681	0.903207528647237	0.938172849098428	0.763308468572286	0.950697398500076	0.940621284516367	0.922368619951906	0.90719509541673	0.701114027845121	0.704626823492409	0.946347091176862	0.94329715255957	0.92688262042302	0.904078015614756	0.936169405560122	0.93902550248834	0.946284454536811	0.958128284659384	0.871973254522914	0.955856633463751	0.68665993233967	0.921313609483405	0.936229700252576	0.91904967759165	0.944871771149822	0.929737087687242	0.929792297836866	0.556537483663014	0.934620397109351	0.949269042854698	0.931215729985425	0.693964560709622	0.937550205545662	0.92874982916482	0.921593261154403	0.92828221479953	0.932201282697725	0.898766799701426	0.929373147685796	0.888330627184637	0.953276213167234	0.933159592052974	0.953093783355435	0.950172705292257	0.956676269734815	0.59089970232059	0.672930225623148	0.948874523295854	0.903155365296511	0.947197704005958	0.946140383353078	0.932623368004508	0.925622221883741	0.87298159403152	0.912979076831501	0.921730044397632	0.94530214166374	0.773292102328301	0.938424860335744	0.941356357681628	0.80786382822009	0.943252548028785	0.911203428840496	0.667527062700376	0.86452541578068	0.947279354383936	0.953404842189614	0.369156663294501	0.920321696760747	0.957224910888111	0.687913082043432	0.936047023174757	0.93353390376914	0.921333732006612	0.821068583550056	0.911605584898871	0.789750421181604	0.903288618323775	0.456018964499401	0.739149399761817	0.901571832215838	0.599244629101512	0.712181264501156	0.933696623594192	0.933505673736776	0.910426828912472	0.922578006724821	0.848243673036507	0.907032936025816	0.894148002545783	0.915266771058731	0.849569792684725	0.654566724892175	0.93639056764448	0.892139253230072	0.659659378867797	0.774093204945952	0.666072630008424	0.332156661417317	0.922010946372924	0.526226952420211	0.91987835849714	0.923213012551338	0.777285406512247	0.933247204654973	0.923512223648931	0.889209537929674	0.922961409332925	0.855923072799503	0.948742821369126	0.928625949346327	0.905656023281185	0.707739808648198	0.906014320498639	0.927936311489068	0.963937226384582	0.93258288815702	0.949046121352028	0.929498956835417	0.920020788107664	0.944458525200516	0.906614248172465	0.923786596603005	0.941946034677859	0.91281749958076	0.581606555159789	0.905473456140916	0.944087992232647
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.932579019697905	0.902008737797368	0.800158143272257	0.938823075940222	0.952515783733468	0.91102874852664	0.932221511374102	0.932573266418187	0.821941917762204	0.935409424880407	0.940899976168564	0.938371668895036	0.803108995852129	0.944174012433283	0.944316994581122	0.900857254101165	0.927486733189784	0.96112576166733	0.800153406205986	0.928066780475015	0.897642370172411	0.854806265124879	0.937488592081645	0.93509977428228	0.931316447363556	0.928028917830194	0.931122057492186	0.942344563203228	0.944487944924164	0.947547740752101	0.911502237180944	0.945044445269193	0.837128999319219	0.921776387874007	0.944403955859123	0.908164938047363	0.868001623536371	0.962935990231654	0.917183057446827	0.84338177059394	0.913629533446637	0.943869069006654	0.947579175751885	0.94224143124092	0.949193950126058	0.912851317294029	0.939635914090893	0.93155269325637	0.913322413674634	0.945022684227719	0.92147331489068	0.940931388588028	0.947860073877648	0.924462891922746	0.953985585003679	0.878876265115429	0.944956382219182	0.925792265227421	0.93573553575646	0.936626811299964	0.923752774126829	0.919014317518463	0.894993525693376	0.931351840147477	0.932455923956878	0.952868501254431	0.817215800908142	0.91832746533454	0.94538742697772	0.946367630159031	0.660709933592412	0.947216397580264	0.943781600031204	0.88584143644869	0.943495290223405	0.931119315900804	0.807131990274591	0.931103945051481	0.931397194734869	0.943138613285344	0.949573898082867	0.920168927172954	0.940561368509322	0.936968013681762	0.949728149840351	0.916615066073917	0.957201122644739	0.940685809844694	0.938900791812035	0.892149137435956	0.942154430939266	0.949254298126883	0.43609915500944	0.936143465213143	0.951574259348134	0.933061939832963	0.924102367809916	0.924887981860131	0.879857742672057	0.917180037597653	0.917345451936608	0.932262050958732	0.939549351975418	0.915954019711	0.909484843407292	0.906961304655227	0.937380455544734	0.937062684632998	0.934063962618472	0.937619484451705	0.884441730585962	0.938951360685813	0.908754360866358	0.326680786533279	0.925960704452105	0.832456553329775	0.934227098808746	0.733378378408546	0.954313727613556	0.946711220040324	0.948816041155377	0.919201774682982	0.882440418450709	0.948557914336953	0.823345339404416	0.865519886461166	0.932412153498425	0.923594827534304	0.574390219812629	0.910176576260897	0.906246936020366	0.943064571171914	0.924216462998181	0.933704235755187	0.94316497165153	0.923970993583021	0.948646607110319	0.894264587853312	0.890159970146596	0.941616800090216	0.903413712785316	0.920535279994679	0.739675478610116	0.894526605910762	0.924570988862132	0.944911863502467	0.909765556555911	0.923710157795862	0.940492053042384	0.905422986308369	0.946144726035716	0.941714472254088	0.921856003741704
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08488494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08509032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08547427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08593037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08596858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08670672	0.948293838926669	0.923602062441074	0.9506403227265	0.938116123783476	0.95868911489955	0.944434843673311	0.933468115382328	0.93071631812174	0.931066474824095	0.956887449475371	0.941878667174281	0.949175036752979	0.965805732492383	0.949244210668593	0.958099787397534	0.899471511316255	0.941701996463115	0.931352411060703	0.942852850704503	0.953365455035452	0.902976640857662	0.872292912281575	0.943619519127716	0.931965781340626	0.899639542650198	0.935322199971968	0.925440569850705	0.920742345648581	0.957661982361339	0.923870509140624	0.887258141551955	0.930688497335584	0.913055418609283	0.938368910176304	0.917528667158798	0.957674055078173	0.905549347667958	0.953589876289557	0.932604856514913	0.937429194817761	0.956869651125131	0.908746022200623	0.950577819566179	0.963407896884693	0.95882295911386	0.916021136709094	0.919199168913843	0.956834083902349	0.941946662780589	0.949894582076418	0.927048303272174	0.951294216520184	0.949471685565498	0.878096815008599	0.949634513254513	0.861845899897469	0.948809481240979	0.946967135475961	0.92876278617668	0.946674413610707	0.912652711913415	0.884491239643904	0.884802333762128	0.946636935499304	0.950337902045878	0.959919186966498	0.95013253887873	0.937840865240184	0.936960244513329	0.95425869035553	0.913445801904212	0.923344304598134	0.956318966312952	0.942705124193399	0.933073792622433	0.930697657906559	0.945754709619765	0.906172061421259	0.927832651279927	0.961475950822578	0.951834335361597	0.942365272075425	0.943198720010609	0.927442737317133	0.943141663785048	0.908800268981966	0.954794388902634	0.948107115284362	0.954219952665334	0.937463722657566	0.958216755111765	0.960967572993326	0.944663631282083	0.922436723830002	0.945318353279059	0.947805582315992	0.924584387602298	0.916012566353422	0.947336750631502	0.896290769316837	0.884895744028149	0.956178692447569	0.946290538941843	0.955305256649234	0.952485596413128	0.916948769772776	0.938635102321364	0.949080523597991	0.952488885498142	0.954002934655665	0.937842037859948	0.948576262118996	0.905138205574559	0.79853445276698	0.923627855187807	0.868491425539821	0.931062680391554	0.890609231793168	0.952260215992244	0.886675341768276	0.930336483489943	0.928288745680874	0.790624456149778	0.898239631554642	0.957699165884309	0.878875749984493	0.931955038653148	0.950139934888126	0.930014854887334	0.948086799372126	0.931795405250556	0.937241625886521	0.912550977811995	0.920155949463898	0.942868062407937	0.906703236472765	0.949345735668305	0.922846441224396	0.945181162672278	0.956750575288871	0.96114874293937	0.93542805698593	0.936020273804091	0.939191571126369	0.938586300005663	0.946127869009086	0.9342561679452	0.922442650804025	0.956795349887816	0.910282211268037	0.948759809585013	0.951290140767309	0.953527643866521
