A_CpG_ID	TCGA-QR-A707-01A	TCGA-WB-A820-01A	TCGA-QR-A70X-01A	TCGA-WB-A817-01A	TCGA-RW-A680-01A	TCGA-QT-A5XM-01A	TCGA-QR-A6H2-01A	TCGA-SR-A6MP-01A	TCGA-RW-A684-01A	TCGA-WB-A81J-01A	TCGA-WB-A80N-01A	TCGA-QR-A6GO-01A	TCGA-QT-A5XJ-01A	TCGA-S7-A7WU-01A	TCGA-SR-A6MV-01A	TCGA-WB-A81G-01A	TCGA-WB-A81N-01A	TCGA-WB-A80V-01A	TCGA-QR-A70J-01A	TCGA-QR-A6H0-01A	TCGA-RW-A68F-01A	TCGA-WB-A81H-01A	TCGA-QR-A70R-01A	TCGA-SA-A6C2-01A	TCGA-TT-A6YN-01A	TCGA-S7-A7WP-01A	TCGA-W2-A7HD-01A	TCGA-QT-A69Q-01A	TCGA-QT-A5XN-01A	TCGA-QR-A703-01A	TCGA-QR-A70D-01A	TCGA-WB-A816-01A	TCGA-QR-A70G-01B	TCGA-WB-A81E-01A	TCGA-WB-A81Q-01A	TCGA-S7-A7WT-01A	TCGA-QR-A6GZ-05A	TCGA-QR-A706-01A	TCGA-QR-A70K-01A	TCGA-QR-A700-01A	TCGA-WB-A81I-01A	TCGA-QR-A705-01A	TCGA-QR-A6H3-01A	TCGA-RW-A681-01A	TCGA-SR-A6MY-01A	TCGA-QR-A6H6-01A	TCGA-SP-A6QI-01A	TCGA-RM-A68W-01A	TCGA-S7-A7X1-01A	TCGA-QT-A5XO-01A	TCGA-WB-A80K-01A	TCGA-WB-A81R-01A	TCGA-SR-A6N0-01A	TCGA-PR-A5PG-01A	TCGA-TT-A6YP-01A	TCGA-SQ-A6I4-01A	TCGA-QR-A70A-01A	TCGA-QT-A7U0-01A	TCGA-QR-A6GY-01A	TCGA-P8-A5KC-01A	TCGA-WB-A815-01A	TCGA-SP-A6QC-01A	TCGA-QR-A7IP-01A	TCGA-QR-A70W-01A	TCGA-RW-A686-01A	TCGA-QT-A5XP-01A	TCGA-QR-A708-01A	TCGA-SP-A6QK-01A	TCGA-QR-A6GW-01A	TCGA-S7-A7WM-01A	TCGA-XG-A823-01A	TCGA-RW-A688-01A	TCGA-QR-A70V-01A	TCGA-WB-A81F-01A	TCGA-QR-A70Q-01A	TCGA-SR-A6MT-01A	TCGA-WB-A81S-01A	TCGA-S7-A7WQ-01A	TCGA-RX-A8JQ-01A	TCGA-W2-A7HF-01A	TCGA-QR-A6GU-01A	TCGA-QR-A702-01A	TCGA-RW-A67Y-01A	TCGA-QR-A6GR-01A	TCGA-WB-A81D-01A	TCGA-WB-A81K-01A	TCGA-QR-A70E-01A	TCGA-RW-A7CZ-01A	TCGA-W2-A7HC-01A	TCGA-QR-A7IN-01A	TCGA-WB-A818-01A	TCGA-QR-A6H4-01A	TCGA-S7-A7WL-01A	TCGA-RW-A685-01A	TCGA-P7-A5NY-05A	TCGA-SR-A6MX-01A	TCGA-TT-A6YO-01A	TCGA-WB-A81V-01A	TCGA-RW-A68G-01A	TCGA-RW-A68C-01A	TCGA-WB-A80Q-01A	TCGA-SR-A6MR-01A	TCGA-QR-A70N-01A	TCGA-P8-A6RX-01A	TCGA-QT-A5XL-01A	TCGA-QT-A5XK-01A	TCGA-WB-A822-01A	TCGA-RW-A686-06A	TCGA-QR-A6H1-01A	TCGA-WB-A80Y-01A	TCGA-RT-A6YA-01A	TCGA-S7-A7WX-01A	TCGA-W2-A7H7-01A	TCGA-QR-A70P-01A	TCGA-RW-A7D0-01A	TCGA-SR-A6MQ-01A	TCGA-SP-A6QF-01A	TCGA-S7-A7X2-01A	TCGA-QR-A6GX-01A	TCGA-S7-A7X0-01A	TCGA-WB-A821-01A	TCGA-S7-A7WW-01A	TCGA-SQ-A6I6-01A	TCGA-QR-A70C-01A	TCGA-PR-A5PF-01A	TCGA-SR-A6MZ-01A	TCGA-QR-A70U-01A	TCGA-WB-A81M-01A	TCGA-SP-A6QJ-01A	TCGA-WB-A81W-01A	TCGA-TT-A6YJ-01A	TCGA-QR-A70O-01A	TCGA-RW-A68B-01A	TCGA-RM-A68T-01A	TCGA-QR-A6GT-01A	TCGA-WB-A80M-01A	TCGA-QR-A70H-01A	TCGA-S7-A7WR-01A	TCGA-W2-A7HH-01A	TCGA-RT-A6Y9-01A	TCGA-S7-A7WN-01A	TCGA-WB-A80L-01A	TCGA-SR-A6MU-01A	TCGA-RW-A67W-01A	TCGA-P8-A5KD-01A	TCGA-P8-A6RY-01A	TCGA-S7-A7WV-01A	TCGA-S7-A7WO-01A	TCGA-WB-A81A-01A	TCGA-P7-A5NY-01A	TCGA-QR-A70M-01A	TCGA-W2-A7HB-01A	TCGA-SR-A6MX-06A	TCGA-RW-A8AZ-01A	TCGA-WB-A80P-01A	TCGA-SR-A6MX-05A	TCGA-RW-A68D-01A	TCGA-WB-A80O-01A	TCGA-SP-A6QH-01A	TCGA-QR-A6GS-01A	TCGA-SR-A6MS-01A	TCGA-WB-A81T-01A	TCGA-QR-A70I-01A	TCGA-W2-A7UY-01A	TCGA-QR-A6H5-01A	TCGA-RW-A67X-01A	TCGA-WB-A814-01A	TCGA-QR-A6ZZ-01A	TCGA-SP-A6QG-01A	TCGA-QR-A6GZ-01A	TCGA-P7-A5NX-01A	TCGA-W2-A7HE-01A	TCGA-QR-A70T-01A	TCGA-RT-A6YC-01A	TCGA-W2-A7H5-01B	TCGA-RW-A67V-01A	TCGA-PR-A5PH-01A	TCGA-WB-A81P-01A	TCGA-SP-A6QD-01A	TCGA-WB-A819-01A	TCGA-RW-A68A-01A	TCGA-RW-A689-01A	TCGA-TT-A6YK-01A	TCGA-W2-A7HA-01B
cg05379002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05402641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05445006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05456482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05461143	0.244025782052402	0.593860420278325	0.603426984304322	0.567148273336465	0.339837002970899	0.767047912704802	0.308887739865778	0.611911633534699	0.377176047610082	0.245969039491255	0.465468139649502	0.433863083797071	0.387154085162161	0.457014538056669	0.428556452627821	0.546711371198745	0.817319117910194	0.257210162522091	0.863669091291981	0.704149001030377	0.255906584180668	0.735610717952418	0.317193675841493	0.790372195042864	0.364214347664556	0.582297959219888	0.236413215860176	0.43674080934068	0.540377396831244	0.513782613226407	0.506651585397804	0.655617209353386	0.538536884941195	0.34761697878305	0.704859879398642	0.664322078341661	0.796308513524687	0.749612064863837	0.150269362546302	0.211326999755247	0.251508165410569	0.393847572655614	0.603737655822974	0.0861814158852213	0.436297505674238	0.898144944999779	0.537475345157684	0.513403399970519	0.637696052023415	0.281903473973756	0.542340989642152	0.418315293552147	0.64105609889453	0.300524947914439	0.670006656050358	0.639669492593395	0.355625423869049	0.348644855058928	0.286894732881413	0.739443476130683	0.877358529914584	0.480576553437041	0.613481153344532	0.217486092978854	0.457714979544446	0.588285884332036	0.290095681588649	0.643449705533583	0.534915501170414	0.56527497902221	0.513168499524802	0.314527634977866	0.148747315540052	0.644990000569139	0.481412305387394	0.589112036497972	0.379002429112165	0.618801562469791	0.30432739800075	0.365341847575984	0.763978323692513	0.154257948903574	0.121865513692015	0.500800929727281	0.490302786318905	0.63728458240988	0.771220303116251	0.54051807731676	0.549518969942946	0.35155168193119	0.547656260316328	0.393732932543581	0.202149713937561	0.492879349759436	0.679639384292379	0.317000600221392	0.912350731834169	0.609934143095449	0.413391526695281	0.640945178194458	0.636041038678662	0.58826881131238	0.627370388293689	0.772356256421492	0.494054818707769	0.713267878446527	0.632087927945769	0.629485126056316	0.349456151546027	0.316497415043939	0.61884970646506	0.441146021195764	0.468988635376229	0.636423424258632	0.518185780186886	0.616554012310083	0.697667300953626	0.392918474639163	0.575211189464673	0.653742943699958	0.65855353082374	0.678667500225663	0.421698233539127	0.597890514503909	0.521399591928526	0.705868414605782	0.504103956088592	0.495159061949602	0.341652351727809	0.426294617281567	0.237535302361162	0.640439350884541	0.25768382112829	0.481278524216476	0.558755988497597	0.196120899037627	0.74227885288439	0.608863126260788	0.789639854830402	0.270862507704907	0.44278582309965	0.533353403519916	0.671688497324146	0.607105415565827	0.361267216161685	0.628506994011931	0.90110439142434	0.852659822770529	0.551191557446222	0.5673795171	0.229167042504984	NA	0.306254715135173	0.294081817020692	0.369770313557919	0.402433268360359	0.388238112370512	0.598546781793187	0.849290896617356	0.448318679723078	0.699819983803124	0.619482136886969	0.699040989115326	0.728797987480565	0.702948173454672	0.676834060696268	0.625573557302805	0.690723830670685	0.551284020198358	0.59077543098106	0.540303361141239	0.779173247783537	0.256967326444329	0.384469332959213	0.74174611825339	0.16054422847079	0.586657319154532	0.661800801932971	0.572260051233971	0.530648262121641	0.618073877493379	0.690025843569978	0.503126965002743	0.398602662310549
cg05481217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05484606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05516061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05543443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05554543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05590818	0.911550123352344	0.633176327781121	0.569561211939858	0.819244025339882	0.834424727577741	0.602700312046694	0.863255585526618	0.878921469069066	0.733139386923544	0.908083677351247	0.526615477000424	0.830584096427669	0.929328463608854	0.914795378881285	0.569460455953118	0.853777554686736	0.916555898754663	0.896603076677702	0.680910030900727	0.658317946036256	0.913510053638988	0.766388820227124	0.50053347846062	0.924377263956686	0.554876409416938	0.819747291898911	0.941145778591643	0.903904794618957	0.92036695228623	0.849923301127919	0.896386837080012	0.756417779038092	0.720126380032156	0.903425424320479	0.680044455319159	0.796920576791297	0.871665739417942	0.655091454775589	0.824678254703324	0.797723020362762	0.916588908412137	0.903110582819244	0.699981872604825	0.950202633848983	0.163316073670756	0.860235178304404	0.870555318960097	0.715731651510375	0.765881474325405	0.65962428797501	0.663669860029543	0.60505934544608	0.824941920652008	0.655994135861965	0.703522556066684	0.629178103126107	0.906984043174155	0.856820846037514	0.896594740904323	0.678311758817744	0.803472027217171	0.766706118058647	0.891956805648515	0.909136120716623	0.869367711748918	0.538389057477442	0.67120594378689	0.648998449860031	0.875055081494439	0.866938552123164	0.774469369191324	0.908673047532112	0.720987851186392	0.862741063218218	0.810478924448328	0.917674402115297	0.846385503465319	0.781794341138365	0.858925078516927	0.540144329544398	0.847541164062594	0.699468527991683	0.943811138650428	0.613562471504716	0.855116407715722	0.837037651647726	0.569936465059393	0.719392546611655	0.881791463768236	0.880929830641016	0.525201657953593	0.781123457959387	0.93339163250537	0.810674666578393	0.193680919768687	0.869252350245745	0.698858186336841	0.857154011819018	0.834639879632518	0.689047397996268	0.895531631323943	0.582330963615363	0.733523303805165	0.830116071936293	0.760645552398021	0.649870141107574	0.700821797489972	0.729655643168779	0.864057454426086	0.886795279664777	0.869646107521831	0.786868671792985	0.806682389842262	0.901904684222575	0.769152807995593	0.876682815867252	0.876294529992863	0.837872719951902	0.855811114987241	0.739814407836724	0.90055167872837	0.940808569678136	0.89177450245171	0.738228148297023	0.840688560262178	0.85314873243539	0.859945804252469	0.0793213322457301	0.840189359360833	0.918179496046794	0.926078319104109	0.756812009765296	0.559287018200485	0.826096359624766	0.636123299479325	0.937718629757549	0.495444526451802	0.929985727392244	0.899478592688372	0.876030327155207	0.855798519830577	0.855250427418658	0.661444718317753	0.847172456827602	0.855810803680308	0.926293599176791	0.593972852375233	0.594958820313284	0.917261846752257	0.863334828781543	0.901199799311741	0.833971235133773	0.78362303508538	0.856822772430536	0.856456177970526	0.862256121028362	0.883466046547208	0.766293764824746	0.41457324971139	0.7790974209028	0.907592375002138	0.593620176815878	0.865912031395348	0.773248532899975	0.622463870947212	0.619072743819959	0.811755731728411	0.713899835342331	0.932928168034363	0.770642309964717	0.830253879573309	0.689807236333344	0.94471000791829	0.393061811262903	0.31203218847721	0.843592202247245	0.660815105061308	0.735729747079769	0.865824917106232	0.760235141830782	0.853957179411601	0.461650242712382	0.667352456974718	0.777804970516537
cg05620791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05669672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05679686	0.464053244485368	0.414551276011782	0.615046339870304	0.57483660965284	0.954322710662605	0.433887123177051	0.33136575043488	0.493579426649939	0.5017270144405	0.573970894258064	0.525276468176932	0.484001228246216	0.896337577463159	0.884989397142919	0.711561584049232	0.877930271396575	0.755704215787064	0.538813533722695	0.871463990652727	0.905974363480844	0.942755595507404	0.527059701293376	0.329930869278199	0.942009527699124	0.527812571961085	0.921544075338786	0.213985048896517	0.689771420951486	0.869485750529128	0.911356225711658	0.918682956914974	0.667765735699284	0.856129247967453	0.607266484392741	0.71998814571368	0.762232727421179	0.593493170950335	0.746172557507047	0.946882955218184	0.399494012798736	0.869761419859775	0.761956797102555	0.905607939829803	0.506041970059547	0.582238244635153	0.921183919117473	0.267714153384533	0.908128231726024	0.796003093511356	0.322465909772987	0.945398790109509	0.400759034698103	0.773643108827233	0.542953817245711	0.883347094066916	0.5691222157313	0.894218063642085	0.913932899991286	0.400746389183657	0.839048571116348	0.643206697874588	0.4953371153922	0.933328720557202	0.52523053760855	0.48656128412925	0.384874989423437	0.647773223499381	0.404991703556279	0.618066073771282	0.534382405807835	0.920612989360165	0.194898315612128	0.798626179176939	0.540056553841187	0.915806645317498	0.90510195368251	0.482348867511338	0.830870623070605	0.614212971276538	0.774379981047511	0.915955246687083	0.858683622742689	0.411477877942096	0.567475863541693	0.41653883963512	0.759879307030411	0.91275552776357	0.907382626605102	0.524745682240333	0.839702538561656	0.383240679403355	0.744467292952528	0.688297477372816	0.454140380108318	0.551465687707707	0.90585786077198	0.887269765513506	0.406297797830897	0.615078128766868	0.867704142462725	0.855046524196161	0.899425761091067	0.715370567647502	0.926317363365511	0.81978051638689	0.462486266184485	0.925580864163169	0.627848609505061	0.553038841562497	0.52789884374978	0.276147937856539	0.397450063112655	0.939852222447594	0.944519877871247	0.420219805091836	0.402420922057646	0.415801468815141	0.439982454221677	0.58315139036287	0.836766606060466	0.850810393334067	0.889207533084173	0.302165766825968	0.675765758096135	0.509002893159849	0.741386331110093	0.602706807663493	0.139016355883411	0.500374474432439	0.469505850996269	0.601088188568869	0.55333325765206	0.25715041704855	0.897099867816608	0.902064197985319	0.402227901196002	0.28090675161604	0.593091525961421	0.950093845077561	0.926939879879853	0.615565623881626	0.486459626003711	0.794346796603115	0.586730961202184	0.512635758364654	0.90443295354225	0.804939896523717	0.872650997545394	0.809491310995107	0.514998305562852	0.229011944028706	0.382644900456641	0.935939916161204	0.561685375315218	0.808143418527169	0.928348821168626	0.917093146799789	0.499067010200323	0.783527359955502	0.292338535576423	0.498351239506039	0.582157295474661	0.912672561167817	0.87415279269185	0.825222410738408	0.86048874893879	0.900790239559997	0.891974809621195	0.939492653310238	0.871421335588537	0.934892506397691	0.675386595162439	0.836125827627128	0.580049730842907	0.27831558032408	0.550489933426145	0.639683309684478	0.42268349884676	0.9321523802874	0.581100451713001	0.869617453304016	0.275087787660255	0.863229513335622	0.84766699655516
