A_CpG_ID	TCGA-N5-A4RV-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4WA-01A	TCGA-N5-A4RO-01A	TCGA-ND-A4WF-01A	TCGA-N6-A4VD-01A	TCGA-N8-A4PQ-01A	TCGA-N5-A4RN-01A	TCGA-N7-A59B-01A	TCGA-N5-A4RU-01A	TCGA-N7-A4Y5-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RJ-01A	TCGA-N9-A4Q3-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PI-01A	TCGA-QN-A5NN-01A	TCGA-N8-A4PM-01A	TCGA-NA-A4R1-01A	TCGA-N6-A4VG-01A	TCGA-NF-A5CP-01A	TCGA-N8-A4PP-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RT-01A	TCGA-QM-A5NM-01A	TCGA-NA-A4QW-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WC-01A	TCGA-N9-A4Q7-01A	TCGA-N8-A56S-01A	TCGA-NG-A4VU-01A	TCGA-N5-A59F-01A	TCGA-N9-A4Q8-01A	TCGA-N5-A4R8-01A	TCGA-N7-A4Y8-01A	TCGA-N5-A59E-01A	TCGA-NF-A4WU-01A	TCGA-N9-A4Q1-01A	TCGA-N5-A4RD-01A	TCGA-NF-A4X2-01A	TCGA-N8-A4PO-01A	TCGA-N5-A4RA-01A	TCGA-N6-A4VE-01A	TCGA-NF-A4WX-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QX-01A	TCGA-NG-A4VW-01A	TCGA-N6-A4VF-01A	TCGA-N8-A4PL-01A	TCGA-N6-A4V9-01A	TCGA-NA-A4R0-01A	TCGA-N7-A4Y0-01A	TCGA-NA-A4QV-01A	TCGA-N6-A4VC-01A	TCGA-NA-A4QY-01A	TCGA-N9-A4Q4-01A
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.87797431931463	0.94592595165641	0.958233599060032	0.86173869052688	0.927488661097175	0.943709822001504	0.944521236490008	0.953513104047033	0.972862110005731	0.961226679388982	0.969562355163101	0.943793909977898	0.940307017504137	0.95454801724875	0.971556239680011	0.940580218237155	0.95717612659788	0.929921454559051	0.813644066472467	0.95848233564621	0.919092319106793	0.959786337401279	0.948096633285183	0.958796209999033	0.924116290914717	0.961393935861339	0.95005819064052	0.936604523022195	0.951176763828247	0.936664888062078	0.967560648781177	0.941385399802997	0.902727885044854	0.963216257775376	0.937262687864294	0.950819305637978	0.873855243643387	0.964056970917227	0.938231207659112	0.928008498367875	0.962442728798719	0.963173182100912	0.901726713085754	0.958791417118003	0.952653199417078	0.960987572675583	0.964747878289832	0.947529867359209	0.928589470161959	0.96216514556924	0.900746566569284	0.945778869075749	0.611874335204933	0.952670730179453	0.936791154119422	0.962020766656624	0.927756085349257
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.202313990600566	0.224743417246404	0.688655444271577	0.125164070878058	0.0781807046311321	0.344392500308374	0.352719401158068	0.128661816815691	0.801651592536053	0.25462315940388	0.383055165270304	0.485772641193634	0.293480513708141	0.349294318398202	0.470003962034819	0.437271021020905	0.165642214115212	0.194362922826781	0.30012205406939	0.780050625184411	0.472355292843673	0.557986895330586	0.309554879039331	0.23698460476658	0.231275128695702	0.479524582306175	0.544720764027983	0.554250276278597	0.827412913147457	0.407112764070579	0.510560068456933	0.374430954638828	0.225438980043375	0.157422992224048	0.236873871292375	0.2078044040766	0.297911216070388	0.653010364034234	0.747444659440052	0.291564071511372	0.283036610775055	0.374830468291732	0.653031736965862	0.388115739015415	0.238673887433746	0.436082910994998	0.328029903778745	0.760098315420466	0.337282854201838	0.534391036372848	0.760490864648503	0.515835024122639	0.189837824292119	0.279560816725053	0.702381499880235	0.391733879268617	0.192769536897756
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.836461769769784	0.882273500164129	0.901209451727816	NA	NA	0.887649388204175	0.868723675194842	0.801053825710461	NA	0.872805536372327	0.889258495416454	0.89331630679086	0.866809913098734	0.860996478326764	NA	0.828330195236131	NA	NA	0.860147068373654	NA	NA	0.881017440240902	NA	0.852660618898278	NA	NA	0.855870452206111	NA	NA	0.840688927372639	NA	0.884180453019089	NA	0.824114056676404	NA	NA	NA	NA	NA	0.799312007198723	NA	0.877125954395808	NA	NA	0.894401984789233	0.856160356766773	0.847477151686822	0.889942990565656	0.904616181694024	0.874672418300759	NA	0.862821084120506	0.843004083402164	0.855739616898823	NA	0.852060933898841	NA
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.361607152614844	0.15077326256807	0.268871331409335	0.190851325998161	0.296451402536124	0.104733926080126	0.390015598321334	0.123254105868614	0.0918227741921769	0.298426514832033	0.627044616808143	0.191248137093235	0.333907961194962	0.116167631054425	0.450406618937	0.0845035634330026	0.222083593121687	0.145764037634624	0.655468579143342	0.244717144726992	0.392404792681129	0.233119976411733	0.0828900747253829	0.155646965925581	0.090948769629123	0.0752290963029481	0.609413342882921	0.31629360918036	0.207307805537503	0.315871646534978	0.237434178579635	0.42112179627753	0.17840998505283	0.133410597675507	0.123148663893998	0.0601933242643095	0.122336057118574	0.237069521616362	0.348562493000653	0.0877732725671159	0.203701484677207	0.153517364212415	0.496882885861295	0.130557802068859	0.390496510282822	0.0761495537847778	0.509718693979692	0.39037755948143	0.231509487890765	0.0961592174584078	0.0702067370925277	0.30019568661923	0.174803061243171	0.164070425112559	0.136973852981401	0.323922203801675	0.441997251131508
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00812839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00834234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00850868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00894142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00919576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00954931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01009068	0.930445418381134	0.951639056099201	0.94699795234024	0.927453762173239	0.90897985886074	0.948320918924729	0.936201305751914	0.910381096211825	0.93720317740666	0.919797426330537	0.960542351880977	0.954692578037511	0.947355086607285	0.948275406817283	0.932494683431885	0.938149054901563	0.932921117567101	0.927947265897314	0.908087203308146	0.941874194223641	0.942862688348563	0.93289253970781	0.915936480314099	0.934225077556989	0.919060035428696	0.926187517039903	0.923606065210107	0.901765394643007	0.913131496203502	0.916819709820515	0.934374758790571	0.936258601765268	0.89852993708317	0.941440268845942	0.937604273224462	0.936142759496984	0.905011072938052	0.944131216115544	0.942292801188717	0.933685790527189	0.913788754220612	0.94409777664723	0.949661004919928	0.927471026399666	0.942509552916004	0.921036056435714	0.929323997634399	0.93194491867422	0.927442392322783	0.939931829017088	0.941101020858085	0.924758262565634	NA	0.947502128135456	0.937345170411798	0.931524148131117	0.943410288175957
cg01049884	0.940484292659602	0.984159112822765	0.897144472768847	0.981871618938007	0.979287299791671	0.953075363372627	0.971121780775174	0.966409440798189	0.945618948865021	0.983288514460252	0.983941555030454	0.974083781894708	0.963994704038248	0.946833466120708	0.983410020463837	0.979059773788286	0.967210329147995	0.979355575538044	0.971217592520871	0.977118000650215	0.965153922668196	0.96192912218975	0.966040136524268	0.978559111293541	0.974133619474437	0.941920598599161	0.946285371858163	0.982538122942465	0.93598369894206	0.972228066180802	0.930116911788003	0.971641949318332	0.98040749762104	0.964517701830745	0.980493692666229	0.977615413897243	0.981787841138581	0.947145864303099	0.979158211284812	0.971051913545971	0.955039741852029	0.98350084710707	0.983797609101094	0.976296569325841	0.956983364484427	0.978263372051414	0.976015006874359	0.948456046480573	0.953346711217988	0.95812754515001	0.928422216941366	0.982660509978292	0.981769357783338	0.978648403238187	0.961942506018254	0.972825683921325	0.983905076992384
cg01052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01080483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01132485	0.463680873221446	0.915153797036288	0.369867888371689	0.878089041907884	0.70871087211605	0.652680323358188	0.85641768807931	0.366432158880161	0.539318135600254	0.681599614429345	0.881012136420072	0.883985904721195	0.865974077864727	0.704239465226814	0.924518995793788	0.90013735150151	0.878597702045392	0.849672708699055	0.608572765650981	0.899537955393572	0.657640264620812	0.779000443562714	0.403864551113756	0.811216713491311	0.897028045592323	0.472536546895739	0.86302161661763	0.821778391390586	0.713701821017889	0.589322456714194	0.680761620861154	0.824025711121897	0.81919627683263	0.870086978524855	0.621658662982246	0.907417098910874	0.897728229953853	0.780532093823176	0.845971245820886	0.334549971495726	0.688381564943794	0.678371934978899	0.859263253859196	0.601246157377486	0.88516525088371	0.556432833676357	0.516205793689378	0.728435508106342	0.742958653582306	0.887920187765244	0.900385574104396	0.674721864036402	0.248156589488315	0.895820528618762	0.553102325693635	0.701668179074835	0.212985210972448
cg01135961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01137421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01154525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01163994	0.468454372477678	0.944416066888812	0.846148265250272	0.714958001547074	0.768854916680869	0.887070138022029	0.833981466174648	0.153508318550941	0.854974148376167	0.367860853773264	0.956360000222763	0.934722082613547	0.899898446754225	0.9277538581717	0.900037806212651	0.408289900456932	0.518749972916083	0.908989961652745	0.457307934031387	0.935828690117295	0.922605737682013	0.843206594433105	0.929363831157211	0.895195529885604	0.798599147821952	0.655305535404631	0.854269380862126	0.838554001096874	0.902623999733615	0.874870324583207	0.866768469516418	0.844912964086682	0.822798014245918	0.90177982444111	0.909324081896273	0.47112647978541	0.729365195225791	0.928478728093524	0.869519965608551	0.329007903867417	0.418398367691376	0.862617111825995	0.766151107556434	0.759615041581608	0.935592212244231	0.562032970164204	0.727894363413903	0.939481955005434	0.927099102239816	0.92175597279743	0.913655001407814	0.90123504651621	0.157363397132704	0.904104142803813	0.893826120582293	0.934897113833333	0.4056558291871
