A_CpG_ID	TCGA-G5-6235-01A	TCGA-EI-6506-01A	TCGA-F5-6571-01A	TCGA-G5-6233-01A	TCGA-DC-6682-01A	TCGA-CI-6620-01A	TCGA-AF-2690-01A	TCGA-AG-3591-01A	TCGA-F5-6811-01A	TCGA-AG-A020-01A	TCGA-DC-6683-01A	TCGA-G5-6572-01A	TCGA-G5-6572-02A	TCGA-EF-5830-01A	TCGA-CI-6621-01A	TCGA-AF-3911-01A	TCGA-EI-6512-01A	TCGA-DC-6156-01A	TCGA-EI-7002-01A	TCGA-EI-6885-01A	TCGA-CI-6624-01C	TCGA-CI-6619-01B	TCGA-DC-6154-01A	TCGA-F5-6864-01A	TCGA-F5-6810-01A	TCGA-DT-5265-01A	TCGA-AF-6136-01A	TCGA-AF-6672-01A	TCGA-DC-6157-01A	TCGA-EI-6509-01A	TCGA-AG-4021-01A	TCGA-AG-3731-01A	TCGA-CL-5917-01A	TCGA-F5-6863-01A	TCGA-AF-A56N-01A	TCGA-DY-A1DG-01A	TCGA-DY-A1DD-01A	TCGA-AG-A02N-01A	TCGA-F5-6813-01A	TCGA-F5-6814-01A	TCGA-DY-A0XA-01A	TCGA-DC-4749-01A	TCGA-EI-7004-01A	TCGA-DY-A1H8-01A	TCGA-EI-6882-01A	TCGA-F5-6465-01A	TCGA-EI-6508-01A	TCGA-AF-2687-01A	TCGA-AG-3742-01A	TCGA-AF-2693-01A	TCGA-G5-6641-01A	TCGA-BM-6198-01A	TCGA-AG-A026-01A	TCGA-AH-6547-01A	TCGA-F5-6861-01A	TCGA-DC-6158-01A	TCGA-EI-6510-01A	TCGA-DC-5337-01A	TCGA-AG-3592-01A	TCGA-EI-6917-01A	TCGA-AH-6549-01A	TCGA-AH-6897-01A	TCGA-AH-6903-01A	TCGA-DY-A1DC-01A	TCGA-EI-6881-01A	TCGA-DC-6681-01A	TCGA-AG-A01W-01A	TCGA-AH-6544-01A	TCGA-AG-A01Y-01A	TCGA-CI-6623-01B	TCGA-CL-4957-01A	TCGA-EI-6884-01A	TCGA-CI-6622-01A	TCGA-DC-5869-01A	TCGA-EI-6507-01A	TCGA-EI-6511-01A	TCGA-AH-6644-01A	TCGA-AG-3725-01A	TCGA-DC-6155-01A	TCGA-F5-6702-01A	TCGA-CL-5918-01A	TCGA-AG-A036-01A	TCGA-EI-6513-01A	TCGA-AF-A56K-01A	TCGA-DC-6160-01A	TCGA-DY-A1DE-01A	TCGA-EI-6883-01A	TCGA-EF-5831-01A	TCGA-EI-6514-01A	TCGA-AF-4110-01A	TCGA-DC-4745-01A	TCGA-F5-6464-01A	TCGA-AG-4022-01A	TCGA-DY-A1DF-01A	TCGA-AG-3732-01A	TCGA-AH-6643-01A	TCGA-AF-6655-01A	TCGA-AF-A56L-01A	TCGA-F5-6812-01A
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.802527122079641	0.859730620323245	0.66426774787766	0.746304279955371	0.817228974812446	0.480245614498305	0.807233999814148	0.265688561295372	0.619309976839468	0.6273057662605	0.586387124071198	0.853784040329319	0.714106819199296	0.531456439161529	0.841672291182445	0.756122799431318	0.904009360443357	0.781795584609758	0.318539032685015	0.670322741446247	0.681490490483841	0.646529168679381	0.538884777183177	0.819585475220914	0.572071573215638	0.908761066249821	0.814927806942723	0.428253608707846	0.798204088638583	0.825827527444903	0.698176704814917	0.595418832949259	0.775241032499464	0.802947708928763	0.380966913768214	0.604563072314928	0.812700925355353	0.270057700084218	0.835574688570639	0.728228875902101	0.764991662391639	0.693631876437325	0.559924637559745	0.655661279864652	0.526496036614324	0.800876962283043	0.633568076295366	0.627186348504113	0.806569021273059	0.890038418315614	0.551534298090638	0.871425340821041	0.846721594581671	0.706602769068486	0.809369786448962	0.729692474741463	0.335101000577506	0.742762287773435	0.812232530736146	0.8327877554847	0.790171300282179	0.515569168578636	0.733048139970071	0.867379830634252	0.929699268060472	0.624127762865365	0.788627532840627	0.868218464148463	0.819018744116752	0.661595772541595	0.735817819740794	0.806336871215764	0.676023337514361	0.69953514257087	0.682961644694723	0.835396194298064	0.82353733998215	0.628278549538919	0.72979420335398	0.599258870234081	0.780669814160965	0.869233577335425	0.586784409701478	0.739899526455695	0.522033784790146	0.516968982134657	0.881949879174373	0.817238038040191	0.749400980218672	0.826183587605059	0.83665474958047	0.645049391802602	0.825959309396695	0.636740169295555	0.341672327581208	0.787263486796457	0.821781304699201	0.744716013252384	0.857531915151845
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.921168703375325	0.959101447385592	0.949524647244158	0.832187278738294	0.941522216403586	0.904847947018081	0.950017613935261	0.932267298002521	0.847978928014431	0.911220342858284	0.930959686795584	0.956712191014832	0.944049054027033	0.697176684366405	0.933081881222345	0.898094492369856	0.950740556197047	0.955312787910851	0.970716996081518	0.956705395222141	0.942502961116799	0.901471842761076	0.937145206480823	0.938560172257278	0.717129833146577	0.92062714936236	0.915877675668658	0.943200617608134	0.966621795811617	0.942477537048475	0.939374007045093	0.833417011044896	0.960246901126279	0.9530756370378	0.963047532283096	0.966043526054458	0.966027700076136	0.870376214079317	0.935247712121084	0.933911088916751	0.943671789880238	0.947883621473589	0.9016099119086	0.94550151778139	0.813420196092622	0.779902756710436	0.883306406934853	0.935979062606634	0.965676118411042	0.931412547466265	0.945143298484996	0.936424497967548	0.960177104444649	0.927708871914383	0.961049572019933	0.940647832699806	0.935935745426456	0.917461895921717	0.959139498664538	0.965426473916613	0.878883082967279	0.921764790727883	0.958108023443555	0.967474979947492	0.956226660164243	0.931786811634602	0.94303598858775	0.958852188436061	0.922597416604521	0.717893805082691	0.92426187579485	0.964956898456935	0.922010416494782	0.681141581803189	0.962868850099181	0.912893328549959	0.945449899508892	0.924532104949199	0.95435415634352	0.932977654772187	0.93917430407988	0.938276361752839	0.759161625894602	0.930369274113142	0.930649598591793	0.802880915695102	0.965392151916082	0.967408778589823	0.946786968426018	0.924215228775662	0.926959674855397	0.93216639708347	0.950421853331713	0.961928770047388	0.827839262849287	0.959976463804147	0.935322754276204	0.954729109505033	0.946669816311605
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.428847339715497	0.480377060211432	0.194591546237861	0.406581494320154	0.44557046898697	0.305558809947798	0.451287142830936	0.177521654354827	0.350966853453299	0.21984141776148	0.368084082517768	0.886319450419586	0.673236895367202	0.137109165843315	0.672943433391008	0.219002719008544	0.269492192264391	0.362491099720641	0.13062859402656	0.263999956297331	0.537464617833528	0.333084365455577	0.105739006567201	0.463158768705665	0.198358307049318	0.24281793226495	0.212368440965953	0.373783454165761	0.135152993052663	0.313506847535259	0.211389407815915	0.48230435983756	0.171611716047468	0.170519736648328	0.258985906765034	0.128329147609625	0.0806760607316629	0.232557222029511	0.485129256521636	0.226281115837121	0.262510700500453	0.187104205669507	0.577620701301328	0.133527283947205	0.291381956738993	0.395479522637996	0.163131976837902	0.434175511222576	0.145036416169271	0.309762671394173	0.237857309673624	0.384509010679053	0.142087111010903	0.50082183279993	0.38307157959256	0.28364015330385	0.363144466901065	0.294010089848914	0.281681598919648	0.775235533363653	0.290132003388251	0.102276089783674	0.534942883429008	0.266150726057951	0.27318386614276	0.471352275484818	0.19404787339088	0.309555868967307	0.363358121104379	0.351968703841054	0.295644302663126	0.386069993583072	0.315485142445357	0.261307505630894	0.508756380333653	0.207963285373763	0.227890505823945	0.0993031624918363	0.213102043685889	0.32343122108351	0.20382842303681	0.313055031159466	0.175051574316181	0.345406707766872	0.287436127801539	0.20342926719101	0.28271051343702	0.223306184857293	0.0922587785281557	0.297574798015842	0.362157051936653	0.328532609188422	0.241364098466073	0.0652175751747544	0.230337212338887	0.232062593613553	0.351914135623697	0.62256000288449	0.299028725058875
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.848928370618558	0.883385654548183	0.851632994449853	0.877939929997578	NA	NA	NA	NA	0.819525667588426	0.960266015754473	0.836485670360624	0.872796972016032	0.874603843422996	NA	NA	0.867719794360785	NA	NA	0.85365807077094	0.887992755192012	0.857037099658811	0.892893026913002	0.879912281553288	0.895492251261718	NA	0.867775097231184	0.889327378491922	0.847010635521265	0.829602837846729	NA	0.870617735807521	NA	NA	0.906835058618535	0.925076615107503	0.893618326471606	0.956995155823603	0.958416701254509	NA	0.869388326477092	0.945794300155005	NA	0.8676778098489	0.964327114612518	0.910310546636141	0.857953975103871	NA	NA	NA	0.883862440386269	NA	0.854180080178419	0.964949872160351	0.850090892749604	0.877241157675651	NA	NA	NA	NA	NA	NA	NA	0.898179691996786	0.9519817715437	0.900221559343955	0.891487141098722	0.95057068872727	NA	0.933475853351874	NA	NA	0.900703799285498	NA	NA	0.845944888763626	NA	0.867061344262546	NA	0.873619666170676	NA	0.839004602062723	0.958109624529692	NA	0.888466729325234	0.831827834280241	0.894768857578268	0.902112214570991	NA	NA	0.885970550234119	NA	NA	NA	0.92059053538827	NA	NA	0.853723891791636	0.945609552598604	0.890172798549937
