A_CpG_ID	TCGA-3G-AB0T-01A	TCGA-XM-A8RH-01A	TCGA-ZB-A96M-01A	TCGA-4V-A9QM-01A	TCGA-4X-A9FB-01A	TCGA-X7-A8DE-01A	TCGA-5G-A9ZZ-01A	TCGA-X7-A8M0-01A	TCGA-XM-A8RI-01A	TCGA-XU-AAY1-01A	TCGA-3Q-A9WF-01A	TCGA-4X-A9FD-01A	TCGA-YT-A95E-01A	TCGA-XM-AAZ3-01A	TCGA-X7-A8M3-01A	TCGA-X7-A8M4-01A	TCGA-X7-A8M1-01A	TCGA-4V-A9QT-01A	TCGA-4V-A9QN-01A	TCGA-XU-A931-01A	TCGA-XU-A92V-01A	TCGA-ZB-A96E-01A	TCGA-X7-A8D6-01A	TCGA-YT-A95G-01A	TCGA-ZC-AAAA-01A	TCGA-XM-A8RD-01A	TCGA-XU-AAXY-01A	TCGA-3G-AB14-01A	TCGA-X7-A8D9-01A	TCGA-4V-A9QQ-01A	TCGA-ZB-A96C-01A	TCGA-X7-A8DC-01A	TCGA-X7-A8D7-01A	TCGA-X7-A8M6-01A	TCGA-X7-A8DD-01A	TCGA-ZB-A96K-01A	TCGA-ZB-A96H-01A	TCGA-XU-A92X-01A	TCGA-XU-A92Q-01A	TCGA-X7-A8DJ-01A	TCGA-YT-A95D-01A	TCGA-ZT-A8OM-01A	TCGA-4X-A9F9-01A	TCGA-ZB-A963-01A	TCGA-4V-A9QW-01A	TCGA-ZB-A961-01A	TCGA-XU-A92T-01A	TCGA-4V-A9QL-01A	TCGA-4X-A9FC-01A	TCGA-3S-A8YW-01A	TCGA-5U-AB0E-01A	TCGA-XU-AAXZ-01A	TCGA-3G-AB0Q-01A	TCGA-4V-A9QX-01A	TCGA-ZB-A96F-01A	TCGA-XU-AAXW-01A	TCGA-XM-AAZ2-01A	TCGA-XU-A930-01A	TCGA-X7-A8DB-01A	TCGA-XM-A8R9-01A	TCGA-ZL-A9V6-01A	TCGA-YT-A95H-01A	TCGA-ZB-A96V-01A	TCGA-4V-A9QJ-01A	TCGA-3S-AAYX-01A	TCGA-ZB-A965-01A	TCGA-ZB-A96B-01A	TCGA-XU-AAXX-01A	TCGA-X7-A8M7-01A	TCGA-XU-AAY0-01A	TCGA-YT-A95F-01A	TCGA-X7-A8DF-01A	TCGA-4V-A9QS-01A	TCGA-XU-AAXV-01A	TCGA-XH-A853-01A	TCGA-3G-AB19-01A	TCGA-5K-AAAP-01A	TCGA-ZB-A96O-01A	TCGA-XM-AAZ1-01A	TCGA-ZB-A96G-01A	TCGA-X7-A8M5-01A	TCGA-5V-A9RR-01A	TCGA-ZC-AAAH-01A	TCGA-X7-A8M8-01A	TCGA-XM-A8RC-01A	TCGA-X7-A8DI-01A	TCGA-ZC-AAA7-01A	TCGA-ZB-A96L-01A	TCGA-XU-A92W-01A	TCGA-ZB-A96Q-01A	TCGA-XU-A92R-01A	TCGA-ZC-AAAF-01A	TCGA-XM-A8RL-01A	TCGA-5U-AB0D-01A	TCGA-3T-AA9L-01A	TCGA-ZB-A96A-01A	TCGA-XU-A92U-01A	TCGA-4V-A9QI-01A	TCGA-XM-A8RG-01A	TCGA-XU-A92Y-01A	TCGA-XU-A933-01A	TCGA-XU-A92Z-01A	TCGA-XU-A936-01A	TCGA-ZB-A96D-01A	TCGA-ZB-A966-01A	TCGA-3G-AB0O-01A	TCGA-ZB-A962-01A	TCGA-XM-A8RB-01A	TCGA-ZB-A964-01A	TCGA-XM-A8R8-01A	TCGA-XU-A932-01A	TCGA-4V-A9QR-01A	TCGA-ZB-A96I-01A	TCGA-ZB-A96R-01A	TCGA-4X-A9FA-01A	TCGA-XM-A8RE-01A	TCGA-X7-A8DG-01A	TCGA-X7-A8D8-01A	TCGA-4V-A9QU-01A	TCGA-XM-A8RF-01A	TCGA-XU-A92O-01A	TCGA-ZB-A96P-01A	TCGA-5U-AB0F-01A	TCGA-ZB-A969-01A
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.929109413525717	0.899335302360613	0.927387821663076	0.937925304665295	0.911052033094958	0.888043830001745	0.719070004903324	0.831688680482121	0.857129799600897	0.940011350816095	0.915268487531005	0.94123189184212	0.934229615979634	0.908613227691026	0.955159027786261	0.934457592811503	0.918196707308794	0.934847971831599	0.920581169528296	0.933917785990832	0.897890568436484	0.930259038678117	0.913386188119395	0.891800010309528	0.914646979980137	0.932020487674667	0.932537341321859	0.913321238186407	0.927399068167896	0.894606398404099	0.92840126651804	0.910039326435555	0.921744929094137	0.934112971725612	0.933883407083379	0.913356699870888	0.885263946988062	0.939158752578777	0.905691074544972	0.897215939570942	0.937918852501087	0.942649366970262	0.936059225981246	0.913341243216304	0.940441214434024	0.888704707003468	0.888908013147511	0.913322826814053	0.9260918525248	0.422251687987007	0.926035991078101	0.920076453023615	0.901353657040981	0.945093348096656	0.941046583907825	0.925131593404743	0.913570820047202	0.892580261507438	0.924190155821952	0.805938872929252	0.898222617443615	0.948219776298021	0.727173888169623	0.938691159123201	0.940166551808997	0.840114782668056	0.931039589375704	0.935443196663941	0.934901304596226	0.921387931888193	0.933998062149911	0.932393130080303	0.859433925477791	0.920887873062018	0.890829890218429	0.897755019151613	0.929523378604867	0.920243373301359	0.920064930881797	0.917740608273101	0.776426277784201	0.920065762310102	0.935432509167825	0.948328982729159	0.924240107830303	0.925368774899378	0.647877820126065	0.932765833946642	0.92098980756901	0.930459858537232	0.934688762796513	0.923784236772252	0.950168670528063	0.234650463628804	0.922685824143927	0.918165021510441	0.929879841679264	0.935503452219319	0.780277300279552	0.938550860635267	0.597609321133344	0.837458070681867	0.729704164596323	0.936376930930848	0.833897702288356	0.929810778442116	0.921867477041622	0.949126806183106	0.890036328835359	0.668788680870727	0.909687406962303	0.89470789239916	0.89012783505731	0.94657445888549	0.922933564339395	0.953391561681979	0.927809613217423	0.936882617152445	0.932501367644773	0.94339014327353	0.944843682663896	0.930207753003492	0.951072593462908	0.900240952430355
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.947332827355874	0.941733086246805	0.93501694182261	0.97846942339924	0.962556135911337	0.957463900232258	0.964198754239234	0.943850931659055	0.968274022781946	0.966685423043643	0.959654909522086	0.955868170513838	0.950228912013591	0.964993235805865	0.969166274905271	0.959822062237802	0.953357997632871	0.961131955303622	0.965917394455541	0.96211886363433	0.945184846100784	0.972425806541874	0.963173411490182	0.962652347020316	0.954124158471895	0.963921046594381	0.966314158974428	0.950242490193919	0.960402099891527	0.940849084390794	0.962581251196461	0.96647933417681	0.950567312150082	0.960184779101528	0.959623084668385	0.95494730599367	0.951810652511337	0.959730742131445	0.964196133538084	0.950948441947335	0.964501223116315	0.954185821577431	0.949029051944881	0.953749766927255	0.960871252557392	0.955817169121672	0.935081811421608	0.964091390697956	0.961833553503896	0.941605436790771	0.958880232997341	0.968131441673423	0.971166986839958	0.956102546657358	0.969295244469814	0.960821982927483	0.952686304441982	0.943097046299717	0.966002745695462	0.961651149200733	0.966937859658575	0.95493203581488	0.9599335232203	0.973380500720309	0.966474988611785	0.966450697002867	0.969689865802999	0.960170528899118	0.96255589899945	0.950857280897753	0.960506437932304	0.968268363101279	0.957238108033878	0.955291811088135	0.968450392263082	0.965568058005423	0.959813859396762	0.964361815890813	0.967184254247479	0.966698264803989	0.971283343987097	0.95969500142397	0.965725499317815	0.955717878761472	0.966522281428004	0.962324914406499	0.946432398272519	0.940559862718067	0.949464048891367	0.948040115919524	0.96517602992427	0.965035107400745	0.963671135062168	0.960552796975652	0.938501632334454	0.955247986361551	0.965459929675397	0.965700677930841	0.945751372890668	0.970623151278494	0.934936937250511	0.956855279794279	0.937437030318012	0.961710702311002	0.933455249072848	0.941959039752682	0.957562621528544	0.932362025308626	0.952013167659027	0.90119473035295	0.969102842461408	0.971423504894668	0.957823441677142	0.947343982291277	0.971825867885483	0.949202762436393	0.956352789052181	0.964879804148226	0.952717094749492	0.965316347071872	0.9682689131019	0.954660736415615	0.971939161213792	0.959121946499125
