A_CpG_ID	TCGA-AB-2806-03A	TCGA-AB-2830-03A	TCGA-AB-2822-03A	TCGA-AB-2846-03A	TCGA-AB-2820-03A	TCGA-AB-2810-03A	TCGA-AB-2854-03A	TCGA-AB-2813-03A	TCGA-AB-2923-03A	TCGA-AB-3005-03A	TCGA-AB-2805-03A	TCGA-AB-2868-03A	TCGA-AB-2933-03A	TCGA-AB-2948-03A	TCGA-AB-2963-03A	TCGA-AB-2896-03A	TCGA-AB-2824-03A	TCGA-AB-2823-03A	TCGA-AB-2908-03A	TCGA-AB-2814-03A	TCGA-AB-2937-03A	TCGA-AB-2858-03A	TCGA-AB-2828-03A	TCGA-AB-3000-03A	TCGA-AB-2815-03A	TCGA-AB-2904-03A	TCGA-AB-3002-03A	TCGA-AB-2916-03A	TCGA-AB-2956-03A	TCGA-AB-2976-03A	TCGA-AB-2995-03A	TCGA-AB-2834-03A	TCGA-AB-2851-03A	TCGA-AB-2987-03A	TCGA-AB-2809-03A	TCGA-AB-2907-03A	TCGA-AB-2857-03A	TCGA-AB-2860-03A	TCGA-AB-2829-03A	TCGA-AB-2856-03A	TCGA-AB-2906-03A	TCGA-AB-2914-03A	TCGA-AB-2816-03A	TCGA-AB-2866-03A	TCGA-AB-2812-03A	TCGA-AB-2972-03A	TCGA-AB-2988-03A	TCGA-AB-2826-03A	TCGA-AB-2870-03A	TCGA-AB-2974-03A	TCGA-AB-2867-03A	TCGA-AB-2967-03A	TCGA-AB-2849-03A	TCGA-AB-2840-03A	TCGA-AB-2931-03A	TCGA-AB-2932-03A	TCGA-AB-2955-03A	TCGA-AB-2879-03A	TCGA-AB-2922-03A	TCGA-AB-2950-03A	TCGA-AB-2818-03A	TCGA-AB-2897-03A	TCGA-AB-2833-03A	TCGA-AB-2915-03A	TCGA-AB-2855-03A	TCGA-AB-2939-03A	TCGA-AB-2853-03A	TCGA-AB-2893-03A	TCGA-AB-2883-03A	TCGA-AB-2945-03A	TCGA-AB-2881-03A	TCGA-AB-2848-03A	TCGA-AB-2982-03A	TCGA-AB-2991-03A	TCGA-AB-2998-03A	TCGA-AB-2943-03A	TCGA-AB-2899-03A	TCGA-AB-2869-03A	TCGA-AB-2882-03A	TCGA-AB-2992-03A	TCGA-AB-2884-03A	TCGA-AB-2835-03A	TCGA-AB-2989-03A	TCGA-AB-2886-03A	TCGA-AB-2954-03A	TCGA-AB-2804-03A	TCGA-AB-2841-03A	TCGA-AB-2821-03A	TCGA-AB-2920-03A	TCGA-AB-2929-03A	TCGA-AB-2817-03A	TCGA-AB-2969-03A	TCGA-AB-3007-03A	TCGA-AB-2880-03A	TCGA-AB-2910-03A	TCGA-AB-2921-03A	TCGA-AB-2957-03A	TCGA-AB-2832-03A	TCGA-AB-2965-03A	TCGA-AB-2927-03A	TCGA-AB-2803-03A	TCGA-AB-3009-03A	TCGA-AB-2900-03A	TCGA-AB-2981-03A	TCGA-AB-3006-03A	TCGA-AB-2911-03A	TCGA-AB-2839-03A	TCGA-AB-2807-03A	TCGA-AB-2877-03A	TCGA-AB-2861-03A	TCGA-AB-2984-03A	TCGA-AB-2827-03A	TCGA-AB-2980-03A	TCGA-AB-2993-03A	TCGA-AB-2889-03A	TCGA-AB-2996-03A	TCGA-AB-2964-03A	TCGA-AB-2888-03A	TCGA-AB-2894-03A	TCGA-AB-2890-03A	TCGA-AB-2844-03A	TCGA-AB-2891-03A	TCGA-AB-2959-03A	TCGA-AB-2999-03A	TCGA-AB-2930-03A	TCGA-AB-3011-03A	TCGA-AB-2872-03A	TCGA-AB-2874-03A	TCGA-AB-3012-03A	TCGA-AB-2997-03A	TCGA-AB-2878-03A	TCGA-AB-2934-03A	TCGA-AB-2944-03A	TCGA-AB-2970-03A	TCGA-AB-2942-03A	TCGA-AB-2895-03A	TCGA-AB-2926-03A	TCGA-AB-2863-03A	TCGA-AB-2952-03A	TCGA-AB-2936-03A	TCGA-AB-2946-03A	TCGA-AB-2871-03A	TCGA-AB-2949-03A	TCGA-AB-2966-03A	TCGA-AB-2876-03A	TCGA-AB-3008-03A	TCGA-AB-2979-03A	TCGA-AB-2875-03A	TCGA-AB-2887-03A	TCGA-AB-2819-03A	TCGA-AB-2977-03A	TCGA-AB-3001-03A	TCGA-AB-2802-03A	TCGA-AB-2912-03A	TCGA-AB-2898-03A	TCGA-AB-2843-03A	TCGA-AB-2901-03A	TCGA-AB-2918-03A	TCGA-AB-2903-03A	TCGA-AB-2838-03A	TCGA-AB-2845-03A	TCGA-AB-2842-03A	TCGA-AB-2938-03A	TCGA-AB-2862-03A	TCGA-AB-2825-03A	TCGA-AB-2941-03A	TCGA-AB-2919-03A	TCGA-AB-2983-03A	TCGA-AB-2917-03A	TCGA-AB-2808-03A	TCGA-AB-2940-03A	TCGA-AB-2985-03A	TCGA-AB-2990-03A	TCGA-AB-2925-03A	TCGA-AB-2831-03A	TCGA-AB-2968-03A	TCGA-AB-2973-03A	TCGA-AB-2885-03A	TCGA-AB-2913-03A	TCGA-AB-2935-03A	TCGA-AB-2975-03A	TCGA-AB-2811-03A	TCGA-AB-2928-03A	TCGA-AB-2873-03A	TCGA-AB-2837-03A	TCGA-AB-2978-03A	TCGA-AB-2909-03A	TCGA-AB-2947-03A	TCGA-AB-2892-03A	TCGA-AB-2924-03A	TCGA-AB-2971-03A	TCGA-AB-2986-03A	TCGA-AB-2847-03A	TCGA-AB-2836-03A
cg05285768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05294259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05301976	0.831450535124108	0.955904064169125	0.972481642216916	0.558465197438921	0.968926534155512	0.969853456292649	0.93276209076308	0.933045225231456	0.928148275412655	0.912354211507542	0.970451898129069	0.95937873454912	0.952505925590778	0.955072045520573	0.941667724487495	0.956731192263853	0.930317982865355	0.956759968285526	0.943728075563898	0.962226934900401	0.734602405627847	0.81307468245054	0.804202882663373	0.833750461970656	0.821574492868998	0.974917981924277	0.970458819654258	0.795977556736474	0.674497183302813	0.957991078184339	0.950162618760501	0.927838672137369	0.960025344135711	0.881252238298267	0.947171596754309	0.972364073228166	0.899394152835038	0.962759410128428	0.883352883073736	0.967149719886826	0.965434626300691	0.815808872517913	0.972297730171873	0.966287496852408	0.964045997901575	0.970243412271178	0.962389959359535	0.957792863153073	0.931418949221568	0.954173815309294	0.966061200683733	0.89560195394192	0.968655794789964	0.967968293321398	0.968907936286206	0.929437132976289	0.511278481423528	0.966827715959376	0.941185505369178	0.770877823310342	0.937226365837005	0.975568760180306	0.826221667004456	0.947188957523817	0.956924690498253	0.451547195811606	0.925649125795978	0.833635444250547	0.918019329932512	0.9380395231831	0.789172435255889	0.964174513970129	0.971312175509555	0.969308538425701	0.969053083077462	0.95853658432068	0.959673113523981	0.960355390209399	0.805190520592456	0.964014170567359	0.973178711175965	0.879726018520652	0.934441913979299	0.895960379737575	0.834193961931616	0.942594075273948	0.970458875652696	0.969960971859608	0.969019748402584	0.972278227346297	0.93186834860262	0.957061440800478	0.958183746422949	0.79698854616455	0.926776920916543	0.709865504666608	0.826981746116219	0.808399628470333	0.951403843319544	0.908232463847875	0.964441623437066	0.330177933868374	0.9752992615842	0.954976235399812	0.964400789474341	0.948578587096506	0.972311964072599	0.969333201761411	0.975020617372498	0.652815537306741	0.973832093824406	0.882763774022212	0.943293759420775	0.971683097134086	0.744176319765441	0.950699124198356	0.937929915524447	0.7587591118286	0.666760412546584	0.951943037194941	0.96639490756178	0.945355083133777	0.971849363461113	0.957436480546945	0.950510956813886	0.938247053013314	0.955289402687994	0.968810212345895	0.972352330630083	0.976222468548935	0.948280799958752	0.953669237064033	0.961584557674716	0.955538577847461	0.752141342612122	0.968133500843478	0.975339690348572	0.960524098642229	0.949833858612616	0.948298854692423	0.955415651596063	0.967327834998362	0.967473498231363	0.972715836523913	0.49061269393712	0.951659873060396	0.824298020443348	0.767441831106235	0.971174374352138	0.81742521165437	0.966299366339289	0.945366521380416	0.969904288639173	0.861785959741287	0.978083062622914	0.958948192978124	0.968754722222506	0.961660938238992	0.967259610234566	0.923520429703581	0.734232290993746	0.948322232384959	0.945688981863021	0.943563693458093	0.930944255643133	0.869582824581454	0.968191933881238	0.966820776419857	0.933200916796468	0.624045902084879	0.743251254399866	0.945145760444034	0.972022215621637	0.949717842267364	0.968279305832668	0.895669053632586	0.957683326250372	0.963519188154358	0.965926661343611	0.947189626868005	0.93017340067849	0.910529346505438	0.971177482572913	0.950046009870229	0.950141391169479	0.939926759698282	0.879336362663548	0.952280220097645	0.81240198151096	0.907818743299867	0.962306650908602	0.96838915171395	0.575043116662819	0.95207593076606
cg05305060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05331252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05345062	0.725199909833897	0.903706018956016	0.938472211533697	0.940753741632126	0.643350994497089	0.850888763017941	0.858326460608735	0.932836599859198	0.933940640640929	0.918157223291824	0.942435601698962	0.71790359488032	0.721646965867318	0.903570731266319	0.927982080107123	0.934353437434484	0.829330201230513	0.913082124196472	0.91484358612306	0.925240573461285	0.7368530655712	0.916860384028601	0.913696276810887	0.64627061389255	0.919489852081614	0.950861224923134	0.90017659625535	0.887560659856921	0.844667297416477	0.743395989030913	0.892117801489207	0.917200305476078	0.937611347479409	0.60134218606281	0.897661590458385	0.865608580503985	0.738687464810728	0.909096848196733	0.761726484857752	0.909015728036099	0.888262548018485	0.928194698792576	0.912752165936457	0.716264874833514	0.518340148729717	0.917131303543579	0.914259486142744	0.775444150176353	0.923974506254303	0.860430992083931	0.653355399538155	0.179453670280217	0.903027545172397	0.697752416549131	0.723747203968474	0.67087592746335	0.929626368170562	0.923484463859695	0.921043872796865	0.924122945766933	0.595018613943762	0.341991924329436	0.931823292545302	0.654568134567962	0.87558109686157	0.917091542756273	0.93840104622342	0.609232430349587	0.524169871314162	0.927111048228981	0.936177494255597	0.85713785557441	0.880960570438604	0.510673229085874	0.712433059008604	0.789848751124892	0.918233032208653	0.634674250794094	0.764426161998123	0.881161405054629	0.912152972887466	0.682681881013194	0.911391042505117	0.930619184852438	0.924335890717153	0.615610338369685	0.829619424495793	0.662926240256819	0.944415230839326	0.890062194901496	0.936130325560349	0.838585951122927	0.331807472125904	0.970636536592642	0.872466138627495	0.903401492063381	0.943834045004062	0.703838550891372	0.874416588443575	0.903841349831934	0.867478929411149	0.947320899010211	0.592206579550133	0.922416441721798	0.914924601711664	0.858221797104262	0.885544059676476	0.812650874563639	0.930485356949146	0.520307110894172	0.929040927882908	0.673466587576344	0.869583781723468	0.925275549771595	0.793677139313236	0.885702241083367	0.903374630193776	0.873900940515138	0.876802485158408	0.876193044882689	0.556814471239397	0.6895264564181	0.933096763345318	0.79477341732603	0.906018849797033	0.901018593139497	0.883376813773617	0.897391367080416	0.601233281053361	0.901930071574694	0.624048223519679	0.891649199408298	0.705719844094495	0.947652421161442	0.940504740385814	0.937851520597364	0.848262441147649	0.924951313516786	0.905869633373684	0.70413632390602	0.944543607571888	0.864572867620956	0.909841394893863	0.92569562365815	0.610689656339462	0.924344392161482	0.813217938914978	0.940496748221821	0.934410805465596	0.935026979399859	0.91887578393734	0.538770878150328	0.930182576635903	0.927394794233011	0.930406502544029	0.913298312383215	0.950897194350597	0.902944221951785	0.905691804929842	0.929285183260635	0.922916709293994	0.613678037529673	0.637877486149973	0.925119664825914	0.926582554386738	0.85136316089118	0.908877359014367	0.336458022788153	0.857738327684407	0.929719603543193	0.679025681465843	0.678287601769907	0.920607519760787	0.615126140455663	0.89233563685335	0.922889901744654	0.758360896411237	0.94715519458167	0.93957181881137	0.859348075538652	0.916134617351957	0.934300273877395	0.760048388653939	0.895353427646676	0.552169516695363	0.941939453824122	0.925391713061675	0.605256855867467	0.923739525275637	0.878823613019719	0.949319807288085	0.898586358460179	0.906067251795616	0.581146971605728
cg05379002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05402641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05445006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05456482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05461143	0.954076944281344	0.93220083885949	0.951438984093488	0.956127253860877	0.952660576349097	0.9629521886498	0.948451735711411	0.949026299703013	0.908131814206177	0.897348163656926	0.943275166395963	0.935492794449609	0.932729207226074	0.932647992610674	0.955494715275366	0.957242331736953	0.902179312924169	0.940756089522917	0.915716380406756	0.947358084675026	0.952045974576898	0.942971510203254	0.944323421326269	0.951733659007174	0.959717264999003	0.961715344748847	0.955497668875602	0.948078730324087	0.891885233899389	0.941077433518454	0.878752699230535	0.933695642009159	0.949367837466344	0.906003146917219	0.955781947176995	0.943613475593143	0.941031004863073	0.891363629714439	0.887719216790314	0.929633452745356	0.935759595648928	0.951935427857254	0.959801043642224	0.952206548979081	0.938692555625954	0.928348813355498	0.96469133467851	0.887562391041578	0.95093411056588	0.951640969057625	0.957150647457638	0.928892887697587	0.954619937173289	0.911408995289424	0.957762224739339	0.944160524488263	0.922607029218837	0.952508482835385	0.930207597618318	0.947728816697523	0.942107989759596	0.944564373075095	0.945107779684179	0.86714235721088	0.927465529182777	0.937695930785353	0.943672697897274	0.908591992822606	0.951352526143384	0.930682519898659	0.945380687449939	0.945612266133356	0.939286928067007	0.954301330394995	0.935333443987614	0.920200300010936	0.937978115251866	0.926993383411488	0.918400627367113	0.919017735432279	0.957533958133229	0.926123121482225	0.723540612227802	0.940637580859825	0.95699488561609	0.934973612488991	0.95496473284956	0.959409684967964	0.939078922889619	0.924353445076642	0.940195758364488	0.934920959339129	0.916946388769784	0.957274470022864	0.949227485608061	0.944087231143615	0.949258413826517	0.931590170565025	0.941323468218851	0.909454737322065	0.941985527385383	0.943613465164979	0.958772455267757	0.936209743663489	0.945202410666691	0.953753801844758	0.945078847121587	0.93215878678802	0.949902761617264	0.746821673176025	0.944833308820953	0.744738920418213	0.884664334646075	0.931461773474842	0.95255762915137	0.920894921472897	0.92360708506585	0.95157780358927	0.87854570157654	0.95939314546686	0.931028499841687	0.948616059961422	0.944347704479679	0.946888071338583	0.91630001545706	0.950443508733488	0.945959422450968	0.933624122870522	0.941507403737208	0.945208429737633	0.912980266822118	0.89179325566687	0.909961871528985	0.925827064592826	0.93684075574362	0.950667363949461	0.939290145095232	0.934939054442481	0.921370823572139	0.925003495101271	0.930614667284266	0.956849993732446	0.956920125172617	0.910125629434363	0.949938951247535	0.94113343741421	0.90570843667838	0.949363587499886	0.944621331401561	0.945829243340731	0.947981838181712	0.928069232435064	0.948503003024289	0.953219761674146	0.952923822399011	0.911121611280143	0.950946014309883	0.923339640826484	0.942446537081515	0.944569690571584	0.933764800195645	0.942596535760145	0.939588301295195	0.954326772302035	0.917530632770407	0.972386823228801	0.932815449251059	0.925336990521589	0.923513058356055	0.93562915077118	0.92718368930547	0.896178575015563	0.915055361377296	0.948188512431208	0.950092632910155	0.94634073110041	0.93780276224977	0.93610621745177	0.947642653282221	0.902120354721763	0.91852324647501	0.966660792373434	0.923636716568735	0.928683231216443	0.957081061798184	0.957441915737967	0.9486602212133	0.940895153590168	0.934347646341577	0.923975788847083	0.956436964952596	0.942831443779827	0.933796801399245	0.946916266455797
cg05481217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05484606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05516061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
