A_CpG_ID	TCGA-3B-A9HO-01A	TCGA-PC-A5DM-01A	TCGA-HB-A43Z-01A	TCGA-DX-A6BK-01A	TCGA-IF-A4AK-01A	TCGA-FX-A3NK-01A	TCGA-K1-A3PO-01A	TCGA-DX-AB35-01A	TCGA-PC-A5DP-01A	TCGA-QQ-A8VG-01A	TCGA-DX-A8BO-01A	TCGA-DX-A6BE-01A	TCGA-X2-A95T-01A	TCGA-DX-AB2Q-01A	TCGA-3B-A9HS-01A	TCGA-WK-A8XY-01A	TCGA-KD-A5QU-01A	TCGA-DX-AB2P-01A	TCGA-QQ-A8VB-01A	TCGA-WP-A9GB-01A	TCGA-IS-A3K8-01A	TCGA-SI-A71P-01A	TCGA-K1-A6RU-01A	TCGA-3B-A9HZ-01A	TCGA-X6-A8C5-01A	TCGA-DX-A6BH-01A	TCGA-3B-A9HI-01A	TCGA-DX-A3LS-01A	TCGA-DX-A240-01A	TCGA-DX-A8BX-01A	TCGA-DX-A6BB-01A	TCGA-3B-A9HV-01A	TCGA-LI-A67I-01A	TCGA-DX-A8BU-01A	TCGA-VT-AB3D-01A	TCGA-MB-A5Y8-01A	TCGA-VT-A80J-01A	TCGA-DX-A8BH-01A	TCGA-DX-A3UF-01A	TCGA-DX-A6YZ-01A	TCGA-X6-A8C6-01A	TCGA-DX-A3UD-01A	TCGA-K1-A6RV-01A	TCGA-MB-A8JK-01A	TCGA-DX-A8BP-01A	TCGA-DX-A23U-01A	TCGA-UE-A6QT-01A	TCGA-VT-A80G-01A	TCGA-N1-A6IA-01A	TCGA-MB-A8JL-01A	TCGA-DX-A1L3-01A	TCGA-DX-A6BG-01A	TCGA-3B-A9HU-01A	TCGA-DX-A7ES-01A	TCGA-K1-A42X-02A	TCGA-SI-A71O-06A	TCGA-K1-A42X-01A	TCGA-X9-A971-01A	TCGA-DX-AB2S-01A	TCGA-PC-A5DO-01A	TCGA-3B-A9I3-01A	TCGA-X6-A8C4-01A	TCGA-HB-A5W3-01A	TCGA-3B-A9HR-01A	TCGA-SI-A71Q-01A	TCGA-DX-A3M1-01A	TCGA-DX-A6Z0-01A	TCGA-DX-A48P-01A	TCGA-DX-A48L-01A	TCGA-PC-A5DN-01A	TCGA-3R-A8YX-01A	TCGA-QQ-A5VD-01A	TCGA-DX-A1KU-01A	TCGA-DX-A6YX-01A	TCGA-DX-A8BT-01A	TCGA-DX-AB2O-01A	TCGA-DX-A6BF-01A	TCGA-DX-A7EL-01A	TCGA-3B-A9HP-01A	TCGA-QC-AA9N-01A	TCGA-DX-A1KY-01A	TCGA-DX-A23R-01A	TCGA-JV-A5VF-01A	TCGA-DX-A3UA-01A	TCGA-IW-A3M5-01A	TCGA-RN-A68Q-01A	TCGA-DX-A7EU-01A	TCGA-WK-A8XS-01A	TCGA-MB-A5Y9-01A	TCGA-SG-A849-01A	TCGA-DX-A3U7-01A	TCGA-IS-A3K6-01A	TCGA-WK-A8XZ-01A	TCGA-3B-A9HJ-01A	TCGA-QQ-A5VC-01A	TCGA-WK-A8XX-01A	TCGA-DX-A3UE-01A	TCGA-DX-AB2V-01A	TCGA-DX-A8BV-01A	TCGA-MO-A47P-01A	TCGA-IW-A3M6-01A	TCGA-IW-A3M4-01A	TCGA-MJ-A68J-01A	TCGA-DX-A6YU-01A	TCGA-FX-A48G-01A	TCGA-FX-A3TO-01A	TCGA-MJ-A850-01A	TCGA-DX-A6Z2-01A	TCGA-UE-A6QU-01A	TCGA-IS-A3KA-01A	TCGA-K1-A6RT-01A	TCGA-DX-A48K-01A	TCGA-QC-A7B5-01A	TCGA-DX-A3LW-01A	TCGA-DX-AB2W-01A	TCGA-DX-A1KZ-01A	TCGA-DX-A2J0-01A	TCGA-MB-A5YA-01A	TCGA-DX-A8BS-01A	TCGA-DX-A23Y-01A	TCGA-FX-A8OO-01A	TCGA-DX-AB2G-01A	TCGA-DX-A8BG-01A	TCGA-X6-A8C3-01A	TCGA-DX-A3LY-01B	TCGA-WK-A8XT-01A	TCGA-DX-A7ET-01A	TCGA-DX-A7EN-01A	TCGA-DX-A8BN-01A	TCGA-QQ-A8VF-01A	TCGA-DX-AATS-01A	TCGA-SI-AA8B-01A	TCGA-IF-A4AJ-01A	TCGA-IE-A4EJ-01A	TCGA-Z4-AAPG-01A	TCGA-IE-A4EK-01A	TCGA-DX-A6YQ-01A	TCGA-DX-A2IZ-01A	TCGA-DX-A3U6-01A	TCGA-HS-A5N8-01A	TCGA-DX-A7EO-01A	TCGA-DX-A1L2-01A	TCGA-DX-A48J-01A	TCGA-QQ-A8VD-01A	TCGA-DX-A1KX-01A	TCGA-MO-A47R-01A	TCGA-DX-A1L4-01A	TCGA-FX-A3NJ-01A	TCGA-X6-A7WB-01A	TCGA-K1-A42W-01A	TCGA-SI-A71O-01A	TCGA-3B-A9HL-01A	TCGA-QQ-A5V2-01A	TCGA-DX-A3U8-01A	TCGA-RN-AAAQ-01A	TCGA-X6-A7WD-01A	TCGA-DX-AB2E-01A	TCGA-DX-A6YT-01A	TCGA-KD-A5QS-01A	TCGA-IF-A3RQ-01A	TCGA-FX-A2QS-01A	TCGA-DX-AB2L-01A	TCGA-3B-A9HX-01A	TCGA-HS-A5NA-01A	TCGA-DX-A1KW-01A	TCGA-DX-AB2T-01A	TCGA-DX-AB2J-01A	TCGA-KF-A41W-01A	TCGA-DX-A6B7-01A	TCGA-DX-A7EQ-01A	TCGA-IE-A4EH-01A	TCGA-HS-A5N9-01A	TCGA-QQ-A5VB-01A	TCGA-DX-A6YR-01A	TCGA-HB-A3YV-01A	TCGA-DX-A3U9-01A	TCGA-DX-AB37-01A	TCGA-X6-A7WC-01A	TCGA-SG-A6Z4-01A	TCGA-DX-A23V-01A	TCGA-DX-A2J1-01A	TCGA-SG-A6Z7-01A	TCGA-HS-A5N7-01A	TCGA-3B-A9HY-01A	TCGA-IE-A3OV-01A	TCGA-DX-A7EI-01A	TCGA-DX-A23Z-01A	TCGA-FX-A76Y-01A	TCGA-DX-A6BA-01A	TCGA-3B-A9HT-01A	TCGA-QQ-A8VH-01A	TCGA-DX-A8BZ-01A	TCGA-PT-A8TR-01A	TCGA-HB-A3L4-01A	TCGA-DX-AB2H-01A	TCGA-DX-A3UC-01A	TCGA-DX-A1L0-01A	TCGA-FX-A3RE-01A	TCGA-X6-A7WA-01A	TCGA-DX-A48V-01A	TCGA-IE-A6BZ-01A	TCGA-DX-A8BK-01A	TCGA-3B-A9HQ-01A	TCGA-X6-A8C2-01A	TCGA-DX-A8BM-01A	TCGA-DX-AB3C-01A	TCGA-DX-AB2Z-01A	TCGA-DX-A48N-01A	TCGA-DX-A8BJ-01A	TCGA-DX-AB2X-01A	TCGA-PC-A5DL-01A	TCGA-QQ-A5V9-01A	TCGA-DX-A7ER-01A	TCGA-X6-A8C7-01A	TCGA-3B-A9I1-01A	TCGA-DX-A7EM-01A	TCGA-3B-A9I0-01A	TCGA-WK-A8Y0-01A	TCGA-JV-A75J-01A	TCGA-IE-A4EI-01A	TCGA-KD-A5QT-01A	TCGA-DX-A8BQ-01A	TCGA-X6-A7W8-01A	TCGA-PC-A5DK-01A	TCGA-Z4-A8JB-01A	TCGA-DX-AB3A-01A	TCGA-DX-A6B9-01A	TCGA-DX-A3LU-01A	TCGA-DX-A48U-01A	TCGA-IS-A3K7-01A	TCGA-VT-A80J-02A	TCGA-DX-A8BR-01A	TCGA-DX-A1L1-01A	TCGA-DX-AB36-01A	TCGA-Z4-A9VC-01A	TCGA-DX-A6YV-01A	TCGA-HB-A2OT-01A	TCGA-QQ-A5VA-01A	TCGA-DX-A3UB-01A	TCGA-WK-A8XQ-01A	TCGA-MJ-A68H-01A	TCGA-DX-AB30-01A	TCGA-DX-A3U5-01A	TCGA-DX-A7EF-01A	TCGA-X9-A973-01A	TCGA-LI-A9QH-01A	TCGA-DX-A3M2-01A	TCGA-DX-AB3B-01A	TCGA-DX-A6B8-01A	TCGA-QC-A6FX-01A	TCGA-DX-AB2F-01A	TCGA-SI-AA8C-01A	TCGA-DX-A48R-01A	TCGA-DX-AB32-01A	TCGA-DX-A6YS-01A	TCGA-Z4-AAPF-01A	TCGA-JV-A5VE-01A	TCGA-DX-A3LT-01A	TCGA-DX-A8BL-01A	TCGA-WK-A8XO-01A	TCGA-DX-A48O-01A	TCGA-K1-A3PN-02A	TCGA-K1-A3PN-01A	TCGA-DX-A23T-01A	TCGA-DX-A2J4-01A
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.952361411646105	0.957739279682058	0.956052020403298	0.888113450257709	0.949922336589983	0.9562209454223	0.790104460787099	0.888551783561662	0.963432709733369	0.925298006350934	0.897296190264327	0.89592528048351	0.951544227601255	0.58428114035056	0.926915063119202	0.950277370402246	0.937571563836561	0.947636758532778	0.909263484208322	0.951781723170386	0.956599069897538	0.85113448822914	0.948974986872746	0.936394114487443	0.961201912965728	0.941819954227614	0.95328147853545	0.933286165839547	0.945251756744505	0.964111561826827	0.960513332971329	0.926388350051328	0.78291294841889	0.961538710623079	0.90861015598806	0.971022878175298	0.934933873926006	0.954322104118965	0.96402044468869	0.864408897749467	0.855766972582912	0.961698773096594	0.947151041918072	0.946926220137571	0.92816453494746	0.956344462577676	0.800471508376405	0.970023698727141	0.945277069465798	0.950221817678398	0.942175592124009	0.872682499936976	0.924580338911549	0.878698511415147	0.940477270093913	0.864939747373274	0.939129498670399	0.948611728895805	0.751081404450395	0.949865189599982	0.927608920895381	0.960576638020006	0.958641301790811	0.962270273812423	0.662535370250112	0.93462014305337	0.93977243515304	0.954591668339692	0.960543049136021	0.928448094482744	0.960988745354172	0.91388921073889	0.929344968760072	0.953043770890857	0.95538347651474	0.959928794289921	0.952440454239269	0.942272646923021	0.968287155610562	0.957037719152165	0.777476546503978	0.696327751035989	0.922402025067184	0.944881398104175	0.843073928782815	0.955098755887648	0.718490156875144	0.933677090519604	0.787294210320474	0.899610632936626	0.951405110166647	0.960113172034143	0.952098554699583	0.647371693211024	0.760929011046283	0.955001423586085	0.965345700416996	0.953049452486715	0.945836454413044	0.934404857133774	0.930466364903091	0.955977927671895	0.758335927286278	0.888329691791192	0.846136779347541	0.962516833899341	0.941654803059004	0.945779131644209	0.877264235803081	0.915630092195419	0.75676920100659	0.948856294975878	0.917545970503501	0.943714596727106	0.795453654726096	0.958223803340011	0.926010284285573	0.957748374138819	0.956031859046389	0.943617315473294	0.943089674639035	0.960552544365054	0.905091612211117	0.966422297935133	0.967657147732921	0.842745025922048	0.955191178345239	0.942249321067543	0.954376067074797	0.949846228089572	0.954223434387223	0.957386936768079	0.938923494777061	0.839585526626571	0.956612700064661	0.957852055142362	0.566194817714653	0.959487723799286	0.802251684502303	0.895474877247464	0.905766249469733	0.882179789663524	0.947933657714085	0.949203686833672	0.919454396978242	0.950860301474648	0.946947956603222	0.960690662553823	0.930512279728424	0.955089844821107	0.9483233748385	0.94476987614649	0.961105554532356	0.56910262804174	0.944831540225415	0.956219345593906	0.933067123524258	0.94700216909118	0.515019082012964	0.954492857314032	0.81432240863932	0.928751474615374	0.921294326478932	0.919467038238244	0.944297529983889	0.936518616444626	0.935720039849392	0.928984548679428	0.965639463890226	0.944335030989205	0.958053438485602	0.957799161953638	0.947784539028588	0.827149263634712	0.955871158618622	0.944657322889927	0.88901181417411	0.920987496371224	0.934477657618914	0.954686111092011	0.911921698680654	0.898795345569627	0.928605036797705	0.937045307286356	0.950946732010899	0.953051282978636	0.93572056220268	0.73322054688982	0.954703064246484	0.900704183775381	0.890729454337554	0.949034488665605	0.957548442538818	0.756712258592523	0.95425411752326	0.953890644972374	0.941971274598871	0.849503847593895	0.955028246121123	0.942205727381029	0.951547667800738	0.942542429699871	0.898390916265744	0.951367556659705	0.963420254550108	0.802893309199126	0.922759779259529	0.950984509771204	0.960015765835705	0.958104682541632	0.931745568054844	0.897450109795982	0.906738609532357	0.943548686295574	0.958106526205907	0.95846947022642	0.946389349023414	0.95876818791885	0.941268576639755	0.967380341133864	0.951837122299062	0.91142848158982	0.955485098857902	0.949522994421769	0.947991341688339	0.939240085619742	0.971116771783899	0.90407309256726	0.964256561127822	0.92209080875009	0.951841642465054	0.94046690670237	0.909125930847867	0.94025246605285	0.941406791954774	0.960533099564462	0.902376245669836	0.810497033791255	0.964091777598679	0.920373083136702	0.925177391478686	0.911262522967747	0.961502499442345	0.957542235404393	0.957583911891741	0.941123918570432	0.918893952617734	0.937861536650408	0.91958122075236	0.745124814652311	0.960860644517626	0.893760047968205	0.962278162754584	0.951618068979813	0.940060693815003	0.911236380756408	0.951509280743756	0.941689265552401	0.953512848228757	0.929562558658332	0.95153910424867	0.964259196997456	0.969049626784334	0.86505368259866	0.908126662280161
